COUNTY,ST,COUNTY_STATE,SSACD,COUNTY DESIGNA-TION,Primary Care Distance
Anchorage,AK,"Anchorage, AK",02020,Metro,10
Bethel,AK,"Bethel, AK",02050,CEAC,60
Bristol Bay,AK,"Bristol Bay, AK",02060,CEAC,60
Denali,AK,"Denali, AK",02068,CEAC,60
Dillingham,AK,"Dillingham, AK",02070,CEAC,60
Fairbanks North Star,AK,"Fairbanks North Star, AK",02090,Micro,20
Haines,AK,"Haines, AK",02100,CEAC,60
Hoonah-Angoon,AK,"Hoonah-Angoon, AK",02105,CEAC,60
Juneau,AK,"Juneau, AK",02110,Rural,30
Kenai Peninsula,AK,"Kenai Peninsula, AK",02122,CEAC,60
Ketchikan Gateway,AK,"Ketchikan Gateway, AK",02130,CEAC,60
Kodiak Island,AK,"Kodiak Island, AK",02150,CEAC,60
Lake and Peninsula,AK,"Lake and Peninsula, AK",02164,CEAC,60
Matanuska-Susitna,AK,"Matanuska-Susitna, AK",02170,CEAC,60
Nome,AK,"Nome, AK",02180,CEAC,60
North Slope,AK,"North Slope, AK",02185,CEAC,60
Northwest Arctic,AK,"Northwest Arctic, AK",02188,CEAC,60
Petersburg,AK,"Petersburg, AK",02195,CEAC,60
Prince of Wales-Hyder,AK,"Prince of Wales-Hyder, AK",02198,CEAC,60
Sitka,AK,"Sitka, AK",02220,CEAC,60
Skagway,AK,"Skagway, AK",02230,CEAC,60
Southeast Fairbanks,AK,"Southeast Fairbanks, AK",02240,CEAC,60
Valdez-Cordova,AK,"Valdez-Cordova, AK",02261,CEAC,60
Kusilvak (formerly Wade Hampton),AK,"Kusilvak, AK (formerly Wade Hampton, AK)",02270,CEAC,60
Wrangell,AK,"Wrangell, AK",02275,CEAC,60
Yakutat,AK,"Yakutat, AK",02282,CEAC,60
Yukon-Koyukuk,AK,"Yukon-Koyukuk, AK",02290,CEAC,60
Apache,AZ,"Apache, AZ",03000,CEAC,60
Cochise,AZ,"Cochise, AZ",03010,Micro,20
Coconino,AZ,"Coconino, AZ",03020,CEAC,60
Gila,AZ,"Gila, AZ",03030,Micro,20
Graham,AZ,"Graham, AZ",03040,CEAC,60
Greenlee,AZ,"Greenlee, AZ",03050,CEAC,60
La Paz,AZ,"La Paz, AZ",03055,CEAC,60
Maricopa,AZ,"Maricopa, AZ",03060,Metro,10
Mohave,AZ,"Mohave, AZ",03070,Metro,10
Navajo,AZ,"Navajo, AZ",03080,Micro,20
Pima,AZ,"Pima, AZ",03090,Metro,10
Pinal,AZ,"Pinal, AZ",03100,Metro,10
Pinal,AZ,"Pinal, AZ",03101,Metro,10
Santa Cruz,AZ,"Santa Cruz, AZ",03110,Rural,30
Yavapai,AZ,"Yavapai, AZ",03120,Metro,10
Yuma,AZ,"Yuma, AZ",03130,Metro,10
Arkansas,AR,"Arkansas, AR",04000,Rural,30
Ashley,AR,"Ashley, AR",04010,Rural,30
Baxter,AR,"Baxter, AR",04020,Micro,20
Benton,AR,"Benton, AR",04030,Metro,10
Boone,AR,"Boone, AR",04040,Micro,20
Bradley,AR,"Bradley, AR",04050,Rural,30
Calhoun,AR,"Calhoun, AR",04060,CEAC,60
Carroll,AR,"Carroll, AR",04070,Rural,30
Chicot,AR,"Chicot, AR",04080,Rural,30
Clark,AR,"Clark, AR",04090,Rural,30
Clay,AR,"Clay, AR",04100,Rural,30
Cleburne,AR,"Cleburne, AR",04110,Rural,30
Cleveland,AR,"Cleveland, AR",04120,Rural,30
Columbia,AR,"Columbia, AR",04130,Rural,30
Conway,AR,"Conway, AR",04140,Rural,30
Craighead,AR,"Craighead, AR",04150,Metro,10
Crawford,AR,"Crawford, AR",04160,Metro,10
Crittenden,AR,"Crittenden, AR",04170,Micro,20
Cross,AR,"Cross, AR",04180,Rural,30
Dallas,AR,"Dallas, AR",04190,Rural,30
Desha,AR,"Desha, AR",04200,Rural,30
Drew,AR,"Drew, AR",04210,Rural,30
Faulkner,AR,"Faulkner, AR",04220,Metro,10
Franklin,AR,"Franklin, AR",04230,Rural,30
Fulton,AR,"Fulton, AR",04240,Rural,30
Garland,AR,"Garland, AR",04250,Metro,10
Grant,AR,"Grant, AR",04260,Rural,30
Greene,AR,"Greene, AR",04270,Micro,20
Hempstead,AR,"Hempstead, AR",04280,Rural,30
Hot Spring,AR,"Hot Spring, AR",04290,Micro,20
Howard,AR,"Howard, AR",04300,Rural,30
Independence,AR,"Independence, AR",04310,Rural,30
Izard,AR,"Izard, AR",04320,Rural,30
Jackson,AR,"Jackson, AR",04330,Rural,30
Jefferson,AR,"Jefferson, AR",04340,Micro,20
Johnson,AR,"Johnson, AR",04350,Rural,30
Lafayette,AR,"Lafayette, AR",04360,Rural,30
Lawrence,AR,"Lawrence, AR",04370,Rural,30
Lee,AR,"Lee, AR",04380,Rural,30
Lincoln,AR,"Lincoln, AR",04390,Rural,30
Little River,AR,"Little River, AR",04400,Rural,30
Logan,AR,"Logan, AR",04410,Rural,30
Lonoke,AR,"Lonoke, AR",04420,Micro,20
Madison,AR,"Madison, AR",04430,Rural,30
Marion,AR,"Marion, AR",04440,Rural,30
Miller,AR,"Miller, AR",04450,Micro,20
Mississippi,AR,"Mississippi, AR",04460,Rural,30
Monroe,AR,"Monroe, AR",04470,Rural,30
Montgomery,AR,"Montgomery, AR",04480,Rural,30
Nevada,AR,"Nevada, AR",04490,Rural,30
Newton,AR,"Newton, AR",04500,CEAC,60
Ouachita,AR,"Ouachita, AR",04510,Rural,30
Perry,AR,"Perry, AR",04520,Rural,30
Phillips,AR,"Phillips, AR",04530,Rural,30
Pike,AR,"Pike, AR",04540,Rural,30
Poinsett,AR,"Poinsett, AR",04550,Rural,30
Polk,AR,"Polk, AR",04560,Rural,30
Pope,AR,"Pope, AR",04570,Micro,20
Prairie,AR,"Prairie, AR",04580,Rural,30
Pulaski,AR,"Pulaski, AR",04590,Metro,10
Randolph,AR,"Randolph, AR",04600,Rural,30
St. Francis,AR,"St. Francis, AR",04610,Rural,30
Saline,AR,"Saline, AR",04620,Metro,15
Scott,AR,"Scott, AR",04630,Rural,30
Searcy,AR,"Searcy, AR",04640,Rural,30
Sebastian,AR,"Sebastian, AR",04650,Metro,10
Sevier,AR,"Sevier, AR",04660,Rural,30
Sharp,AR,"Sharp, AR",04670,Rural,30
Stone,AR,"Stone, AR",04680,Rural,30
Union,AR,"Union, AR",04690,Rural,30
Van Buren,AR,"Van Buren, AR",04700,Rural,30
Washington,AR,"Washington, AR",04710,Metro,10
White,AR,"White, AR",04720,Micro,20
