COUNTY,ST,COUNTY_STATE,SSACD,COUNTY DESIGNA-TION,Primary Care Distance
Rockdale,GA,"Rockdale, GA",11841,Metro,10
Schley,GA,"Schley, GA",11842,Rural,30
Screven,GA,"Screven, GA",11850,Rural,30
Seminole,GA,"Seminole, GA",11851,Rural,30
Spalding,GA,"Spalding, GA",11860,Metro,10
Stephens,GA,"Stephens, GA",11861,Micro,20
Stewart,GA,"Stewart, GA",11862,Rural,30
Sumter,GA,"Sumter, GA",11870,Micro,20
Talbot,GA,"Talbot, GA",11880,Rural,30
Taliaferro,GA,"Taliaferro, GA",11881,CEAC,60
Tattnall,GA,"Tattnall, GA",11882,Micro,20
Taylor,GA,"Taylor, GA",11883,Rural,30
Telfair,GA,"Telfair, GA",11884,Rural,30
Terrell,GA,"Terrell, GA",11885,Rural,30
Thomas,GA,"Thomas, GA",11890,Micro,20
Tift,GA,"Tift, GA",11900,Micro,20
Toombs,GA,"Toombs, GA",11901,Micro,20
Towns,GA,"Towns, GA",11902,Micro,20
Treutlen,GA,"Treutlen, GA",11903,Rural,30
Troup,GA,"Troup, GA",11910,Metro,10
Turner,GA,"Turner, GA",11911,Rural,30
Twiggs,GA,"Twiggs, GA",11912,Rural,30
Union,GA,"Union, GA",11913,Micro,20
Upson,GA,"Upson, GA",11920,Micro,20
Walker,GA,"Walker, GA",11921,Metro,10
Walton,GA,"Walton, GA",11930,Metro,10
Ware,GA,"Ware, GA",11940,Rural,30
Warren,GA,"Warren, GA",11941,Rural,30
Washington,GA,"Washington, GA",11950,Rural,30
Wayne,GA,"Wayne, GA",11960,Rural,30
Webster,GA,"Webster, GA",11961,Rural,30
Wheeler,GA,"Wheeler, GA",11962,Rural,30
White,GA,"White, GA",11963,Micro,20
Whitfield,GA,"Whitfield, GA",11970,Metro,10
Wilcox,GA,"Wilcox, GA",11971,Rural,30
Wilkes,GA,"Wilkes, GA",11972,Rural,30
Wilkinson,GA,"Wilkinson, GA",11973,Rural,30
Worth,GA,"Worth, GA",11980,Rural,30
Hawaii,HI,"Hawaii, HI",12010,Micro,20
Honolulu,HI,"Honolulu, HI",12020,Metro,10
Kalawao,HI,"Kalawao, HI",12030,Metro,10
Kauai,HI,"Kauai, HI",12040,Micro,20
Maui,HI,"Maui, HI",12050,Metro,10
Ada,ID,"Ada, ID",13000,Metro,10
Adams,ID,"Adams, ID",13010,CEAC,60
Bannock,ID,"Bannock, ID",13020,Micro,20
Bear Lake,ID,"Bear Lake, ID",13030,CEAC,60
Benewah,ID,"Benewah, ID",13040,Rural,30
Bingham,ID,"Bingham, ID",13050,Rural,30
Blaine,ID,"Blaine, ID",13060,CEAC,60
Boise,ID,"Boise, ID",13070,CEAC,60
Bonner,ID,"Bonner, ID",13080,Rural,30
Bonneville,ID,"Bonneville, ID",13090,Micro,20
Boundary,ID,"Boundary, ID",13100,CEAC,60
Butte,ID,"Butte, ID",13110,CEAC,60
Camas,ID,"Camas, ID",13120,CEAC,60
Canyon,ID,"Canyon, ID",13130,Metro,10
Caribou,ID,"Caribou, ID",13140,CEAC,60
Cassia,ID,"Cassia, ID",13150,CEAC,60
Clark,ID,"Clark, ID",13160,CEAC,60
Clearwater,ID,"Clearwater, ID",13170,CEAC,60
Custer,ID,"Custer, ID",13180,CEAC,60
Elmore,ID,"Elmore, ID",13190,CEAC,60
Franklin,ID,"Franklin, ID",13200,Rural,30
Fremont,ID,"Fremont, ID",13210,CEAC,60
Gem,ID,"Gem, ID",13220,Rural,30
Gooding,ID,"Gooding, ID",13230,Rural,30
Idaho,ID,"Idaho, ID",13240,CEAC,60
Jefferson,ID,"Jefferson, ID",13250,Rural,30
Jerome,ID,"Jerome, ID",13260,Rural,30
Kootenai,ID,"Kootenai, ID",13270,Metro,10
Latah,ID,"Latah, ID",13280,Rural,30
Lemhi,ID,"Lemhi, ID",13290,CEAC,60
Lewis,ID,"Lewis, ID",13300,CEAC,60
Lincoln,ID,"Lincoln, ID",13310,CEAC,60
Madison,ID,"Madison, ID",13320,Micro,20
Minidoka,ID,"Minidoka, ID",13330,Rural,30
Nez Perce,ID,"Nez Perce, ID",13340,Rural,30
Oneida,ID,"Oneida, ID",13350,CEAC,60
Owyhee,ID,"Owyhee, ID",13360,CEAC,60
Payette,ID,"Payette, ID",13370,Micro,20
Power,ID,"Power, ID",13380,CEAC,60
Shoshone,ID,"Shoshone, ID",13390,CEAC,60
Teton,ID,"Teton, ID",13400,Rural,30
Twin Falls,ID,"Twin Falls, ID",13410,Micro,20
Valley,ID,"Valley, ID",13420,CEAC,60
Washington,ID,"Washington, ID",13430,CEAC,60
Adams,IL,"Adams, IL",14000,Micro,20
Alexander,IL,"Alexander, IL",14010,Rural,30
Bond,IL,"Bond, IL",14020,Rural,30
Boone,IL,"Boone, IL",14030,Metro,10
Brown,IL,"Brown, IL",14040,Rural,30
Bureau,IL,"Bureau, IL",14050,Rural,30
Calhoun,IL,"Calhoun, IL",14060,Rural,30
Carroll,IL,"Carroll, IL",14070,Rural,30
Cass,IL,"Cass, IL",14080,Rural,30
Champaign,IL,"Champaign, IL",14090,Metro,10
Christian,IL,"Christian, IL",14100,Rural,30
Clark,IL,"Clark, IL",14110,Rural,30
Clay,IL,"Clay, IL",14120,Rural,30
Clinton,IL,"Clinton, IL",14130,Micro,20
Coles,IL,"Coles, IL",14140,Metro,10
Cook,IL,"Cook, IL",14141,Large Metro,5
Crawford,IL,"Crawford, IL",14150,Rural,30
Cumberland,IL,"Cumberland, IL",14160,Rural,30
DeKalb,IL,"DeKalb, IL",14170,Metro,10
De Witt,IL,"De Witt, IL",14180,Rural,30
Douglas,IL,"Douglas, IL",14190,Rural,30
DuPage,IL,"DuPage, IL",14250,Large Metro,5
Edgar,IL,"Edgar, IL",14310,Rural,30
Edwards,IL,"Edwards, IL",14320,Rural,30
Effingham,IL,"Effingham, IL",14330,Micro,20
Fayette,IL,"Fayette, IL",14340,Rural,30
Ford,IL,"Ford, IL",14350,Rural,30
Franklin,IL,"Franklin, IL",14360,Micro,20
Fulton,IL,"Fulton, IL",14370,Rural,30
Gallatin,IL,"Gallatin, IL",14380,Rural,30
Greene,IL,"Greene, IL",14390,Rural,30
Grundy,IL,"Grundy, IL",14400,Metro,10
Hamilton,IL,"Hamilton, IL",14410,Rural,30
Hancock,IL,"Hancock, IL",14420,Rural,30
Hardin,IL,"Hardin, IL",14421,Rural,30
Henderson,IL,"Henderson, IL",14440,Rural,30
Henry,IL,"Henry, IL",14450,Micro,20
Iroquois,IL,"Iroquois, IL",14460,Rural,30
Jackson,IL,"Jackson, IL",14470,Metro,10
Jasper,IL,"Jasper, IL",14480,Rural,30
Jefferson,IL,"Jefferson, IL",14490,Micro,20
Jersey,IL,"Jersey, IL",14500,Micro,20
Jo Daviess,IL,"Jo Daviess, IL",14510,Rural,30
Johnson,IL,"Johnson, IL",14520,Rural,30
Kane,IL,"Kane, IL",14530,Metro,10
Kankakee,IL,"Kankakee, IL",14540,Metro,10
Kendall,IL,"Kendall, IL",14550,Metro,10
Knox,IL,"Knox, IL",14560,Micro,20
Lake,IL,"Lake, IL",14570,Large Metro,5
La Salle,IL,"La Salle, IL",14580,Micro,20
Lawrence,IL,"Lawrence, IL",14590,Rural,30
Lee,IL,"Lee, IL",14600,Rural,30
Livingston,IL,"Livingston, IL",14610,Rural,30
Logan,IL,"Logan, IL",14620,Rural,30
McDonough,IL,"McDonough, IL",14630,Micro,20
McHenry,IL,"McHenry, IL",14640,Metro,10
McLean,IL,"McLean, IL",14650,Metro,10
Macon,IL,"Macon, IL",14660,Metro,10
Macoupin,IL,"Macoupin, IL",14670,Micro,20
Madison,IL,"Madison, IL",14680,Metro,10
Marion,IL,"Marion, IL",14690,Micro,20
Marshall,IL,"Marshall, IL",14700,Rural,30
Mason,IL,"Mason, IL",14710,Rural,30
Massac,IL,"Massac, IL",14720,Micro,20
Menard,IL,"Menard, IL",14730,Rural,30
Mercer,IL,"Mercer, IL",14740,Rural,30
Monroe,IL,"Monroe, IL",14750,Micro,20
Montgomery,IL,"Montgomery, IL",14760,Rural,30
Morgan,IL,"Morgan, IL",14770,Micro,20
Moultrie,IL,"Moultrie, IL",14780,Rural,30
Ogle,IL,"Ogle, IL",14790,Micro,20
Peoria,IL,"Peoria, IL",14800,Metro,10
Perry,IL,"Perry, IL",14810,Rural,30
Piatt,IL,"Piatt, IL",14820,Rural,30
Pike,IL,"Pike, IL",14830,Rural,30
Pope,IL,"Pope, IL",14831,Rural,30
Pulaski,IL,"Pulaski, IL",14850,Rural,30
Putnam,IL,"Putnam, IL",14860,Rural,30
Randolph,IL,"Randolph, IL",14870,Micro,20
Richland,IL,"Richland, IL",14880,Rural,30
Rock Island,IL,"Rock Island, IL",14890,Metro,10
St. Clair,IL,"St. Clair, IL",14900,Metro,10
Saline,IL,"Saline, IL",14910,Micro,20
Sangamon,IL,"Sangamon, IL",14920,Metro,10
Schuyler,IL,"Schuyler, IL",14921,Rural,30
Scott,IL,"Scott, IL",14940,Rural,30
Shelby,IL,"Shelby, IL",14950,Rural,30
Stark,IL,"Stark, IL",14960,Rural,30
Stephenson,IL,"Stephenson, IL",14970,Micro,20
Tazewell,IL,"Tazewell, IL",14980,Metro,10
Union,IL,"Union, IL",14981,Rural,30
Vermilion,IL,"Vermilion, IL",14982,Micro,20
Wabash,IL,"Wabash, IL",14983,Micro,20
Warren,IL,"Warren, IL",14984,Rural,30
Washington,IL,"Washington, IL",14985,Rural,30
Wayne,IL,"Wayne, IL",14986,Rural,30
White,IL,"White, IL",14987,Rural,30
Whiteside,IL,"Whiteside, IL",14988,Micro,20
Will,IL,"Will, IL",14989,Metro,10
Williamson,IL,"Williamson, IL",14990,Metro,10
Winnebago,IL,"Winnebago, IL",14991,Metro,10
Woodford,IL,"Woodford, IL",14992,Micro,20
Adams,IN,"Adams, IN",15000,Micro,20
Allen,IN,"Allen, IN",15010,Metro,10
Bartholomew,IN,"Bartholomew, IN",15020,Metro,10
Benton,IN,"Benton, IN",15030,Rural,30
Blackford,IN,"Blackford, IN",15040,Micro,20
Boone,IN,"Boone, IN",15050,Metro,10
Brown,IN,"Brown, IN",15060,Rural,30
Carroll,IN,"Carroll, IN",15070,Micro,20
Cass,IN,"Cass, IN",15080,Micro,20
Clark,IN,"Clark, IN",15090,Metro,10
Clay,IN,"Clay, IN",15100,Micro,20
Clinton,IN,"Clinton, IN",15110,Micro,20
Crawford,IN,"Crawford, IN",15120,Rural,30
Daviess,IN,"Daviess, IN",15130,Micro,20
Dearborn,IN,"Dearborn, IN",15140,Micro,20
Decatur,IN,"Decatur, IN",15150,Micro,20
De Kalb,IN,"De Kalb, IN",15160,Micro,20
Delaware,IN,"Delaware, IN",15170,Metro,10
Dubois,IN,"Dubois, IN",15180,Micro,20
Elkhart,IN,"Elkhart, IN",15190,Metro,10
Fayette,IN,"Fayette, IN",15200,Micro,20
Floyd,IN,"Floyd, IN",15210,Metro,10
Fountain,IN,"Fountain, IN",15220,Rural,30
Franklin,IN,"Franklin, IN",15230,Micro,20
Fulton,IN,"Fulton, IN",15240,Micro,20
Gibson,IN,"Gibson, IN",15250,Micro,20
Grant,IN,"Grant, IN",15260,Metro,10
Greene,IN,"Greene, IN",15270,Micro,20
Hamilton,IN,"Hamilton, IN",15280,Metro,10
Hancock,IN,"Hancock, IN",15290,Metro,10
Harrison,IN,"Harrison, IN",15300,Micro,20
Hendricks,IN,"Hendricks, IN",15310,Metro,10
Henry,IN,"Henry, IN",15320,Micro,20
Howard,IN,"Howard, IN",15330,Metro,10
Huntington,IN,"Huntington, IN",15340,Micro,20
Jackson,IN,"Jackson, IN",15350,Micro,20
Jasper,IN,"Jasper, IN",15360,Micro,20
Jay,IN,"Jay, IN",15370,Micro,20
Jefferson,IN,"Jefferson, IN",15380,Micro,20
Jennings,IN,"Jennings, IN",15390,Micro,20
Johnson,IN,"Johnson, IN",15400,Metro,10
Knox,IN,"Knox, IN",15410,Micro,20
Kosciusko,IN,"Kosciusko, IN",15420,Metro,10
Lagrange,IN,"LaGrange, IN",15430,Micro,20
Lake,IN,"Lake, IN",15440,Metro,10
La Porte,IN,"La Porte, IN",15450,Metro,10
Lawrence,IN,"Lawrence, IN",15460,Micro,20
Madison,IN,"Madison, IN",15470,Metro,10
Marion,IN,"Marion, IN",15480,Large Metro,5
Marshall,IN,"Marshall, IN",15490,Micro,20
Martin,IN,"Martin, IN",15500,Rural,30
Miami,IN,"Miami, IN",15510,Micro,20
Monroe,IN,"Monroe, IN",15520,Metro,10
Montgomery,IN,"Montgomery, IN",15530,Micro,20
Morgan,IN,"Morgan, IN",15540,Metro,10
Newton,IN,"Newton, IN",15550,Rural,30
Noble,IN,"Noble, IN",15560,Micro,20
Ohio,IN,"Ohio, IN",15570,Rural,30
Orange,IN,"Orange, IN",15580,Rural,30
Owen,IN,"Owen, IN",15590,Micro,20
Parke,IN,"Parke, IN",15600,Rural,30
Perry,IN,"Perry, IN",15610,Micro,20
Pike,IN,"Pike, IN",15620,Rural,30
Porter,IN,"Porter, IN",15630,Metro,10
Posey,IN,"Posey, IN",15640,Micro,20
Pulaski,IN,"Pulaski, IN",15650,Rural,30
Putnam,IN,"Putnam, IN",15660,Micro,20
Randolph,IN,"Randolph, IN",15670,Micro,20
Ripley,IN,"Ripley, IN",15680,Micro,20
Rush,IN,"Rush, IN",15690,Rural,30
St. Joseph,IN,"St. Joseph, IN",15700,Metro,10
Scott,IN,"Scott, IN",15710,Micro,20
Shelby,IN,"Shelby, IN",15720,Micro,20
Spencer,IN,"Spencer, IN",15730,Micro,20
Starke,IN,"Starke, IN",15740,Micro,20
Steuben,IN,"Steuben, IN",15750,Micro,20
Sullivan,IN,"Sullivan, IN",15760,Rural,30
Switzerland,IN,"Switzerland, IN",15770,Rural,30
Tippecanoe,IN,"Tippecanoe, IN",15780,Metro,10
Tipton,IN,"Tipton, IN",15790,Micro,20
Union,IN,"Union, IN",15800,Rural,30
Vanderburgh,IN,"Vanderburgh, IN",15810,Metro,10
Vermillion,IN,"Vermillion, IN",15820,Micro,20
Vigo,IN,"Vigo, IN",15830,Metro,10
Wabash,IN,"Wabash, IN",15840,Micro,20
Warren,IN,"Warren, IN",15850,Rural,30
Warrick,IN,"Warrick, IN",15860,Metro,10
Washington,IN,"Washington, IN",15870,Micro,20
Wayne,IN,"Wayne, IN",15880,Metro,10
Wells,IN,"Wells, IN",15890,Micro,20
White,IN,"White, IN",15900,Rural,30
Whitley,IN,"Whitley, IN",15910,Micro,20
Adair,IA,"Adair, IA",16000,Rural,30
Adams,IA,"Adams, IA",16010,CEAC,60
Allamakee,IA,"Allamakee, IA",16020,Rural,30
Appanoose,IA,"Appanoose, IA",16030,Rural,30
Audubon,IA,"Audubon, IA",16040,Rural,30
Benton,IA,"Benton, IA",16050,Rural,30
Black Hawk,IA,"Black Hawk, IA",16060,Metro,10
Boone,IA,"Boone, IA",16070,Rural,30
Bremer,IA,"Bremer, IA",16080,Micro,20
Buchanan,IA,"Buchanan, IA",16090,Rural,30
Buena Vista,IA,"Buena Vista, IA",16100,Rural,30
Butler,IA,"Butler, IA",16110,Rural,30
Calhoun,IA,"Calhoun, IA",16120,Rural,30
Carroll,IA,"Carroll, IA",16130,Rural,30
Cass,IA,"Cass, IA",16140,Rural,30
Cedar,IA,"Cedar, IA",16150,Rural,30
Cerro Gordo,IA,"Cerro Gordo, IA",16160,Micro,20
Cherokee,IA,"Cherokee, IA",16170,Rural,30
Chickasaw,IA,"Chickasaw, IA",16180,Rural,30
Clarke,IA,"Clarke, IA",16190,Rural,30
Clay,IA,"Clay, IA",16200,Rural,30
Clayton,IA,"Clayton, IA",16210,Rural,30
Clinton,IA,"Clinton, IA",16220,Micro,20
Crawford,IA,"Crawford, IA",16230,Rural,30
Dallas,IA,"Dallas, IA",16240,Metro,10
Davis,IA,"Davis, IA",16250,Rural,30
Decatur,IA,"Decatur, IA",16260,Rural,30
Delaware,IA,"Delaware, IA",16270,Rural,30
Des Moines,IA,"Des Moines, IA",16280,Micro,20
Dickinson,IA,"Dickinson, IA",16290,Rural,30
Dubuque,IA,"Dubuque, IA",16300,Metro,15
Emmet,IA,"Emmet, IA",16310,Rural,30
Fayette,IA,"Fayette, IA",16320,Rural,30
Floyd,IA,"Floyd, IA",16330,Rural,30
Franklin,IA,"Franklin, IA",16340,Rural,30
Fremont,IA,"Fremont, IA",16350,Rural,30
Greene,IA,"Greene, IA",16360,Rural,30
Grundy,IA,"Grundy, IA",16370,Rural,30
Guthrie,IA,"Guthrie, IA",16380,Rural,30
Hamilton,IA,"Hamilton, IA",16390,Rural,30
Hancock,IA,"Hancock, IA",16400,Rural,30
Hardin,IA,"Hardin, IA",16410,Rural,30
Harrison,IA,"Harrison, IA",16420,Rural,30
Henry,IA,"Henry, IA",16430,Rural,30
Howard,IA,"Howard, IA",16440,Rural,30
Humboldt,IA,"Humboldt, IA",16450,Rural,30
Ida,IA,"Ida, IA",16460,Rural,30
Iowa,IA,"Iowa, IA",16470,Rural,30
Jackson,IA,"Jackson, IA",16480,Rural,30
Jasper,IA,"Jasper, IA",16490,Micro,20
Jefferson,IA,"Jefferson, IA",16500,Rural,30
Johnson,IA,"Johnson, IA",16510,Metro,10
Jones,IA,"Jones, IA",16520,Rural,30
Keokuk,IA,"Keokuk, IA",16530,Rural,30
Kossuth,IA,"Kossuth, IA",16540,Rural,30
Lee,IA,"Lee, IA",16550,Micro,20
Linn,IA,"Linn, IA",16560,Metro,10
Louisa,IA,"Louisa, IA",16570,Rural,30
Lucas,IA,"Lucas, IA",16580,Rural,30
Lyon,IA,"Lyon, IA",16590,Rural,30
Madison,IA,"Madison, IA",16600,Rural,30
Mahaska,IA,"Mahaska, IA",16610,Rural,30
Marion,IA,"Marion, IA",16620,Micro,20
Marshall,IA,"Marshall, IA",16630,Micro,20
Mills,IA,"Mills, IA",16640,Rural,30
Mitchell,IA,"Mitchell, IA",16650,Rural,30
Monona,IA,"Monona, IA",16660,Rural,30
Monroe,IA,"Monroe, IA",16670,Rural,30
Montgomery,IA,"Montgomery, IA",16680,Rural,30
Muscatine,IA,"Muscatine, IA",16690,Micro,20
O'Brien,IA,"O'Brien, IA",16700,Rural,30
Osceola,IA,"Osceola, IA",16710,Rural,30
Page,IA,"Page, IA",16720,Rural,30
Palo Alto,IA,"Palo Alto, IA",16730,Rural,30
Plymouth,IA,"Plymouth, IA",16740,Rural,30
Pocahontas,IA,"Pocahontas, IA",16750,Rural,30
Polk,IA,"Polk, IA",16760,Metro,10
Pottawattamie,IA,"Pottawattamie, IA",16770,Micro,20
Poweshiek,IA,"Poweshiek, IA",16780,Rural,30
Ringgold,IA,"Ringgold, IA",16790,CEAC,60
Sac,IA,"Sac, IA",16800,Rural,30
Scott,IA,"Scott, IA",16810,Metro,10
Shelby,IA,"Shelby, IA",16820,Rural,30
Sioux,IA,"Sioux, IA",16830,Rural,30
Story,IA,"Story, IA",16840,Metro,10
Tama,IA,"Tama, IA",16850,Rural,30
Taylor,IA,"Taylor, IA",16860,Rural,30
Union,IA,"Union, IA",16870,Rural,30
Van Buren,IA,"Van Buren, IA",16880,Rural,30
Wapello,IA,"Wapello, IA",16890,Micro,20
Warren,IA,"Warren, IA",16900,Micro,20
Washington,IA,"Washington, IA",16910,Rural,30
Wayne,IA,"Wayne, IA",16920,Rural,30
Webster,IA,"Webster, IA",16930,Micro,20
Winnebago,IA,"Winnebago, IA",16940,Rural,30
Winneshiek,IA,"Winneshiek, IA",16950,Rural,30
Woodbury,IA,"Woodbury, IA",16960,Metro,10
Worth,IA,"Worth, IA",16970,Rural,30
Wright,IA,"Wright, IA",16980,Rural,30
Allen,KS,"Allen, KS",17000,Rural,30
Anderson,KS,"Anderson, KS",17010,Rural,30
Atchison,KS,"Atchison, KS",17020,Rural,30
Barber,KS,"Barber, KS",17030,CEAC,60
Barton,KS,"Barton, KS",17040,Rural,30
Bourbon,KS,"Bourbon, KS",17050,Rural,30
Brown,KS,"Brown, KS",17060,Rural,30
Butler,KS,"Butler, KS",17070,Micro,20
Chase,KS,"Chase, KS",17080,CEAC,60
Chautauqua,KS,"Chautauqua, KS",17090,CEAC,60
Cherokee,KS,"Cherokee, KS",17100,Rural,30
Cheyenne,KS,"Cheyenne, KS",17110,CEAC,60
Clark,KS,"Clark, KS",17120,CEAC,60
Clay,KS,"Clay, KS",17130,Rural,30
Cloud,KS,"Cloud, KS",17140,Rural,30
Coffey,KS,"Coffey, KS",17150,Rural,30
Comanche,KS,"Comanche, KS",17160,CEAC,60
Cowley,KS,"Cowley, KS",17170,Rural,30
Crawford,KS,"Crawford, KS",17180,Micro,20
Decatur,KS,"Decatur, KS",17190,CEAC,60
Dickinson,KS,"Dickinson, KS",17200,Rural,30
Doniphan,KS,"Doniphan, KS",17210,Rural,30
Douglas,KS,"Douglas, KS",17220,Metro,10
Edwards,KS,"Edwards, KS",17230,CEAC,60
Elk,KS,"Elk, KS",17240,CEAC,60
Ellis,KS,"Ellis, KS",17250,Rural,30
Ellsworth,KS,"Ellsworth, KS",17260,CEAC,60
Finney,KS,"Finney, KS",17270,Rural,30
Ford,KS,"Ford, KS",17280,Rural,30
Franklin,KS,"Franklin, KS",17290,Rural,30
Geary,KS,"Geary, KS",17300,Micro,20
Gove,KS,"Gove, KS",17310,CEAC,60
Graham,KS,"Graham, KS",17320,CEAC,60
Grant,KS,"Grant, KS",17330,Rural,30
Gray,KS,"Gray, KS",17340,CEAC,60
Greeley,KS,"Greeley, KS",17350,CEAC,60
Greenwood,KS,"Greenwood, KS",17360,CEAC,60
Hamilton,KS,"Hamilton, KS",17370,CEAC,60
Harper,KS,"Harper, KS",17380,CEAC,60
Harvey,KS,"Harvey, KS",17390,Micro,20
Haskell,KS,"Haskell, KS",17391,CEAC,60
Hodgeman,KS,"Hodgeman, KS",17410,CEAC,60
Jackson,KS,"Jackson, KS",17420,Rural,30
Jefferson,KS,"Jefferson, KS",17430,Rural,30
Jewell,KS,"Jewell, KS",17440,CEAC,60
Johnson,KS,"Johnson, KS",17450,Metro,10
Kearny,KS,"Kearny, KS",17451,CEAC,60
Kingman,KS,"Kingman, KS",17470,CEAC,60
Kiowa,KS,"Kiowa, KS",17480,CEAC,60
Labette,KS,"Labette, KS",17490,Rural,30
Lane,KS,"Lane, KS",17500,CEAC,60
Leavenworth,KS,"Leavenworth, KS",17510,Metro,10
Lincoln,KS,"Lincoln, KS",17520,CEAC,60
Linn,KS,"Linn, KS",17530,Rural,30
Logan,KS,"Logan, KS",17540,CEAC,60
Lyon,KS,"Lyon, KS",17550,Rural,30
McPherson,KS,"McPherson, KS",17560,Rural,30
Marion,KS,"Marion, KS",17570,Rural,30
Marshall,KS,"Marshall, KS",17580,Rural,30
Meade,KS,"Meade, KS",17590,CEAC,60
Miami,KS,"Miami, KS",17600,Micro,20
Mitchell,KS,"Mitchell, KS",17610,CEAC,60
Montgomery,KS,"Montgomery, KS",17620,Micro,20
Morris,KS,"Morris, KS",17630,CEAC,60
Morton,KS,"Morton, KS",17640,CEAC,60
Nemaha,KS,"Nemaha, KS",17650,Rural,30
Neosho,KS,"Neosho, KS",17660,Rural,30
Ness,KS,"Ness, KS",17670,CEAC,60
Norton,KS,"Norton, KS",17680,CEAC,60
Osage,KS,"Osage, KS",17690,Rural,30
Osborne,KS,"Osborne, KS",17700,CEAC,60
Ottawa,KS,"Ottawa, KS",17710,CEAC,60
Pawnee,KS,"Pawnee, KS",17720,CEAC,60
Phillips,KS,"Phillips, KS",17730,CEAC,60
Pottawatomie,KS,"Pottawatomie, KS",17740,Rural,30
Pratt,KS,"Pratt, KS",17750,Rural,30
Rawlins,KS,"Rawlins, KS",17760,CEAC,60
Reno,KS,"Reno, KS",17770,Micro,20
Republic,KS,"Republic, KS",17780,CEAC,60
Rice,KS,"Rice, KS",17790,Rural,30
Riley,KS,"Riley, KS",17800,Metro,10
Rooks,KS,"Rooks, KS",17810,CEAC,60
Rush,KS,"Rush, KS",17820,CEAC,60
Russell,KS,"Russell, KS",17830,CEAC,60
Saline,KS,"Saline, KS",17840,Micro,20
Scott,KS,"Scott, KS",17841,CEAC,60
Sedgwick,KS,"Sedgwick, KS",17860,Metro,10
Seward,KS,"Seward, KS",17870,Rural,30
Shawnee,KS,"Shawnee, KS",17880,Metro,10
Sheridan,KS,"Sheridan, KS",17890,CEAC,60
Sherman,KS,"Sherman, KS",17900,CEAC,60
Smith,KS,"Smith, KS",17910,CEAC,60
Stafford,KS,"Stafford, KS",17920,CEAC,60
Stanton,KS,"Stanton, KS",17921,CEAC,60
Stevens,KS,"Stevens, KS",17940,CEAC,60
Sumner,KS,"Sumner, KS",17950,Rural,30
Thomas,KS,"Thomas, KS",17960,CEAC,60
Trego,KS,"Trego, KS",17970,CEAC,60
Wabaunsee,KS,"Wabaunsee, KS",17980,CEAC,60
Wallace,KS,"Wallace, KS",17981,CEAC,60
Washington,KS,"Washington, KS",17982,CEAC,60
Wichita,KS,"Wichita, KS",17983,CEAC,60
Wilson,KS,"Wilson, KS",17984,Rural,30
Woodson,KS,"Woodson, KS",17985,CEAC,60
Wyandotte,KS,"Wyandotte, KS",17986,Metro,10
Adair,KY,"Adair, KY",18000,Rural,30
Allen,KY,"Allen, KY",18010,Micro,20
Anderson,KY,"Anderson, KY",18020,Micro,20
Ballard,KY,"Ballard, KY",18030,Rural,30
Barren,KY,"Barren, KY",18040,Micro,20
Bath,KY,"Bath, KY",18050,Rural,30
Bell,KY,"Bell, KY",18060,Micro,20
Boone,KY,"Boone, KY",18070,Metro,10
Bourbon,KY,"Bourbon, KY",18080,Micro,20
Boyd,KY,"Boyd, KY",18090,Micro,20
Boyle,KY,"Boyle, KY",18100,Micro,20
Bracken,KY,"Bracken, KY",18110,Rural,30
Breathitt,KY,"Breathitt, KY",18120,Rural,30
Breckinridge,KY,"Breckinridge, KY",18130,Rural,30
Bullitt,KY,"Bullitt, KY",18140,Metro,10
Butler,KY,"Butler, KY",18150,Rural,30
Caldwell,KY,"Caldwell, KY",18160,Rural,30
Calloway,KY,"Calloway, KY",18170,Micro,20
Campbell,KY,"Campbell, KY",18180,Metro,10
Carlisle,KY,"Carlisle, KY",18190,Rural,30
Carroll,KY,"Carroll, KY",18191,Micro,20
Carter,KY,"Carter, KY",18210,Micro,20
Casey,KY,"Casey, KY",18220,Rural,30
Christian,KY,"Christian, KY",18230,Metro,15
Clark,KY,"Clark, KY",18240,Micro,20
Clay,KY,"Clay, KY",18250,Rural,30
Clinton,KY,"Clinton, KY",18260,Micro,20
Crittenden,KY,"Crittenden, KY",18270,Rural,30
Cumberland,KY,"Cumberland, KY",18271,Rural,30
Daviess,KY,"Daviess, KY",18290,Metro,10
Edmonson,KY,"Edmonson, KY",18291,Rural,30
Elliott,KY,"Elliott, KY",18310,Rural,30
Estill,KY,"Estill, KY",18320,Micro,20
Fayette,KY,"Fayette, KY",18330,Metro,10
Fleming,KY,"Fleming, KY",18340,Rural,30
Floyd,KY,"Floyd, KY",18350,Micro,20
Franklin,KY,"Franklin, KY",18360,Metro,10
Fulton,KY,"Fulton, KY",18361,Rural,30
Gallatin,KY,"Gallatin, KY",18362,Rural,30
Garrard,KY,"Garrard, KY",18390,Micro,20
Grant,KY,"Grant, KY",18400,Micro,20
Graves,KY,"Graves, KY",18410,Micro,20
Grayson,KY,"Grayson, KY",18420,Micro,20
Green,KY,"Green, KY",18421,Rural,30
Greenup,KY,"Greenup, KY",18440,Micro,20
Hancock,KY,"Hancock, KY",18450,Rural,30
Hardin,KY,"Hardin, KY",18460,Metro,10
Harlan,KY,"Harlan, KY",18470,Micro,20
Harrison,KY,"Harrison, KY",18480,Micro,20
Hart,KY,"Hart, KY",18490,Rural,30
