"GEOID","NAME","total_pop","total_black"
"00601","ZCTA5 00601",17126,243
"00602","ZCTA5 00602",37895,688
"00603","ZCTA5 00603",49136,1681
"00606","ZCTA5 00606",5751,27
"00610","ZCTA5 00610",26153,642
"00611","ZCTA5 00611",1283,13
"00612","ZCTA5 00612",64090,1936
"00616","ZCTA5 00616",10186,644
"00617","ZCTA5 00617",22803,930
"00622","ZCTA5 00622",7751,344
"00623","ZCTA5 00623",39652,1482
"00624","ZCTA5 00624",21912,607
"00627","ZCTA5 00627",32885,467
"00631","ZCTA5 00631",1098,0
"00636","ZCTA5 00636",1174,0
"00637","ZCTA5 00637",23016,354
"00638","ZCTA5 00638",17689,409
"00641","ZCTA5 00641",24915,353
"00646","ZCTA5 00646",36142,3147
"00647","ZCTA5 00647",5198,265
"00650","ZCTA5 00650",14301,234
"00652","ZCTA5 00652",3193,79
"00653","ZCTA5 00653",9099,432
"00656","ZCTA5 00656",18633,318
"00659","ZCTA5 00659",37525,792
"00660","ZCTA5 00660",15630,344
"00662","ZCTA5 00662",40503,2774
"00664","ZCTA5 00664",15132,449
"00667","ZCTA5 00667",23665,358
"00669","ZCTA5 00669",27763,503
"00670","ZCTA5 00670",8744,64
"00674","ZCTA5 00674",39569,1296
"00676","ZCTA5 00676",36849,1554
"00677","ZCTA5 00677",15225,213
"00678","ZCTA5 00678",25763,702
"00680","ZCTA5 00680",43070,1178
"00682","ZCTA5 00682",31816,984
"00683","ZCTA5 00683",29664,423
"00685","ZCTA5 00685",40169,1283
"00687","ZCTA5 00687",29069,1177
"00688","ZCTA5 00688",11552,204
"00690","ZCTA5 00690",6217,204
"00692","ZCTA5 00692",33646,2618
"00693","ZCTA5 00693",56146,2823
"00694","ZCTA5 00694",86,0
"00698","ZCTA5 00698",34016,1281
"00703","ZCTA5 00703",25001,1478
"00704","ZCTA5 00704",7179,2012
"00705","ZCTA5 00705",24414,3411
"00707","ZCTA5 00707",10615,5579
"00714","ZCTA5 00714",16183,4033
"00715","ZCTA5 00715",2012,224
"00716","ZCTA5 00716",27746,1758
"00717","ZCTA5 00717",14568,979
"00718","ZCTA5 00718",23412,374
"00719","ZCTA5 00719",29555,2131
"00720","ZCTA5 00720",20717,957
"00723","ZCTA5 00723",16265,8866
"00725","ZCTA5 00725",79153,6939
"00727","ZCTA5 00727",52829,5169
"00728","ZCTA5 00728",39669,2583
"00729","ZCTA5 00729",48227,6435
"00730","ZCTA5 00730",33251,1460
"00731","ZCTA5 00731",11131,651
"00735","ZCTA5 00735",11621,756
"00736","ZCTA5 00736",46167,4057
"00738","ZCTA5 00738",30468,2543
"00739","ZCTA5 00739",35105,4170
"00740","ZCTA5 00740",2020,150
"00741","ZCTA5 00741",3899,1007
"00745","ZCTA5 00745",48282,6180
"00751","ZCTA5 00751",19768,5388
"00754","ZCTA5 00754",37012,11139
"00757","ZCTA5 00757",20366,5093
"00765","ZCTA5 00765",8317,629
"00766","ZCTA5 00766",22416,1784
"00767","ZCTA5 00767",31450,16174
"00769","ZCTA5 00769",35126,6837
"00771","ZCTA5 00771",34882,17143
"00772","ZCTA5 00772",18148,7958
"00773","ZCTA5 00773",17917,1362
"00775","ZCTA5 00775",1293,31
"00777","ZCTA5 00777",38267,7518
"00778","ZCTA5 00778",41026,4623
"00780","ZCTA5 00780",12975,1249
"00782","ZCTA5 00782",18664,1734
"00783","ZCTA5 00783",34329,2100
"00784","ZCTA5 00784",36965,5465
"00786","ZCTA5 00786",151,65
"00791","ZCTA5 00791",47335,6919
"00794","ZCTA5 00794",28432,2088
"00795","ZCTA5 00795",44055,3209
"00901","ZCTA5 00901",8098,867
"00906","ZCTA5 00906",171,0
"00907","ZCTA5 00907",16620,1302
"00909","ZCTA5 00909",5007,752
"00911","ZCTA5 00911",7347,511
"00912","ZCTA5 00912",6233,999
"00913","ZCTA5 00913",7460,308
"00915","ZCTA5 00915",25585,3349
"00917","ZCTA5 00917",18504,1860
"00918","ZCTA5 00918",15393,738
"00920","ZCTA5 00920",17249,3316
"00921","ZCTA5 00921",32958,5509
"00923","ZCTA5 00923",25915,3801
"00924","ZCTA5 00924",48016,8874
"00925","ZCTA5 00925",6128,1220
"00926","ZCTA5 00926",94560,9525
"00927","ZCTA5 00927",13662,967
"00934","ZCTA5 00934",124,53
"00949","ZCTA5 00949",69785,5876
"00950","ZCTA5 00950",0,0
"00951","ZCTA5 00951",376,94
"00952","ZCTA5 00952",7727,1610
"00953","ZCTA5 00953",67606,4219
"00956","ZCTA5 00956",64939,4130
"00957","ZCTA5 00957",41162,2483
"00959","ZCTA5 00959",47783,4250
"00960","ZCTA5 00960",3380,506
"00961","ZCTA5 00961",30842,2317
"00962","ZCTA5 00962",20066,1953
"00965","ZCTA5 00965",5392,660
"00966","ZCTA5 00966",15737,582
"00968","ZCTA5 00968",3683,99
"00969","ZCTA5 00969",42144,2586
"00971","ZCTA5 00971",27048,1922
"00976","ZCTA5 00976",61869,7555
"00979","ZCTA5 00979",17313,1883
"00982","ZCTA5 00982",14151,2573
"00983","ZCTA5 00983",32747,6537
"00985","ZCTA5 00985",32261,6135
"00987","ZCTA5 00987",54950,8801
"01001","ZCTA5 01001",16088,596
"01002","ZCTA5 01002",27323,1643
"01003","ZCTA5 01003",13711,766
"01005","ZCTA5 01005",4947,22
"01007","ZCTA5 01007",15304,52
"01008","ZCTA5 01008",1171,0
"01009","ZCTA5 01009",800,0
"01010","ZCTA5 01010",3703,151
"01011","ZCTA5 01011",1332,5
"01012","ZCTA5 01012",503,0
"01013","ZCTA5 01013",22709,1023
"01020","ZCTA5 01020",30704,1684
"01022","ZCTA5 01022",2235,370
"01026","ZCTA5 01026",1071,0
"01027","ZCTA5 01027",17708,71
"01028","ZCTA5 01028",16386,165
"01029","ZCTA5 01029",511,0
"01030","ZCTA5 01030",12627,186
"01031","ZCTA5 01031",1577,0
"01032","ZCTA5 01032",430,0
"01033","ZCTA5 01033",6110,65
"01034","ZCTA5 01034",1991,22
"01035","ZCTA5 01035",5293,120
"01036","ZCTA5 01036",4991,5
"01037","ZCTA5 01037",692,1
"01038","ZCTA5 01038",2601,0
"01039","ZCTA5 01039",1675,29
"01040","ZCTA5 01040",38480,1550
"01050","ZCTA5 01050",2593,28
"01053","ZCTA5 01053",2016,173
"01054","ZCTA5 01054",1794,9
"01056","ZCTA5 01056",21050,411
"01057","ZCTA5 01057",8288,60
