"GEOID","NAME","total_pop","total_black"
"28510","ZCTA5 28510",1508,178
"28512","ZCTA5 28512",3211,32
"28515","ZCTA5 28515",2606,1107
"28421","ZCTA5 28421",1610,274
"28422","ZCTA5 28422",8116,967
"28423","ZCTA5 28423",2421,737
"28430","ZCTA5 28430",2298,445
"28445","ZCTA5 28445",7196,100
"28448","ZCTA5 28448",902,102
"28449","ZCTA5 28449",1778,0
"28468","ZCTA5 28468",5235,77
"28745","ZCTA5 28745",417,0
"28751","ZCTA5 28751",3473,42
"28752","ZCTA5 28752",30924,1494
"28768","ZCTA5 28768",7504,358
"28805","ZCTA5 28805",19952,1880
"28906","ZCTA5 28906",19701,223
"28077","ZCTA5 28077",467,9
"28097","ZCTA5 28097",6078,114
"28103","ZCTA5 28103",11281,1983
"28105","ZCTA5 28105",46180,5245
"28110","ZCTA5 28110",53733,7448
"28124","ZCTA5 28124",5946,87
"19140","ZCTA5 19140",51766,29369
"17009","ZCTA5 17009",1958,22
"17010","ZCTA5 17010",373,0
"17033","ZCTA5 17033",17751,578
"17044","ZCTA5 17044",20986,127
"17829","ZCTA5 17829",244,0
"17832","ZCTA5 17832",803,0
"17835","ZCTA5 17835",415,0
"17845","ZCTA5 17845",2170,46
"17861","ZCTA5 17861",169,0
"17866","ZCTA5 17866",10297,1409
"17929","ZCTA5 17929",1554,34
"17002","ZCTA5 17002",815,5
"17005","ZCTA5 17005",339,0
"17006","ZCTA5 17006",1105,0
"17020","ZCTA5 17020",9147,42
"17035","ZCTA5 17035",934,10
"17047","ZCTA5 17047",2654,77
"17061","ZCTA5 17061",7188,36
"17065","ZCTA5 17065",3782,183
"17087","ZCTA5 17087",2739,7
"17104","ZCTA5 17104",20208,10312
"17213","ZCTA5 17213",627,0
"17214","ZCTA5 17214",819,18
"17215","ZCTA5 17215",286,0
"17222","ZCTA5 17222",11576,134
"17225","ZCTA5 17225",20844,363
"17302","ZCTA5 17302",2431,42
"17340","ZCTA5 17340",11083,169
"17355","ZCTA5 17355",259,11
"17403","ZCTA5 17403",40216,5520
"17516","ZCTA5 17516",4469,0
"17538","ZCTA5 17538",6669,179
"17554","ZCTA5 17554",7877,472
"17557","ZCTA5 17557",14668,142
"17565","ZCTA5 17565",2675,0
"17569","ZCTA5 17569",5834,0
"17601","ZCTA5 17601",52552,2164
"17602","ZCTA5 17602",50417,7451
"17721","ZCTA5 17721",1579,1
"17739","ZCTA5 17739",32,0
"17758","ZCTA5 17758",981,0
"17810","ZCTA5 17810",5803,1616
"17823","ZCTA5 17823",1258,1
"17887","ZCTA5 17887",227,0
"17921","ZCTA5 17921",7321,887
"17923","ZCTA5 17923",438,0
"17933","ZCTA5 17933",135,0
"17935","ZCTA5 17935",1595,5
"17959","ZCTA5 17959",1362,10
"17960","ZCTA5 17960",4114,50
"17972","ZCTA5 17972",11308,34
"17965","ZCTA5 17965",1989,0
"17978","ZCTA5 17978",286,0
"17820","ZCTA5 17820",5616,7
"17776","ZCTA5 17776",264,0
"17812","ZCTA5 17812",1258,3
"17311","ZCTA5 17311",193,0
"17314","ZCTA5 17314",6304,140
"20012","ZCTA5 20012",17576,9645
"17090","ZCTA5 17090",5645,88
"17265","ZCTA5 17265",667,0
"17028","ZCTA5 17028",3703,32
"17067","ZCTA5 17067",15389,152
"17228","ZCTA5 17228",1154,0
"17886","ZCTA5 17886",1630,54
"17964","ZCTA5 17964",801,0
"17083","ZCTA5 17083",97,0
"17221","ZCTA5 17221",577,0
"17327","ZCTA5 17327",7590,78
"17509","ZCTA5 17509",4822,73
"17762","ZCTA5 17762",469,0
"17860","ZCTA5 17860",2633,0
"17764","ZCTA5 17764",2294,21
"17814","ZCTA5 17814",4899,150
"17830","ZCTA5 17830",1913,7
"17938","ZCTA5 17938",2308,0
"17985","ZCTA5 17985",1204,12
"17744","ZCTA5 17744",2996,9
"17868","ZCTA5 17868",1135,25
"17980","ZCTA5 17980",3037,2
"17015","ZCTA5 17015",20923,195
"17030","ZCTA5 17030",859,16
"17039","ZCTA5 17039",67,0
"17050","ZCTA5 17050",38141,551
"17056","ZCTA5 17056",45,0
"17071","ZCTA5 17071",121,0
"17120","ZCTA5 17120",0,0
"17202","ZCTA5 17202",29278,1123
"17210","ZCTA5 17210",163,0
"17217","ZCTA5 17217",220,0
"17246","ZCTA5 17246",216,0
"17247","ZCTA5 17247",501,14
"17250","ZCTA5 17250",34,0
"17251","ZCTA5 17251",111,0
"17256","ZCTA5 17256",186,0
"17261","ZCTA5 17261",277,79
"17263","ZCTA5 17263",573,0
"17272","ZCTA5 17272",376,0
"17371","ZCTA5 17371",216,0
"17408","ZCTA5 17408",23778,1237
"17507","ZCTA5 17507",117,0
