"ZCTA","alcoholoutlet_pop"
"01001",0.000462107208872458
"01002",0.000166588925168255
"01003",0
"01005",0
"01007",0.000266577807397534
"01008",0
"01009",0
"01010",0
"01011",0
"01012",0
"01013",0.000131966744380416
"01020",0.00033213763783712
"01022",0
"01026",0
"01027",0.000224492086653945
"01028",0.00018470631695604
"01029",0
"01030",0.000263527758257203
"01031",0
"01032",0
"01033",0
"01034",0
"01035",0.000564015792442188
"01036",0
"01037",0
"01038",0
"01039",0
"01040",0.000298203324967073
"01050",0
"01053",0
"01054",0
"01056",0
"01057",0
"01060",0.000313518936543767
"01062",0
"01063",0
"01066",0
"01068",0
"01069",0
"01070",0
"01071",0
"01072",0
"01073",0.00048828125
"01074",0
"01075",0
"01077",0.00051440329218107
"01079",0
"01080",0
"01081",0
"01082",0
"01083",0
"01084",0
"01085",0.000215414073719483
"01086",0
"01088",0
"01089",0.000279632283547136
"01092",0
"01093",0
"01094",0
"01095",0.000203693644758284
"01096",0
"01097",0
"01098",0
"01103",0
"01104",0.0002106149957877
"01105",0.000253356979984799
"01106",0.000250203290173266
"01107",0
"01108",0
"01109",0.00013165256887075
"01118",0.000202292650033715
"01119",0
"01128",0
"01129",0.000432214378331653
"01151",0.00033215234720992
"01199",0
"01201",0.000179945116739394
"01220",0.00036679300648001
"01222",0
"01223",0
"01224",0
"01225",0
"01226",0
"01229",0
"01230",0.000821114369501466
"01235",0
"01236",0
"01237",0.00120578778135048
"01238",0.000687994496044032
"01240",0
"01242",0
"01243",0
"01244",0
"01245",0
"01247",0.000258631837579206
"01253",0
"01254",0
"01255",0
"01256",0
"01257",0
"01258",0
"01259",0
"01260",0
"01262",0
"01264",0
"01266",0
"01267",0
"01270",0
"01301",0.000170290060736788
"01330",0
"01331",0.000222452914133175
"01337",0
"01338",0
"01339",0
"01340",0
"01341",0
"01342",0
"01343",0
"01344",0
"01346",0
"01347",0
"01349",0
"01350",0
"01351",0
"01354",0
"01355",0
"01360",0
"01364",0
"01366",0
"01367",0
"01368",0
"01370",0
"01373",0
"01375",0
"01376",0
"01378",0
"01379",0
"01420",0.000245688172571372
"01430",0
"01431",0
"01432",0.000389660994934407
"01434",0
"01436",0
"01438",0
"01440",0.000194080543425522
"01450",0
"01451",0
"01452",0
"01453",0.000168079333445386
"01460",0
"01462",0
"01463",0.000247831474597274
"01464",0
"01467",0
"01468",0
"01469",0
"01473",0
"01474",0
"01475",0
"01501",0
"01503",0.000942803268384664
"01504",0
"01505",0
"01506",0
"01507",0
"01510",0.000215285252960172
"01515",0
"01516",0
"01518",0
"01519",0
"01520",0
"01521",0
"01522",0
"01523",0
"01524",0
"01525",0
"01527",0.000218467812408972
"01529",0
"01531",0
"01532",0.00026567481402763
"01534",0
"01535",0
"01536",0.000395987328405491
"01537",0
"01540",0
"01541",0
"01542",0
"01543",0
"01545",0.000269643531251685
"01550",0.0001776514478593
"01560",0
"01561",0
"01562",0.000251509054325956
"01564",0
"01566",0
"01568",0
"01569",0
"01570",0.000235668414540741
"01571",0
"01581",0
"01583",0
"01585",0.000656598818122127
"01588",0
"01590",0
"01602",0.000218340611353712
"01603",0.000253408342202625
"01604",0.000183289256631143
"01605",0.000140188553604598
"01606",0.000301568154402895
"01607",0
"01608",0
"01609",0
"01610",0.00018162829768878
"01611",0
"01612",0
"01701",0.000153421294875729
"01702",0.000226136335083796
"01718",0
"01719",0
"01720",0.000219384844894915
"01721",0.000395256916996047
"01730",0
"01731",0
"01740",0
"01741",0
"01742",0.000156895559855656
"01745",0
"01746",0
"01747",0
"01748",0
"01749",0.000351988736360436
"01752",0.000201328769881216
"01754",0
"01756",0
"01757",0.000173112211335388
"01760",0.000223707390732921
"01770",0
"01772",0
"01773",0
"01775",0
"01776",0
"01778",0.000212947189097104
"01801",0.000198220966822766
"01803",0.000180831826401447
"01810",0.000195443377261559
"01821",0.000121962374607434
"01824",0.000310631358235614
"01826",0.00019173004409791
"01827",0
"01830",0
"01832",0
"01833",0
"01834",0
"01835",0.000286574007737498
"01840",0.000538309707518392
"01841",0.000141795126298945
"01843",0.000239980801535877
"01844",0.000238653991488008
"01845",0.000259386550807341
"01850",0
"01851",0.000130352603793261
"01852",0.000225149161319374
"01854",0.000138231330130974
"01860",0
"01862",0.000376541466629013
"01863",0
"01864",0.000256722931775881
"01867",0
"01876",0.000194313103180258
"01879",0.000321465884433015
"01880",0.000224550898203593
"01886",0.000123243776189302
"01887",0
"01890",0
"01901",0
"01902",0.000141012469531234
"01904",0.000231294090435989
"01905",0.000244100895036615
"01906",0.000283466798951173
"01907",0
"01908",0
"01913",0.000172077549615693
"01915",0.00011937447773666
"01921",0
"01922",0
"01923",0.000218930161278552
"01929",0
"01930",0.000265234400901797
"01937",0
"01938",0.000358089235837571
"01940",0
"01944",0
"01945",0.000292682926829268
"01949",0.000405186385737439
"01950",0.000221275654146153
"01951",0
"01952",0.000319863524896044
"01960",0.000209014212966482
"01966",0
"01969",0
"01970",0.000278855761857179
"01982",0
"01983",0
"01984",0
"01985",0
"02019",0.000409165302782324
"02021",0.000171166930549018
"02025",0
"02026",0.000118741341777162
"02030",0
"02032",0
"02035",0.000225644497094827
"02038",0.000150348809237431
"02043",0.000253678335870117
"02045",0.000286944045911047
"02047",0
"02048",0.000208794421013071
"02050",0.000190679582030356
"02052",0.000311502219453314
"02053",0.000225140712945591
"02054",0
"02056",0
"02061",0.000271394970146553
"02062",0.00017061352624036
"02066",0.000164482701902517
"02067",0
"02071",0
"02072",0.000244421942106917
"02081",0.00020096463022508
"02090",0
"02093",0.000253742704897234
"02108",0
"02109",0.000715990453460621
"02110",0
"02111",0.000378501135503407
"02113",0
"02114",0.000674915635545557
"02115",0.000139606310205221
"02116",0.000129550459904133
"02118",0.000283065600452905
"02119",0.00021568768423323
"02120",0.000197524361337898
"02121",9.94727941907888e-05
"02122",0.000245047988564427
"02124",0.000141220498155307
"02125",0.0002582718741929
"02126",0.000202565833896016
"02127",0.00031886060477228
"02128",0.000126949199162135
"02129",0.000201106083459025
"02130",0.000171783356646789
"02131",0.000232429762631105
"02132",0.000251789503974677
"02134",0.000301401517054303
"02135",0.000244710907432538
"02136",0.0001987902195212
"02138",0.000181799293579888
"02139",0.000154978690430066
"02140",0.000139599813866915
"02141",0
"02142",0
"02143",0.000315868440794409
"02144",0.000161173341929245
"02145",0.000140835152454053
"02148",0.000147579693034238
"02149",0.000238518582765948
"02150",0.000175074406622815
"02151",0.00018621627157781
"02152",0.000323589688275267
"02155",0.000150665439022349
"02163",0
"02169",0.000194611043292111
"02170",0.000201531640467553
"02171",0.000224265530387979
"02176",0
"02180",0
"02184",0.000134336378291241
"02186",0.000145074713477441
"02188",0.000379003221527383
"02189",0
"02190",0.000231924392647997
"02191",0.000358851674641148
"02199",0
"02203",0
"02210",0
"02215",0.000194024058983314
"02301",0.00022075055187638
"02302",0.000186485982470318
"02322",0
"02324",0.000182242309374544
"02330",0.000341296928327645
"02332",0.000379458639008348
"02333",0.000207382828701783
"02338",0.000382555470543229
"02339",0.000276644304585379
"02341",0
"02343",0.000383766669864722
"02346",0.000282235303604548
"02347",0.000437828371278459
"02351",0.000243368216110976
"02356",0.000300480769230769
"02357",0
"02359",0.00043525571273123
"02360",0.000267442249189316
"02364",0.000442282176028306
"02366",0
"02367",0
"02368",0.000172980453208787
"02370",0.000278504985239236
"02375",0
"02379",0
"02382",0.00026567481402763
"02420",0.000475608098926485
"02421",0
"02445",0.000189807345544273
"02446",0
"02451",0.000164419598816179
"02452",0.000268294318867798
"02453",0.000135570242331808
"02457",0
"02458",0.000313038034121146
"02459",0
"02460",0
"02461",0.000564652738565782
"02462",0
"02464",0
"02465",0.000338581344167936
"02466",0
"02467",0
"02468",0
"02472",0.000197083169097359
"02474",0.000143482315804577
"02476",0
"02478",0
"02481",0
"02482",0
"02492",0
"02493",0
"02494",0
"02532",0.000302617642608564
"02534",0
"02535",0
"02536",0.000152827305145186
"02537",0
"02538",0
"02539",0.000925925925925926
"02540",0.000479271507308891
"02542",0
"02543",0
"02553",0
"02554",0.000731595793324188
"02556",0
"02557",0.000643086816720257
"02558",0
"02559",0
"02561",0
"02562",0
"02563",0.000709867153432715
"02564",0
"02568",0
"02571",0.000471342383107089
"02575",0
"02576",0
"02584",0
"02601",0.00051030171588952
"02630",0
"02631",0.000308324768756423
"02632",0
"02633",0.000737100737100737
"02635",0
"02637",0
"02638",0
"02639",0
"02641",0
"02642",0
"02643",0
"02644",0
"02645",0.000329091706888986
"02646",0
"02647",0
