ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
1346,0,0
1347,0,0
1349,0,0
1350,0,0
1351,0,0
1354,0,0
1355,0,0
1360,0,0
1364,0,0
1366,1.47E-06,0
1367,0,0
1368,1.47E-06,0
1370,0,0
1373,0,0
1375,0,0
1376,0,0
1378,0,0
1379,0,0
1420,1.47E-06,0
1430,1.47E-06,0
1431,5.06E-07,0
1432,5.06E-07,0
1434,8.34E-07,0
1436,1.47E-06,0
1438,1.47E-06,0
1440,1.47E-06,0
1450,5.06E-07,0
1451,1.47E-06,0
1452,1.47E-06,0
1453,1.47E-06,0
1460,5.06E-07,0
1462,1.47E-06,0
1463,5.06E-07,0
1464,5.06E-07,0
1467,1.47E-06,0
1468,1.47E-06,0
1469,5.06E-07,0
1473,1.47E-06,0
1474,5.06E-07,0
1475,1.47E-06,0
1501,4.31E-06,0
1503,1.47E-06,0
1504,1.47E-06,0
1505,1.47E-06,0
1506,1.47E-06,0
1507,1.47E-06,0
1510,1.47E-06,0
1515,1.47E-06,0
1516,1.47E-06,0
1518,1.47E-06,0
1519,1.47E-06,0
1520,1.47E-06,0
1521,4.27E-07,0
1522,1.47E-06,0
1523,1.47E-06,0
1524,1.47E-06,0
1525,1.47E-06,0
1527,1.47E-06,0
1529,1.47E-06,0
1531,1.47E-06,0
1532,1.47E-06,0
1534,1.47E-06,0
1535,1.47E-06,0
1536,1.47E-06,0
1537,1.47E-06,0
1540,1.47E-06,0
1541,1.47E-06,0
1542,5.58E-06,0
1543,1.47E-06,0
1545,1.47E-06,0
1550,1.47E-06,0
1560,1.47E-06,0
1561,1.47E-06,0
1562,4.66E-06,0
1564,1.47E-06,0
1566,1.47E-06,0
1568,1.47E-06,0
1569,1.47E-06,0
1570,4.28E-06,0
1571,1.47E-06,0
1581,4.15E-06,0
1583,1.47E-06,0
1585,1.47E-06,0
1588,1.47E-06,0
1590,1.47E-06,0
1602,1.47E-06,0
1603,1.47E-06,0
1604,1.47E-06,0
1605,1.47E-06,0
1606,1.47E-06,0
1607,1.47E-06,0
1608,1.47E-06,0
1609,1.47E-06,0
1610,3.88E-06,0
1611,1.47E-06,0
1612,1.47E-06,0
1701,5.06E-07,0
1702,5.06E-07,0
1718,5.06E-07,0
1719,5.06E-07,0
1720,5.06E-07,0
1721,5.06E-07,0
1730,5.06E-07,0
1731,5.06E-07,0
1740,1.47E-06,0
1741,5.06E-07,0
1742,5.06E-07,0
1745,1.47E-06,0
1746,5.06E-07,0
1747,1.47E-06,0
1748,5.06E-07,0
1749,5.06E-07,0
1752,5.06E-07,0
1754,5.06E-07,0
1756,1.47E-06,0
1757,1.47E-06,0
1760,5.06E-07,0
1770,5.06E-07,0
1772,1.47E-06,0
1773,5.06E-07,0
1775,5.06E-07,0
1776,5.06E-07,0
1778,5.06E-07,0
1801,5.06E-07,0
1803,5.06E-07,0
1810,1.29E-06,6.36E-06
1821,5.06E-07,0
1824,5.06E-07,0
1826,5.06E-07,0
1827,5.06E-07,0
1830,1.29E-06,6.36E-06
1832,1.29E-06,6.36E-06
1833,1.29E-06,6.36E-06
1834,1.29E-06,6.36E-06
1835,1.29E-06,6.36E-06
1840,1.29E-06,6.36E-06
1841,1.29E-06,6.36E-06
1843,1.29E-06,6.36E-06
1844,1.29E-06,6.36E-06
1845,1.29E-06,6.36E-06
1850,5.06E-07,0
1851,1.65E-06,0
1852,5.06E-07,0
1854,5.06E-07,0
1860,1.29E-06,6.36E-06
1862,5.06E-07,0
1863,5.06E-07,0
1864,5.06E-07,0
1867,1.70E-06,0
1876,1.65E-06,0
1879,5.06E-07,0
1880,5.06E-07,0
1886,5.06E-07,0
1887,5.06E-07,0
1890,5.06E-07,0
1901,1.29E-06,6.36E-06
1902,3.52E-06,6.36E-06
1904,3.87E-06,2.35E-05
1905,3.46E-06,6.36E-06
1906,1.29E-06,6.36E-06
1907,1.29E-06,6.36E-06
1908,1.29E-06,6.36E-06
1913,1.29E-06,6.36E-06
1915,2.87E-06,6.36E-06
1921,1.29E-06,6.36E-06
1922,1.29E-06,6.36E-06
1923,1.29E-06,6.36E-06
