"ZCTA","third_spaces_total","population","thirdspaces_pop"
"02066",74,18239,405.723998026208
"02067",52,18508,280.959585044305
"02071",0,1526,0
"02072",161,28639,562.170466845909
"02081",101,19904,507.435691318328
"02090",67,16154,414.757954686146
"02093",49,11823,414.446417998816
"02108",263,4454,5904.80466995959
"02109",187,4190,4463.00715990454
"02110",201,2314,8686.25756266206
"02111",281,7926,3545.29396921524
"02113",110,6966,1579.09847832328
"02114",174,13335,1304.83689538808
"02115",207,28652,722.46265531202
"02116",443,23157,1913.02845791769
"02118",208,28262,735.970561177553
"02119",110,27818,395.427421094255
"02120",51,15188,335.791414274427
"02121",59,30159,195.629828575218
"02122",130,24485,530.937308556259
"02124",169,56649,298.328302353087
"02125",119,34847,341.492811432835
"02126",71,29620,239.702903443619
"02127",188,37634,499.548280809906
"02128",216,47263,457.017116983687
"02129",108,19890,542.986425339367
"02130",192,40749,471.177206802621
"02131",142,34419,412.562828670211
"02132",138,27801,496.385022121506
"02134",164,19907,823.83081328176
"02135",186,44951,413.783898022291
"02136",83,35213,235.708403146565
"02138",294,38504,763.557033035529
"02139",269,38715,694.821128761462
"02140",118,21490,549.092601209865
"02141",69,14522,475.14116512877
"02142",48,3676,1305.76713819369
"02143",163,25327,643.581948118609
"02144",127,24818,511.725360625353
"02145",136,28402,478.839518343779
"02148",260,60984,426.341335432245
"02149",163,46118,353.441172644087
"02150",142,39983,355.150939149138
"02151",199,53701,370.570380439843
"02152",64,18542,345.162334160285
"02155",264,59735,441.951954465556
"02163",0,2621,0
"02169",299,56523,528.988199494011
"02170",83,19848,418.178153970173
"02171",103,17836,577.483740749047
"02176",122,28113,433.962935296838
"02180",110,23223,473.668346036257
"02184",256,37220,687.802256851155
"02186",79,27572,286.522559117946
"02188",60,15831,379.003221527383
"02189",64,15296,418.410041841004
"02190",65,17247,376.877138052995
"02191",33,8360,394.736842105263
"02199",40,1157,3457.21694036301
"02203",0,30,0
"02210",122,3715,3283.98384925976
"02215",184,25770,714.008537058595
"02301",298,63420,469.883317565437
"02302",69,32174,214.458879840865
"02322",16,4500,355.555555555556
"02324",97,27436,353.550080186616
"02330",35,11720,298.634812286689
"02332",53,15812,335.188464457374
"02333",47,14466,324.899764966127
"02338",13,7842,165.774037235399
"02339",122,14459,843.765128985407
"02341",28,10777,259.812563793263
"02343",51,10423,489.302504077521
"02346",105,24802,423.352955406822
"02347",40,11420,350.262697022767
"02351",80,16436,486.736432221952
"02356",68,13312,510.817307692308
"02357",0,1061,0
"02359",101,18380,549.510337323177
"02360",311,59826,519.840871861732
"02364",81,13566,597.080937638213
"02366",0,198,0
"02367",3,2954,101.55721056195
"02368",114,34686,328.662861096696
"02370",69,17953,384.336879630145
"02375",59,10248,575.722092115535
"02379",44,7198,611.280911364268
"02382",53,15056,352.01912858661
"02420",117,14718,794.944965348553
"02421",66,18622,354.419503812695
"02445",133,21074,631.109423934706
"02446",190,29862,636.260129931016
"02451",266,18246,1457.85377617012
"02452",81,14909,543.295995707291
"02453",174,29505,589.730554143366
"02457",0,1752,0
"02458",81,12778,633.90201909532
"02459",130,19012,683.778666105618
"02460",41,9773,419.523176097411
"02461",45,7084,635.234330886505
"02462",6,1389,431.965442764579
"02464",46,3326,1383.04269392664
"02465",45,11814,380.904012188928
"02466",25,8929,279.986560645089
"02467",81,22269,363.73433921595
"02468",9,5623,160.056909123244
"02472",202,35518,568.725716538093
"02474",119,27878,426.859889518617
"02476",83,17426,476.29978193504
"02478",124,26099,475.113989041726
"02481",83,16140,514.250309789343
"02482",79,10855,727.775218793183
"02492",110,20571,534.733362500608
"02493",34,12112,280.713342140026
"02494",64,10399,615.443792672372
"02532",63,13218,476.622787108488
"02534",8,887,901.916572717024
"02535",14,1753,798.630918425556
"02536",78,19630,397.350993377483
"02537",9,6689,134.54925997907
"02538",27,4128,654.06976744186
"02539",74,4320,1712.96296296296
"02540",104,8346,1246.10591900312
"02542",0,949,0
"02543",14,649,2157.16486902928
"02553",0,111,0
"02554",175,10935,1600.36579789666
"02556",19,2499,760.304121648659
"02557",47,4665,1007.5026795284
"02558",9,1170,769.230769230769
"02559",12,3746,320.341697810998
"02561",4,296,1351.35135135135
"02562",8,3094,258.564964447317
"02563",58,9861,588.175641415678
"02564",6,233,2575.10729613734
"02568",72,4107,1753.10445580716
"02571",57,10608,537.330316742081
"02575",8,2418,330.85194375517
"02576",3,4383,68.4462696783025
"02584",0,0,0
"02601",264,15677,1683.99566243541
"02630",14,1957,715.380684721512
"02631",50,9730,513.874614594039
"02632",46,10208,450.626959247649
"02633",57,4070,1400.4914004914
"02635",0,3004,0
"02637",0,199,0
"02638",20,3126,639.795265515035
"02639",36,3198,1125.70356472795
"02641",5,194,2577.31958762887
"02642",21,4876,430.680885972108
"02643",6,0,0
"02644",14,3791,369.295700342917
"02645",32,9116,351.031154014919
"02646",29,2094,1384.90926456543
"02647",3,97,3092.78350515464
"02648",12,6667,179.991000449977
"02649",96,14148,678.541136556404
"02650",0,901,0
"02651",10,25,40000
"02652",8,687,1164.48326055313
"02653",78,5856,1331.96721311475
"02655",31,3208,966.334164588529
"02657",114,2973,3834.51059535822
"02659",3,1021,293.82957884427
"02660",41,6196,661.71723692705
"02663",4,102,3921.56862745098
"02664",71,8693,816.749108478086
"02666",6,435,1379.31034482759
"02667",26,3515,739.687055476529
"02668",12,2660,451.127819548872
"02669",3,27,11111.1111111111
"02670",14,1195,1171.54811715481
"02671",6,1026,584.795321637427
"02672",0,277,0
"02673",41,8517,481.390160854761
"02675",30,6580,455.927051671732
"02702",3,4382,68.4618895481515
"02703",162,44789,361.695952131104
"02713",0,49,0
"02715",9,3893,231.18417672746
"02717",12,4917,244.05125076266
"02718",9,6394,140.756959649672
"02719",90,16045,560.922405733873
"02720",127,30160,421.087533156499
"02721",149,25978,573.562244976519
"02723",45,15066,298.68578255675
"02724",53,17769,298.272271934268
"02725",7,2487,281.463610776035
"02726",56,15678,357.188416889909
"02738",21,5132,409.197194076383
"02739",29,6336,457.70202020202
"02740",197,43454,453.352970957794
"02743",37,10529,351.410390350461
"02744",43,11170,384.959713518353
"02745",101,24993,404.113151682471
"02746",76,15417,492.962314328339
"02747",125,22947,544.733516363795
"02748",55,11607,473.851985870595
"02760",132,27474,480.454247652326
"02762",53,9183,577.153435696395
"02763",0,1706,0
"02764",3,3837,78.1860828772479
"02766",58,19745,293.745251962522
"02767",99,14488,683.324130314743
"02769",35,12173,287.521564117309
"02770",6,5407,110.967264656926
"02771",111,15441,718.86535846124
"02777",75,16567,452.707188990161
"02779",11,6730,163.447251114413
"02780",205,50438,406.43958919862
"02790",61,15793,386.247071487368
"02791",0,402,0
"02802",0,723,0
"02804",11,1849,594.916170903191
"02806",63,16153,390.020429641553
"02807",53,916,5786.02620087336
"02808",3,2312,129.757785467128
"02809",114,22172,514.162006133863
"02812",0,1207,0
"02813",33,7799,423.131170662906
"02814",12,7901,151.879508922921
"02815",0,367,0
"02816",101,32738,308.509988392694
"02817",15,6224,241.002570694087
"02818",148,18292,809.096872949923
"02822",20,6304,317.258883248731
"02825",7,5768,121.359223300971
"02826",0,418,0
"02827",0,2202,0
"02828",36,7592,474.18335089568
"02830",21,6255,335.731414868106
"02831",4,3277,122.062862374123
"02832",8,4795,166.840458811262
"02833",0,1141,0
"02835",24,5494,436.840189297415
"02836",0,150,0
"02837",18,3489,515.907136715391
"02838",3,3495,85.8369098712446
"02839",0,2098,0
"02840",270,23112,1168.22429906542
"02841",0,1633,0
"02842",121,15936,759.287148594378
"02852",115,22048,521.589259796807
"02857",22,8206,268.096514745308
"02858",0,774,0
"02859",13,7070,183.875530410184
"02860",186,46363,401.181977007528
"02861",90,25622,351.26063539146
"02863",52,19411,267.889341095255
"02864",140,34797,402.333534500101
"02865",95,17667,537.725703288617
"02871",76,17119,443.951165371809
"02872",0,244,0
"02873",0,200,0
"02874",18,6045,297.766749379653
"02875",0,466,0
"02876",3,353,849.85835694051
"02878",66,15774,418.410041841004
"02879",122,20610,591.945657447841
"02881",42,7629,550.5308690523
"02882",92,14029,655.784446503671
"02885",81,10461,774.304559793519
"02886",260,28776,903.530720044481
"02888",86,18687,460.212982287151
"02889",113,27807,406.372496134067
"02891",192,21143,908.101972283971
"02892",9,5611,160.399215826056
"02893",114,29143,391.174553065916
"02894",0,517,0
"02895",153,41603,367.761940244694
"02896",28,12060,232.172470978441
"02898",16,1289,1241.27230411171
"02903",386,10979,3515.80289643866
"02904",167,30613,545.519877176363
"02905",116,26174,443.187896385726
"02906",200,27825,718.778077268643
"02907",150,31294,479.325110244775
"02908",124,36314,341.466101228176
"02909",177,40809,433.72785414982
"02910",114,22387,509.224103274222
"02911",42,15921,263.802524967025
"02912",0,1340,0
"02914",152,21487,707.404477125704
"02915",48,16660,288.115246098439
"02916",30,9238,324.745615934185
"02917",95,14139,671.900417285522
"02919",161,29307,549.356808953492
"02920",230,37165,618.861832369165
"02921",21,12243,171.526586620926
"03031",64,11475,557.734204793028
"03032",10,5446,183.621006243114
"03033",10,5348,186.98578908003
"03034",4,4046,98.8630746416213
"03036",6,5129,116.981867810489
"03037",3,4366,68.7127805771874
"03038",130,33643,386.410248788752
"03042",55,6966,789.549239161642
"03043",0,1577,0
"03044",0,4659,0
"03045",38,13621,278.980985243374
"03046",0,2827,0
"03047",0,1913,0
"03048",11,3515,312.944523470839
"03049",13,7918,164.182874463248
"03051",86,25408,338.476070528967
"03052",6,8514,70.4721634954193
"03053",94,25732,365.303901756568
"03054",105,25945,404.702254769705
"03055",76,15632,486.18219037871
"03057",0,2607,0
"03060",245,30155,812.46891062842
"03062",61,27793,219.479725110639
"03063",118,16426,718.373310605138
"03064",45,14441,311.612769198809
"03070",3,5685,52.7704485488127
"03071",4,5337,74.9484729248641
"03076",29,13798,210.175387737353
"03077",29,10376,279.491133384734
"03079",226,29234,773.072449887118
"03082",0,1660,0
"03084",0,1264,0
"03086",7,3816,183.438155136268
"03087",61,14610,417.522245037645
"03101",150,2953,5079.58008804605
"03102",99,33003,299.972729751841
"03103",230,36938,622.66500622665
"03104",114,33071,344.712890447824
"03106",83,14273,581.517550620052
"03109",34,10600,320.754716981132
"03110",104,22535,461.504326603062
"03215",7,186,3763.44086021505
"03216",3,2477,121.114251110214
"03217",10,2017,495.785820525533
"03218",0,963,0
"03220",23,7563,304.112124818194
"03221",4,2095,190.930787589499
"03222",24,5896,407.055630936228
"03223",12,3373,355.766380077083
"03224",3,2339,128.259940145361
"03225",3,3673,81.677103185407
"03226",6,1056,568.181818181818
"03227",0,1040,0
"03229",12,5691,210.859251449657
"03230",0,1222,0
"03231",0,305,0
"03233",0,127,0
"03234",13,4722,275.307073274036
"03235",23,8762,262.497146770144
"03237",0,2372,0
"03238",0,109,0
"03240",0,1362,0
"03241",0,756,0
"03242",19,4962,382.910116888351
"03243",0,920,0
"03244",23,7652,300.575013068479
"03245",6,2054,292.112950340798
"03246",129,16460,783.718104495747
"03249",48,7169,669.549449016599
"03251",52,945,5502.6455026455
"03253",37,6347,582.952576020167
"03254",30,4116,728.862973760933
"03255",6,2176,275.735294117647
"03256",3,2272,132.042253521127
"03257",33,4495,734.149054505006
"03258",3,2667,112.485939257593
"03259",0,393,0
"03260",0,757,0
"03261",9,4335,207.612456747405
"03262",9,826,1089.58837772397
"03263",16,4112,389.105058365759
"03264",59,7290,809.327846364883
"03266",6,2152,278.810408921933
"03268",0,1270,0
"03269",0,2908,0
"03273",0,310,0
"03275",26,11577,224.583225360629
"03276",57,8268,689.404934687954
"03278",12,2946,407.331975560081
"03279",4,765,522.875816993464
"03280",3,1199,250.208507089241
"03281",12,9031,132.875650537039
"03282",0,889,0
"03284",0,832,0
"03285",3,2499,120.048019207683
"03287",0,1550,0
"03290",0,4965,0
"03291",0,109,0
"03293",0,300,0
"03301",399,33162,1203.18436764972
"03303",28,15849,176.667297621301
"03304",11,7880,139.593908629442
"03307",9,5534,162.631008312252
"03431",168,25148,668.045172578336
"03440",3,3147,95.3288846520496
"03441",0,154,0
"03442",0,1510,0
"03443",0,425,0
"03444",4,1448,276.243093922652
"03445",0,797,0
"03446",11,5994,183.516850183517
"03447",7,2364,296.108291032149
"03448",0,804,0
"03449",4,1751,228.440890919475
"03450",0,927,0
"03451",5,3911,127.844541038098
"03452",30,5283,567.85917092561
"03455",0,2417,0
"03456",0,829,0
"03457",0,826,0
"03458",56,7022,797.493591569353
"03461",17,6054,280.806078625702
"03462",0,1326,0
"03464",0,1042,0
"03465",0,2002,0
"03466",0,1856,0
"03467",0,1590,0
"03470",9,5155,174.58777885548
"03561",62,5920,1047.2972972973
"03570",41,10221,401.13491830545
"03574",4,2569,155.702608018684
"03575",0,68,0
"03576",14,2804,499.286733238231
"03579",4,307,1302.93159609121
"03580",10,1408,710.227272727273
"03581",27,3054,884.086444007859
"03582",3,2530,118.577075098814
"03583",0,850,0
"03584",13,3673,353.93411380343
"03585",0,2832,0
"03586",0,636,0
"03588",0,1638,0
"03590",0,901,0
"03592",3,1064,281.954887218045
"03593",0,376,0
"03595",0,704,0
"03597",0,452,0
"03598",13,3166,410.612760581175
"03601",0,423,0
"03602",0,2465,0
"03603",6,5318,112.824370063934
"03604",0,123,0
"03605",0,928,0
"03607",0,392,0
"03608",10,2981,335.457900033546
"03609",0,832,0
"03740",0,712,0
"03741",3,4043,74.2023250061835
"03743",58,13681,423.945618010379
"03745",0,1550,0
"03746",0,233,0
"03748",7,4866,143.855322646938
"03750",0,1037,0
"03751",0,468,0
"03752",0,702,0
"03753",4,2869,139.421401185082
"03754",0,51,0
"03755",50,10595,471.92071731949
"03765",0,609,0
"03766",55,9388,585.854282062207
"03768",0,1852,0
"03770",3,531,564.971751412429
"03771",0,942,0
"03773",25,7858,318.14711122423
"03774",0,1954,0
"03777",0,1444,0
"03779",0,868,0
"03780",0,435,0
"03781",0,2024,0
"03782",14,3105,450.885668276973
"03784",62,4109,1508.88293988805
"03785",17,2358,720.949957591179
"03801",367,22488,1631.98150124511
"03809",11,3524,312.145289443814
"03810",8,1779,449.690837549185
"03811",8,6952,115.074798619102
"03812",10,596,1677.85234899329
"03813",3,2663,112.654900488171
"03814",9,2315,388.768898488121
"03816",3,1506,199.203187250996
"03817",0,931,0
"03818",20,3845,520.156046814044
"03819",0,4496,0
"03820",191,31629,603.87618957286
"03823",0,1849,0
"03824",52,16481,315.51483526485
"03825",21,9245,227.149810708491
"03826",15,2250,666.666666666667
"03827",3,3152,95.1776649746193
"03830",0,1932,0
"03832",0,299,0
"03833",111,22116,501.899077590884
"03835",11,6930,158.730158730159
"03836",0,1349,0
"03837",0,1410,0
"03838",4,1169,342.172797262618
"03839",7,4048,172.924901185771
"03840",15,3993,375.657400450789
"03841",24,6559,365.90943741424
"03842",127,15353,827.19989578584
"03844",5,2371,210.881484605652
"03845",3,1091,274.977085242896
"03846",12,884,1357.46606334842
"03847",0,363,0
"03848",29,6260,463.258785942492
"03849",3,1478,202.97699594046
"03850",0,233,0
"03851",7,4080,171.56862745098
"03852",0,543,0
"03853",0,474,0
"03854",3,835,359.281437125748
"03855",0,2697,0
"03856",0,1757,0
"03857",35,9063,386.185589760565
"03858",0,4920,0
"03860",104,4479,2321.94686313909
"03861",3,4485,66.8896321070234
"03862",41,4473,916.610775765705
"03864",8,1853,431.732325957906
"03865",51,7689,663.285212641436
"03867",115,21591,532.629336297531
"03868",8,5316,150.489089541008
"03869",3,2522,118.953211736717
"03870",17,5293,321.178915548838
"03871",4,173,2312.1387283237
"03872",15,3621,414.250207125104
"03873",0,6220,0
"03874",71,8925,795.518207282913
"03875",0,1099,0
"03878",52,11970,434.419381787803
"03882",0,1630,0
"03883",0,334,0
"03884",0,3958,0
"03885",26,7386,352.017330083943
"03886",7,1680,416.666666666667
"03887",0,2076,0
"03890",8,166,4819.27710843374
"03894",59,6320,933.544303797468
"03901",3,7683,39.0472471690746
"03902",8,2419,330.715171558495
"03903",9,6589,136.591288511155
"03904",72,7996,900.450225112556
"03905",8,1735,461.095100864553
"03906",7,4713,148.525355399958
"03907",66,1062,6214.68926553672
"03908",16,7470,214.190093708166
"03909",65,10240,634.765625
"03910",14,320,4375
"03911",0,59,0
"04001",0,2580,0
"04002",9,7558,119.079121460704
"04003",3,329,911.854103343465
"04005",122,23486,519.458400749383
"04006",0,162,0
"04008",0,2795,0
"04009",43,5304,810.708898944193
"04010",0,1401,0
"04011",153,20517,745.723058926744
"04015",12,3895,308.08729139923
"04017",0,449,0
"04019",0,23,0
"04020",7,1369,511.322132943755
"04021",14,6422,218.000622858922
"04022",0,1282,0
"04024",0,639,0
"04027",0,6270,0
"04029",3,1600,187.5
"04030",5,2163,231.160425335183
"04032",65,8439,770.23343998104
"04037",15,3869,387.697079348669
"04038",47,17582,267.31884882266
"04039",24,7625,314.754098360656
"04040",3,3234,92.7643784786642
"04041",0,1734,0
"04042",3,4607,65.1182982418059
"04043",85,11424,744.047619047619
"04046",49,7873,622.38028705703
"04047",0,1920,0
"04048",6,3030,198.019801980198
"04049",0,3744,0
"04050",0,314,0
"04051",6,1013,592.300098716683
"04055",17,3901,435.785695975391
"04056",0,355,0
"04057",0,78,0
"04061",0,3498,0
"04062",64,18478,346.357830934084
"04063",0,468,0
"04064",71,8394,845.842268286872
"04066",0,616,0
"04068",0,1440,0
"04069",3,1635,183.48623853211
"04071",15,5096,294.348508634223
"04072",90,19497,461.609478381289
"04073",77,16452,468.028203257963
"04074",143,19885,719.13502640181
"04076",3,2739,109.529025191676
"04079",6,3953,151.783455603339
"04083",12,4605,260.586319218241
"04084",9,7403,121.572335539646
"04085",0,2675,0
"04086",39,8810,442.678774120318
"04087",7,2185,320.366132723112
"04088",0,1454,0
"04090",71,10366,684.931506849315
"04091",0,867,0
"04092",94,18633,504.481296624269
"04093",17,8243,206.235593837195
"04095",0,1042,0
"04096",71,8529,832.453980536991
"04097",11,3779,291.082296903943
"04101",496,17236,2877.69784172662
"04102",107,17612,607.540313422666
"04103",179,30787,581.414233280281
"04105",69,11876,581.003704951162
"04106",223,25906,860.80444684629
"04107",13,9178,141.643059490085
"04108",7,867,807.381776239908
"04109",0,70,0
"04110",0,1576,0
"04210",161,23187,694.354595247337
"04216",0,475,0
"04217",28,3321,843.119542306534
