"ZCTA","third_spaces_total","population","thirdspaces_pop"
"01001",85,17312,490.988909426987
"01002",145,30014,483.107882987939
"01003",5,11357,44.0257110152329
"01005",19,5128,370.514820592824
"01007",37,15005,246.584471842719
"01008",5,1140,438.59649122807
"01009",0,261,0
"01010",9,3658,246.03608529251
"01011",0,1430,0
"01012",0,585,0
"01013",77,22733,338.714643909735
"01020",131,30108,435.100305566627
"01022",0,2586,0
"01026",3,933,321.543408360129
"01027",87,17818,488.270288472331
"01028",82,16242,504.863933013176
"01029",0,538,0
"01030",44,11384,386.507378777231
"01031",3,1135,264.31718061674
"01032",0,495,0
"01033",10,6322,158.177791838026
"01034",0,2186,0
"01035",79,5319,1485.24158676443
"01036",15,5178,289.687137891078
"01037",0,747,0
"01038",3,2734,109.729334308705
"01039",10,1207,828.500414250207
"01040",185,40241,459.730125990905
"01050",3,2438,123.051681706317
"01053",0,1593,0
"01054",5,2001,249.875062468766
"01056",72,21291,338.171058193603
"01057",15,8824,169.990933816863
"01060",183,15948,1147.47930775019
"01062",27,10364,260.517174835971
"01063",0,611,0
"01066",0,31,0
"01068",0,1833,0
"01069",37,8556,432.445067788686
"01070",0,648,0
"01071",3,1318,227.617602427921
"01072",0,1478,0
"01073",15,6144,244.140625
"01074",0,411,0
"01075",66,17703,372.818166412472
"01077",42,9720,432.098765432099
"01079",0,781,0
"01080",9,2709,332.225913621262
"01081",0,1883,0
"01082",29,10580,274.102079395085
"01083",3,3094,96.961861667744
"01084",0,168,0
"01085",155,41780,370.99090473911
"01086",0,363,0
"01088",3,509,589.390962671906
"01089",151,28609,527.805935195218
"01092",3,1278,234.741784037559
"01093",0,313,0
"01094",0,387,0
"01095",48,14728,325.909831613254
"01096",0,2443,0
"01097",0,56,0
"01098",0,1263,0
"01103",67,2332,2873.07032590051
"01104",95,23740,400.16849199663
"01105",44,11841,371.590237311038
"01106",36,15987,225.182961155939
"01107",23,11562,198.927521190106
"01108",71,27054,262.438086789384
"01109",74,30383,243.557252410888
"01118",31,14830,209.035738368173
"01119",33,13681,241.210437833492
"01128",10,2541,393.545848091303
"01129",33,6941,475.435816164818
"01151",25,9032,276.793622674934
"01199",0,0,0
"01201",248,44458,557.829861892123
"01220",35,8179,427.925174226678
"01222",0,807,0
"01223",3,2443,122.799836266885
"01224",0,125,0
"01225",3,3105,96.6183574879227
"01226",18,6769,265.918156300783
"01229",0,91,0
"01230",85,8525,997.067448680352
"01235",0,2567,0
"01236",3,1311,228.83295194508
"01237",14,2488,562.700964630225
"01238",46,5814,791.193670450636
"01240",58,4453,1302.49270154952
"01242",0,471,0
"01243",0,268,0
"01244",0,132,0
"01245",0,836,0
"01247",70,15466,452.60571576361
"01253",0,769,0
"01254",0,902,0
"01255",0,891,0
"01256",0,680,0
"01257",12,2017,594.94298463064
"01258",6,488,1229.50819672131
"01259",3,540,555.555555555556
"01260",0,427,0
"01262",24,1005,2388.05970149254
"01264",0,206,0
"01266",3,1295,231.660231660232
"01267",53,7753,683.606345930608
"01270",0,796,0
"01301",114,17617,647.102230799796
"01330",4,1276,313.479623824451
"01331",46,13486,341.094468337535
"01337",10,2532,394.944707740916
"01338",0,113,0
"01339",3,1371,218.818380743982
"01340",0,1779,0
"01341",0,1929,0
"01342",0,1259,0
"01343",0,78,0
"01344",3,1380,217.391304347826
"01346",0,471,0
"01347",0,154,0
"01349",0,1391,0
"01350",0,87,0
"01351",0,2114,0
"01354",3,1596,187.96992481203
"01355",0,931,0
"01360",3,2981,100.637370010064
"01364",21,7729,271.703972053306
"01366",4,1188,336.700336700337
"01367",0,639,0
"01368",0,1377,0
"01370",25,3852,649.013499480789
"01373",21,4854,432.632880098887
"01375",13,3647,356.45736221552
"01376",17,5013,339.118292439657
"01378",0,792,0
"01379",0,829,0
"01420",152,40702,373.446022308486
"01430",9,6297,142.92520247737
"01431",0,3220,0
"01432",30,7699,389.660994934407
"01434",3,1969,152.361604875571
"01436",7,3374,207.46887966805
"01438",0,694,0
"01440",88,20610,426.977195536148
"01450",36,11313,318.217979315831
"01451",10,4731,211.37180300148
"01452",0,4708,0
"01453",224,41647,537.853867025236
"01460",48,10071,476.616026213881
"01462",24,11402,210.489387826697
"01463",19,12105,156.959933911607
"01464",12,7633,157.212105332111
"01467",0,276,0
"01468",6,4062,147.710487444609
"01469",25,7670,325.945241199479
"01473",17,7766,218.90291012104
"01474",0,1803,0
"01475",23,10825,212.471131639723
"01501",88,16619,529.514411216078
"01503",8,3182,251.414204902577
"01504",20,9263,215.912771240419
"01505",14,4623,302.833657797967
"01506",4,3441,116.2452775356
"01507",34,13550,250.922509225092
"01510",64,13935,459.275206315034
"01515",6,2040,294.117647058824
"01516",14,8859,158.031380516988
"01518",15,3947,380.035469977198
"01519",15,7042,213.007668276058
"01520",43,15781,272.479564032698
"01521",0,2630,0
"01522",0,3270,0
"01523",9,7794,115.473441108545
"01524",12,6654,180.34265103697
"01525",0,544,0
"01527",58,13732,422.371103990679
"01529",0,3256,0
"01531",0,1211,0
"01532",97,15056,644.261424017003
"01534",7,6296,111.181702668361
"01535",7,4774,146.627565982405
"01536",19,7576,250.791974656811
"01537",6,2201,272.603362108133
"01540",42,11581,362.662982471289
"01541",9,3455,260.492040520984
"01542",6,2567,233.735878457343
"01543",13,8685,149.683362118595
"01545",138,37086,372.108073127326
"01550",72,16887,426.36347486232
"01560",0,4396,0
"01561",0,209,0
"01562",28,11928,234.741784037559
"01564",18,8091,222.469410456062
"01566",38,5592,679.542203147353
"01568",21,7894,266.024828984039
"01569",51,14025,363.636363636364
"01570",79,16973,465.445118717964
"01571",27,11723,230.31647189286
"01581",161,19037,845.721489730525
"01583",44,7693,571.948524632783
"01585",8,4569,175.093018165901
"01588",56,9750,574.358974358974
"01590",25,9404,265.844321565291
"01602",81,22900,353.711790393013
"01603",88,19731,445.998682276621
"01604",176,38191,460.841559529732
"01605",101,28533,353.97609785161
"01606",87,19896,437.273823884198
"01607",25,8167,306.109954695727
"01608",70,4471,1565.64526951465
"01609",116,21628,536.341779175143
"01610",94,22023,426.826499568633
"01611",0,2277,0
"01612",4,4900,81.6326530612245
"01701",191,32590,586.069346425284
"01702",134,39799,336.691876680319
"01718",0,790,0
"01719",9,5561,161.841395432476
"01720",136,22791,596.726778114168
"01721",74,17710,417.843026538679
"01730",81,14070,575.692963752665
"01731",0,2059,0
"01740",19,5299,358.558218531798
"01741",3,5224,57.427258805513
"01742",128,19121,669.421055384133
"01745",0,595,0
"01746",47,14724,319.206737299647
"01747",14,5947,235.412813183118
"01748",57,17598,323.900443232185
"01749",102,19887,512.89787298235
"01752",250,39736,629.1524058788
"01754",47,10754,437.046680305003
"01756",25,6115,408.830744071954
"01757",143,28883,495.100924419209
"01760",239,35761,668.325829814603
"01770",12,4316,278.035217794254
"01772",39,9526,409.405836657569
"01773",22,4884,450.45045045045
"01775",13,7133,182.25150707977
"01776",101,19122,528.187428093296
"01778",63,14088,447.189097103918
"01801",234,40359,579.79632795659
"01803",249,27650,900.542495479204
"01810",168,35816,469.064105427742
"01821",87,32797,265.268164771168
"01824",142,25754,551.370660868215
"01826",120,31294,383.46008819582
"01827",3,3366,89.126559714795
"01830",123,26305,467.591712602167
"01832",75,23270,322.303394929093
"01833",34,8695,391.02932719954
"01834",12,6780,176.991150442478
"01835",43,13958,308.067058317811
"01840",65,5573,1166.33769962318
"01841",108,49367,218.769623432657
"01843",96,25002,383.969282457403
"01844",188,50282,373.891253331212
"01845",149,30842,483.107450878672
"01850",32,16151,198.13014674014
"01851",115,30686,374.763735905625
"01852",173,35532,486.885061353146
"01854",82,28937,283.374226768497
"01860",14,6890,203.193033381713
"01862",46,10623,433.022686623364
"01863",26,9372,277.422108408024
"01864",93,15581,596.880816378923
"01867",117,25077,466.56298600311
"01876",124,30878,401.580413239199
"01879",40,12443,321.465884433015
"01880",148,26720,553.892215568862
"01886",110,24342,451.893846027442
"01887",97,23377,414.9377593361
"01890",94,22738,413.404872899991
"01901",73,2135,3419.2037470726
"01902",108,49641,217.56209584819
"01904",63,17294,364.288192436683
"01905",75,24580,305.126118795769
"01906",190,28222,673.233647509036
"01907",66,15278,431.993716455033
"01908",4,3502,114.220445459737
"01913",76,17434,435.929792359757
"01915",257,41885,613.584815566432
"01921",15,8282,181.115672542864
"01922",3,3910,76.7263427109974
"01923",202,27406,737.064876304459
"01929",26,3745,694.259012016021
"01930",207,30162,686.2940123334
"01937",0,180,0
"01938",70,13963,501.324930172599
"01940",56,13474,415.615259017367
"01944",40,5383,743.080066877206
"01945",128,20500,624.390243902439
"01949",64,9872,648.298217179903
"01950",167,18077,923.825856060187
"01951",12,3150,380.952380952381
"01952",82,9379,874.293634715855
"01960",283,52628,537.736566086494
"01966",37,7231,511.68579726179
"01969",32,6372,502.197112366604
"01970",297,43033,690.168010596519
"01982",22,8031,273.938488357614
"01983",20,6568,304.506699147381
"01984",8,5240,152.671755725191
"01985",6,4631,129.561649751674
"02019",93,17108,543.605330839373
"02021",148,23369,633.317643031366
"02025",71,8484,836.869401225837
"02026",167,25265,660.993469226202
"02030",10,6044,165.453342157512
"02032",16,4194,381.497377205532
"02035",106,17727,597.957917301292
"02038",146,33256,439.018522973298
"02043",149,23652,629.96786741079
"02045",43,10455,411.286465805835
"02047",0,97,0
"02048",101,23947,421.764730446402
"02050",122,26222,465.258180154069
"02052",62,12841,482.828440152636
"02053",51,13325,382.739212007505
"02054",46,8233,558.727073970606
"02056",26,11309,229.90538509152
"02061",69,11054,624.208431337073
"02062",202,29306,689.278646011056
