"ZCTA","all_results_pop","approved_pop","all_results_black","approved_black","all_results_nonwhite","approved_nonwhite","approval_rate_pop","approval_rate_black","approval_difference_black","approval_rate_nonwhite","approval_difference_pop"
"01001",317,168,5,1,20,2,52.9968454258675,20,-32.9968454258675,10,-42.9968454258675
"01002",237,109,6,2,29,9,45.9915611814346,33.3333333333333,-12.6582278481013,31.0344827586207,-14.9570784228139
"01003",1,0,0,0,0,0,0,,,,
"01005",73,25,0,0,1,0,34.2465753424658,,,0,-34.2465753424658
"01007",218,122,3,1,23,7,55.9633027522936,33.3333333333333,-22.6299694189602,30.4347826086957,-25.5285201435979
"01008",109,58,0,0,3,0,53.2110091743119,,,0,-53.2110091743119
"01009",42,19,0,0,3,1,45.2380952380952,,,33.3333333333333,-11.9047619047619
"01010",57,25,1,0,4,0,43.859649122807,0,-43.859649122807,0,-43.859649122807
"01011",159,80,1,0,7,0,50.314465408805,0,-50.314465408805,0,-50.314465408805
"01012",7,4,0,0,0,0,57.1428571428571,,,,
"01013",404,183,19,8,80,16,45.2970297029703,42.1052631578947,-3.19176654507557,20,-25.2970297029703
"01020",594,283,21,5,104,23,47.6430976430976,23.8095238095238,-23.8335738335738,22.1153846153846,-25.527713027713
"01022",191,89,5,1,22,6,46.5968586387435,20,-26.5968586387435,27.2727272727273,-19.3241313660162
"01026",50,22,1,0,4,0,44,0,-44,0,-44
"01027",148,71,1,1,8,2,47.972972972973,100,52.027027027027,25,-22.972972972973
"01028",241,133,5,4,36,13,55.1867219917012,80,24.8132780082988,36.1111111111111,-19.0756108805901
"01029",61,14,1,0,3,1,22.9508196721311,0,-22.9508196721311,33.3333333333333,10.3825136612022
"01030",271,143,4,2,17,3,52.7675276752767,50,-2.76752767527675,17.6470588235294,-35.1204688517473
"01031",39,13,0,0,1,0,33.3333333333333,,,0,-33.3333333333333
"01032",43,16,0,0,1,0,37.2093023255814,,,0,-37.2093023255814
"01033",69,34,0,0,2,1,49.2753623188406,,,50,0.724637681159415
"01034",109,58,0,0,3,0,53.2110091743119,,,0,-53.2110091743119
"01035",51,22,1,0,7,0,43.1372549019608,0,-43.1372549019608,0,-43.1372549019608
"01036",72,31,0,0,1,0,43.0555555555556,,,0,-43.0555555555556
"01037",39,13,0,0,1,0,33.3333333333333,,,0,-33.3333333333333
"01038",42,13,0,0,2,0,30.952380952381,,,0,-30.952380952381
"01039",84,36,0,0,2,0,42.8571428571429,,,0,-42.8571428571429
"01040",322,149,7,1,83,16,46.2732919254658,14.2857142857143,-31.9875776397515,19.2771084337349,-26.9961834917309
"01050",136,68,1,0,5,0,50,0,-50,0,-50
"01053",32,15,1,1,3,2,46.875,100,53.125,66.6666666666667,19.7916666666667
"01054",53,19,0,0,4,1,35.8490566037736,,,25,-10.8490566037736
"01056",236,94,1,0,22,6,39.8305084745763,0,-39.8305084745763,27.2727272727273,-12.557781201849
"01057",283,116,2,0,14,2,40.9893992932862,0,-40.9893992932862,14.2857142857143,-26.7036850075719
"01060",202,91,6,0,19,6,45.049504950495,0,-45.049504950495,31.5789473684211,-13.470557582074
"01062",185,86,7,1,17,6,46.4864864864865,14.2857142857143,-32.2007722007722,35.2941176470588,-11.1923688394277
"01063",1,1,0,0,0,0,100,,,,
"01066",42,13,0,0,2,0,30.952380952381,,,0,-30.952380952381
