"ZCTA","all_results_pop","approved_pop","all_results_black","approved_black","all_results_nonwhite","approved_nonwhite","approval_rate_pop","approval_rate_black","approval_difference_black","approval_rate_nonwhite","approval_difference_pop"
"01068",35,11,0,0,4,0,31.4285714285714,,,0,-31.4285714285714
"01069",215,105,1,0,13,3,48.8372093023256,0,-48.8372093023256,23.0769230769231,-25.7602862254025
"01070",50,22,1,0,4,0,44,0,-44,0,-44
"01071",109,58,0,0,3,0,53.2110091743119,,,0,-53.2110091743119
"01072",53,19,0,0,4,1,35.8490566037736,,,25,-10.8490566037736
"01073",69,30,0,0,3,2,43.4782608695652,,,66.6666666666667,23.1884057971014
"01074",73,25,0,0,1,0,34.2465753424658,,,0,-34.2465753424658
"01075",263,127,2,0,14,4,48.2889733840304,0,-48.2889733840304,28.5714285714286,-19.7175448126019
"01077",130,65,0,0,3,0,50,,,0,-50
"01079",42,19,0,0,3,1,45.2380952380952,,,33.3333333333333,-11.9047619047619
"01080",40,16,1,0,6,1,40,0,-40,16.6666666666667,-23.3333333333333
"01081",86,41,0,0,3,0,47.6744186046512,,,0,-47.6744186046512
"01082",145,60,1,0,10,2,41.3793103448276,0,-41.3793103448276,20,-21.3793103448276
"01083",58,22,0,0,4,0,37.9310344827586,,,0,-37.9310344827586
"01084",7,4,0,0,0,0,57.1428571428571,,,,
"01085",612,320,4,2,37,8,52.2875816993464,50,-2.28758169934641,21.6216216216216,-30.6659600777248
"01086",1,1,0,0,1,1,100,,,100,0
"01088",42,13,0,0,2,0,30.952380952381,,,0,-30.952380952381
"01089",369,208,5,0,35,8,56.3685636856369,0,-56.3685636856369,22.8571428571429,-33.511420828494
"01092",58,22,0,0,4,0,37.9310344827586,,,0,-37.9310344827586
"01093",41,20,0,0,1,0,48.780487804878,,,0,-48.780487804878
"01094",39,13,0,0,1,0,33.3333333333333,,,0,-33.3333333333333
"01095",243,118,7,2,23,6,48.559670781893,28.5714285714286,-19.9882422104644,26.0869565217391,-22.4727142601539
"01096",50,20,0,0,1,0,40,,,0,-40
"01097",109,58,0,0,3,0,53.2110091743119,,,0,-53.2110091743119
"01098",50,22,1,0,4,0,44,0,-44,0,-44
"01103",35,13,3,0,10,0,37.1428571428571,0,-37.1428571428571,0,-37.1428571428571
"01104",401,181,34,3,153,25,45.1371571072319,8.82352941176471,-36.3136276954672,16.3398692810458,-28.7972878261862
"01105",130,64,25,3,45,5,49.2307692307692,12,-37.2307692307692,11.1111111111111,-38.1196581196581
"01106",316,162,19,5,54,12,51.2658227848101,26.3157894736842,-24.9500333111259,22.2222222222222,-29.0436005625879
"01107",174,74,14,1,72,6,42.5287356321839,7.14285714285714,-35.3858784893268,8.33333333333333,-34.1954022988506
"01108",349,149,39,3,138,14,42.6934097421203,7.69230769230769,-35.0011020498127,10.1449275362319,-32.5484822058885
"01109",404,168,70,5,165,19,41.5841584158416,7.14285714285714,-34.4413012729844,11.5151515151515,-30.0690069006901
"01118",254,111,26,4,75,15,43.7007874015748,15.3846153846154,-28.3161720169594,20,-23.7007874015748
"01119",320,134,34,2,119,15,41.875,5.88235294117647,-35.9926470588235,12.6050420168067,-29.2699579831933
"01128",115,54,11,1,30,6,46.9565217391304,9.09090909090909,-37.8656126482213,20,-26.9565217391304
"01129",286,126,27,3,99,16,44.0559440559441,11.1111111111111,-32.944832944833,16.1616161616162,-27.8943278943279
"01151",126,56,11,3,49,6,44.4444444444444,27.2727272727273,-17.1717171717172,12.2448979591837,-32.1995464852608
"01199",40,18,5,0,16,2,45,0,-45,12.5,-32.5
"01201",585,241,22,1,65,9,41.1965811965812,4.54545454545455,-36.6511266511266,13.8461538461538,-27.3504273504273
"01220",126,40,1,0,10,2,31.7460317460317,0,-31.7460317460317,20,-11.7460317460317
"01222",37,10,0,0,3,3,27.027027027027,,,100,72.972972972973
"01223",41,13,1,0,3,0,31.7073170731707,0,-31.7073170731707,0,-31.7073170731707
"01224",34,16,0,0,3,1,47.0588235294118,,,33.3333333333333,-13.7254901960784
"01225",37,8,0,0,1,0,21.6216216216216,,,0,-21.6216216216216
"01226",140,61,0,0,6,1,43.5714285714286,,,16.6666666666667,-26.9047619047619
"01229",43,20,2,0,4,1,46.5116279069767,0,-46.5116279069767,25,-21.5116279069767
"01230",193,52,0,0,11,5,26.9430051813472,,,45.4545454545455,18.5115402731983
"01235",100,39,1,0,3,0,39,0,-39,0,-39
"01236",140,41,2,0,10,2,29.2857142857143,0,-29.2857142857143,20,-9.28571428571429
"01237",73,31,2,0,7,1,42.4657534246575,0,-42.4657534246575,14.2857142857143,-28.1800391389433
"01238",120,43,2,0,9,2,35.8333333333333,0,-35.8333333333333,22.2222222222222,-13.6111111111111
"01240",187,67,3,0,16,1,35.8288770053476,0,-35.8288770053476,6.25,-29.5788770053476
"01242",52,18,0,0,5,0,34.6153846153846,,,0,-34.6153846153846
"01243",50,22,1,0,4,0,44,0,-44,0,-44
"01244",23,6,0,0,0,0,26.0869565217391,,,,
"01245",110,27,1,0,4,2,24.5454545454545,0,-24.5454545454545,50,25.4545454545455
"01247",150,65,1,0,5,0,43.3333333333333,0,-43.3333333333333,0,-43.3333333333333
"01253",61,14,1,0,3,1,22.9508196721311,0,-22.9508196721311,33.3333333333333,10.3825136612022
"01254",56,20,2,0,4,0,35.7142857142857,0,-35.7142857142857,0,-35.7142857142857
"01255",61,14,1,0,3,1,22.9508196721311,0,-22.9508196721311,33.3333333333333,10.3825136612022
"01256",22,9,0,0,1,0,40.9090909090909,,,0,-40.9090909090909
"01257",37,10,0,0,3,3,27.027027027027,,,100,72.972972972973
"01258",27,13,0,0,1,0,48.1481481481481,,,0,-48.1481481481481
"01259",23,6,0,0,0,0,26.0869565217391,,,,
"01260",94,36,2,0,8,1,38.2978723404255,0,-38.2978723404255,12.5,-25.7978723404255
"01262",43,20,2,0,4,1,46.5116279069767,0,-46.5116279069767,25,-21.5116279069767
"01264",26,7,0,0,1,1,26.9230769230769,,,100,73.0769230769231
"01266",87,38,2,0,5,1,43.6781609195402,0,-43.6781609195402,20,-23.6781609195402
"01267",109,54,2,0,5,0,49.5412844036697,0,-49.5412844036697,0,-49.5412844036697
"01270",29,16,0,0,0,0,55.1724137931034,,,,
"01301",177,78,2,0,7,2,44.0677966101695,0,-44.0677966101695,28.5714285714286,-15.4963680387409
"01330",29,8,0,0,0,0,27.5862068965517,,,,
"01331",240,102,5,2,20,3,42.5,40,-2.5,15,-27.5
"01337",30,13,0,0,1,1,43.3333333333333,,,100,56.6666666666667
"01338",33,11,0,0,2,0,33.3333333333333,,,0,-33.3333333333333
"01339",79,24,0,0,3,0,30.379746835443,,,0,-30.379746835443
"01340",46,13,0,0,1,0,28.2608695652174,,,0,-28.2608695652174
"01341",29,8,0,0,0,0,27.5862068965517,,,,
"01342",43,19,0,0,3,2,44.1860465116279,,,66.6666666666667,22.4806201550387
"01343",22,9,0,0,1,0,40.9090909090909,,,0,-40.9090909090909
"01344",34,11,0,0,0,0,32.3529411764706,,,,
"01346",46,13,0,0,1,0,28.2608695652174,,,0,-28.2608695652174
"01347",54,20,0,0,4,1,37.037037037037,,,25,-12.037037037037
"01349",88,31,0,0,4,1,35.2272727272727,,,25,-10.2272727272727
"01350",46,13,0,0,1,0,28.2608695652174,,,0,-28.2608695652174
"01351",54,20,0,0,4,1,37.037037037037,,,25,-12.037037037037
"01354",30,13,0,0,1,1,43.3333333333333,,,100,56.6666666666667
"01355",53,19,0,0,4,1,35.8490566037736,,,25,-10.8490566037736
"01360",28,14,0,0,1,0,50,,,0,-50
"01364",195,83,0,0,10,3,42.5641025641026,,,30,-12.5641025641026
"01366",90,35,1,1,3,1,38.8888888888889,100,61.1111111111111,33.3333333333333,-5.55555555555556
"01367",46,13,0,0,1,0,28.2608695652174,,,0,-28.2608695652174
"01368",124,63,4,2,13,2,50.8064516129032,50,-0.806451612903224,15.3846153846154,-35.4218362282878
"01370",151,51,0,0,6,2,33.7748344370861,,,33.3333333333333,-0.441501103752763
"01373",84,39,0,0,4,2,46.4285714285714,,,50,3.57142857142857
"01375",41,20,0,0,1,0,48.780487804878,,,0,-48.780487804878
"01376",75,28,0,0,5,1,37.3333333333333,,,20,-17.3333333333333
"01378",34,11,0,0,0,0,32.3529411764706,,,,
"01379",34,11,0,0,0,0,32.3529411764706,,,,
"01420",744,349,44,14,186,37,46.9086021505376,31.8181818181818,-15.0904203323558,19.8924731182796,-27.0161290322581
"01430",285,125,2,1,21,4,43.859649122807,50,6.14035087719299,19.047619047619,-24.812030075188
"01431",80,37,0,0,7,0,46.25,,,0,-46.25
"01432",177,110,6,2,16,7,62.1468926553672,33.3333333333333,-28.8135593220339,43.75,-18.3968926553672
"01434",428,261,10,2,36,16,60.981308411215,20,-40.981308411215,44.4444444444444,-16.5368639667705
"01436",163,77,5,1,11,1,47.239263803681,20,-27.239263803681,9.09090909090909,-38.1483547127719
"01438",112,55,4,0,9,0,49.1071428571429,0,-49.1071428571429,0,-49.1071428571429
"01440",542,258,12,1,62,12,47.6014760147601,8.33333333333333,-39.2681426814268,19.3548387096774,-28.2466373050827
"01450",210,120,0,0,20,10,57.1428571428571,,,50,-7.14285714285714
"01451",136,86,2,0,9,6,63.2352941176471,0,-63.2352941176471,66.6666666666667,3.4313725490196
"01452",69,27,0,0,3,0,39.1304347826087,,,0,-39.1304347826087
"01453",805,370,38,8,147,32,45.9627329192547,21.0526315789474,-24.9101013403073,21.7687074829932,-24.1940254362615
"01460",203,127,2,0,25,10,62.5615763546798,0,-62.5615763546798,40,-22.5615763546798
"01462",213,116,2,0,14,4,54.4600938967136,0,-54.4600938967136,28.5714285714286,-25.888665325285
"01463",251,145,5,1,15,4,57.7689243027888,20,-37.7689243027888,26.6666666666667,-31.1022576361222
"01464",115,65,2,0,11,3,56.5217391304348,0,-56.5217391304348,27.2727272727273,-29.2490118577075
"01467",136,86,2,0,9,6,63.2352941176471,0,-63.2352941176471,66.6666666666667,3.4313725490196
"01468",112,55,4,0,9,0,49.1071428571429,0,-49.1071428571429,0,-49.1071428571429
"01469",175,78,3,0,10,1,44.5714285714286,0,-44.5714285714286,10,-34.5714285714286
"01473",131,63,1,1,4,4,48.0916030534351,100,51.9083969465649,100,51.9083969465649
"01474",175,78,3,0,10,1,44.5714285714286,0,-44.5714285714286,10,-34.5714285714286
"01475",222,105,6,3,20,3,47.2972972972973,50,2.7027027027027,15,-32.2972972972973
"01501",374,185,5,2,44,14,49.4652406417112,40,-9.46524064171123,31.8181818181818,-17.6470588235294
"01503",59,33,0,0,3,1,55.9322033898305,,,33.3333333333333,-22.5988700564972
"01504",195,88,4,0,14,1,45.1282051282051,0,-45.1282051282051,7.14285714285714,-37.985347985348
"01505",97,53,0,0,8,2,54.639175257732,,,25,-29.639175257732
"01506",53,26,0,0,4,0,49.0566037735849,,,0,-49.0566037735849
"01507",240,141,1,1,13,2,58.75,100,41.25,15.3846153846154,-43.3653846153846
"01510",233,124,2,0,26,8,53.2188841201717,0,-53.2188841201717,30.7692307692308,-22.4496533509409
"01515",43,21,0,0,0,0,48.8372093023256,,,,
"01516",322,169,6,2,23,6,52.4844720496894,33.3333333333333,-19.1511387163561,26.0869565217391,-26.3975155279503
"01518",182,101,3,1,12,4,55.4945054945055,33.3333333333333,-22.1611721611722,33.3333333333333,-22.1611721611722
"01519",340,201,7,3,56,25,59.1176470588235,42.8571428571429,-16.2605042016807,44.6428571428571,-14.4747899159664
"01520",399,232,4,0,27,10,58.1453634085213,0,-58.1453634085213,37.037037037037,-21.1083263714843
"01521",86,41,0,0,3,0,47.6744186046512,,,0,-47.6744186046512
"01522",323,193,3,0,23,7,59.7523219814242,0,-59.7523219814242,30.4347826086957,-29.3175393727285
"01523",132,64,2,1,15,4,48.4848484848485,50,1.51515151515152,26.6666666666667,-21.8181818181818
"01524",194,106,4,1,30,12,54.639175257732,25,-29.639175257732,40,-14.639175257732
"01525",126,82,1,0,11,6,65.0793650793651,0,-65.0793650793651,54.5454545454545,-10.5339105339105
"01527",373,179,11,0,47,17,47.9892761394102,0,-47.9892761394102,36.1702127659575,-11.8190633734527
"01529",67,35,0,0,3,0,52.2388059701493,,,0,-52.2388059701493
"01531",39,13,0,0,1,0,33.3333333333333,,,0,-33.3333333333333
"01532",292,178,3,1,41,10,60.958904109589,33.3333333333333,-27.6255707762557,24.390243902439,-36.56866020715
"01534",240,149,2,0,23,14,62.0833333333333,0,-62.0833333333333,60.8695652173913,-1.21376811594202
"01535",76,31,0,0,3,0,40.7894736842105,,,0,-40.7894736842105
"01536",454,283,7,5,89,41,62.3348017621145,71.4285714285714,9.0937696664569,46.0674157303371,-16.2673860317774
"01537",138,72,1,0,11,2,52.1739130434783,0,-52.1739130434783,18.1818181818182,-33.9920948616601
"01540",258,127,4,0,22,2,49.2248062015504,0,-49.2248062015504,9.09090909090909,-40.1338971106413
"01541",71,38,0,0,2,1,53.5211267605634,,,50,-3.52112676056338
"01542",332,178,5,1,41,14,53.6144578313253,20,-33.6144578313253,34.1463414634146,-19.4681163679107
"01543",162,99,2,2,5,4,61.1111111111111,100,38.8888888888889,80,18.8888888888889
"01545",721,422,23,7,187,70,58.5298196948682,30.4347826086957,-28.0950370861726,37.4331550802139,-21.0966646146543
"01550",233,123,7,4,51,16,52.7896995708155,57.1428571428571,4.35315757204169,31.3725490196078,-21.4171505512076
"01560",98,50,3,0,20,7,51.0204081632653,0,-51.0204081632653,35,-16.0204081632653
"01561",132,64,2,1,15,4,48.4848484848485,50,1.51515151515152,26.6666666666667,-21.8181818181818
"01562",199,97,4,0,27,5,48.7437185929648,0,-48.7437185929648,18.5185185185185,-30.2252000744463
"01564",132,71,2,1,9,3,53.7878787878788,50,-3.78787878787878,33.3333333333333,-20.4545454545455
"01566",182,101,3,1,12,4,55.4945054945055,33.3333333333333,-22.1611721611722,33.3333333333333,-22.1611721611722
"01568",177,98,2,1,13,4,55.3672316384181,50,-5.36723163841808,30.7692307692308,-24.5980008691873
"01569",386,214,6,1,30,9,55.440414507772,16.6666666666667,-38.7737478411054,30,-25.440414507772
"01570",313,162,15,2,38,9,51.7571884984025,13.3333333333333,-38.4238551650692,23.6842105263158,-28.0729779720868
"01571",201,112,2,1,14,4,55.7213930348259,50,-5.72139303482587,28.5714285714286,-27.1499644633973
"01581",509,310,4,1,106,48,60.9037328094303,25,-35.9037328094303,45.2830188679245,-15.6207139415057
"01583",232,127,11,8,35,11,54.7413793103448,72.7272727272727,17.9858934169279,31.4285714285714,-23.3128078817734
"01585",125,51,1,0,8,1,40.8,0,-40.8,12.5,-28.3
"01588",511,297,6,1,41,18,58.1213307240705,16.6666666666667,-41.4546640574038,43.9024390243902,-14.2188916996802
"01590",185,111,0,0,4,2,60,,,50,-10
"01602",730,348,63,19,208,63,47.6712328767123,30.1587301587302,-17.5125027179822,30.2884615384615,-17.3827713382508
"01603",518,275,61,18,185,60,53.0888030888031,29.5081967213115,-23.5806063674916,32.4324324324324,-20.6563706563707
"01604",1046,503,90,18,302,89,48.0879541108987,20,-28.0879541108987,29.4701986754967,-18.617755435402
"01605",504,215,55,11,145,28,42.6587301587302,20,-22.6587301587302,19.3103448275862,-23.348385331144
"01606",648,326,48,14,113,24,50.3086419753086,29.1666666666667,-21.141975308642,21.2389380530973,-29.0697039222113
"01607",572,288,40,12,131,36,50.3496503496504,30,-20.3496503496504,27.4809160305344,-22.868734319116
"01608",151,55,19,3,71,13,36.4238410596026,15.7894736842105,-20.6343673753921,18.3098591549296,-18.1139819046731
"01609",614,278,45,11,168,40,45.2768729641694,24.4444444444444,-20.8324285197249,23.8095238095238,-21.4673491546456
"01610",491,217,66,13,215,45,44.1955193482688,19.6969696969697,-24.4985496512991,20.9302325581395,-23.2652867901293
"01611",83,40,2,0,19,7,48.1927710843374,0,-48.1927710843374,36.8421052631579,-11.3506658211795
"01612",217,130,4,1,20,9,59.9078341013825,25,-34.9078341013825,45,-14.9078341013825
"01701",739,414,18,6,124,48,56.021650879567,33.3333333333333,-22.6883175462337,38.7096774193548,-17.3119734602121
"01702",506,286,17,6,144,48,56.5217391304348,35.2941176470588,-21.227621483376,33.3333333333333,-23.1884057971015
"01718",126,82,1,1,45,25,65.0793650793651,100,34.9206349206349,55.5555555555556,-9.52380952380952
"01719",94,49,1,0,18,7,52.1276595744681,0,-52.1276595744681,38.8888888888889,-13.2387706855792
"01720",502,319,4,2,118,58,63.5458167330677,50,-13.5458167330677,49.1525423728814,-14.3932743601864
"01721",415,267,9,2,86,44,64.3373493975904,22.2222222222222,-42.1151271753681,51.1627906976744,-13.1745586999159
"01730",407,263,1,1,61,28,64.6191646191646,100,35.3808353808354,45.9016393442623,-18.7175252749023
"01731",155,98,1,1,21,10,63.2258064516129,100,36.7741935483871,47.6190476190476,-15.6067588325653
"01740",166,96,1,0,16,5,57.8313253012048,0,-57.8313253012048,31.25,-26.5813253012048
"01741",120,66,1,1,9,5,55,100,45,55.5555555555556,0.55555555555555
"01742",407,238,5,2,73,31,58.4766584766585,40,-18.4766584766585,42.4657534246575,-16.0109050520009
"01745",105,64,2,0,22,11,60.952380952381,0,-60.952380952381,50,-10.952380952381
"01746",342,211,5,1,32,12,61.6959064327485,20,-41.6959064327485,37.5,-24.1959064327485
"01747",110,63,2,0,7,2,57.2727272727273,0,-57.2727272727273,28.5714285714286,-28.7012987012987
"01748",553,406,4,1,120,81,73.4177215189873,25,-48.4177215189873,67.5,-5.91772151898735
"01749",323,194,3,2,29,9,60.061919504644,66.6666666666667,6.60474716202269,31.0344827586207,-29.0274367460233
"01752",617,313,11,3,113,29,50.7293354943274,27.2727272727273,-23.4566082216001,25.6637168141593,-25.0656186801681
"01754",213,114,4,1,21,6,53.5211267605634,25,-28.5211267605634,28.5714285714286,-24.9496981891348
"01756",312,180,4,1,16,2,57.6923076923077,25,-32.6923076923077,12.5,-45.1923076923077
"01757",639,320,10,3,92,17,50.0782472613459,30,-20.0782472613459,18.4782608695652,-31.5999863917806
"01760",719,436,3,0,91,38,60.6397774687065,0,-60.6397774687065,41.7582417582418,-18.8815357104648
"01770",112,61,2,1,13,5,54.4642857142857,50,-4.46428571428571,38.4615384615385,-16.0027472527472
"01772",238,141,4,0,40,18,59.2436974789916,0,-59.2436974789916,45,-14.2436974789916
"01773",192,102,1,0,19,2,53.125,0,-53.125,10.5263157894737,-42.5986842105263
"01775",157,93,1,0,6,2,59.2356687898089,0,-59.2356687898089,33.3333333333333,-25.9023354564756
"01776",497,323,2,1,46,23,64.989939637827,50,-14.989939637827,50,-14.989939637827
"01778",562,353,4,2,77,34,62.8113879003559,50,-12.8113879003559,44.1558441558442,-18.6555437445117
"01801",922,562,17,4,108,41,60.9544468546638,23.5294117647059,-37.4250350899579,37.962962962963,-22.9914838917008
"01803",447,279,2,0,76,32,62.4161073825503,0,-62.4161073825503,42.1052631578947,-20.3108442246556
"01810",784,475,15,5,85,34,60.5867346938776,33.3333333333333,-27.2534013605442,40,-20.5867346938776
"01821",835,452,28,3,113,38,54.1317365269461,10.7142857142857,-43.4174508126604,33.6283185840708,-20.5034179428753
"01824",567,377,7,2,76,43,66.4902998236332,28.5714285714286,-37.9188712522046,56.578947368421,-9.91135245521212
"01826",651,378,30,11,123,43,58.0645161290323,36.6666666666667,-21.3978494623656,34.9593495934959,-23.1051665355363
"01827",63,38,2,0,5,3,60.3174603174603,0,-60.3174603174603,60,-0.317460317460316
"01830",661,356,30,10,116,33,53.857791225416,33.3333333333333,-20.5244578920827,28.448275862069,-25.4095153633471
"01832",587,319,36,12,123,38,54.3441226575809,33.3333333333333,-21.0107893242476,30.8943089430894,-23.4498137144915
"01833",211,131,1,0,5,1,62.085308056872,0,-62.085308056872,20,-42.085308056872
"01834",137,85,0,0,3,2,62.043795620438,,,66.6666666666667,4.6228710462287
"01835",327,200,14,4,37,17,61.1620795107034,28.5714285714286,-32.5906509392748,45.945945945946,-15.2161335647574
"01840",80,43,8,2,40,10,53.75,25,-28.75,25,-28.75
"01841",857,440,76,18,421,102,51.3418903150525,23.6842105263158,-27.6576797887367,24.2280285035629,-27.1138618114896
"01843",415,221,32,4,172,42,53.2530120481928,12.5,-40.7530120481928,24.4186046511628,-28.83440739703
"01844",1189,621,73,19,310,95,52.228763666947,26.027397260274,-26.201366406673,30.6451612903226,-21.5836023766244
"01845",618,350,13,5,63,19,56.6343042071197,38.4615384615385,-18.1727657455813,30.1587301587302,-26.4755740483896
"01850",262,145,22,5,87,27,55.3435114503817,22.7272727272727,-32.6162387231089,31.0344827586207,-24.309028691761
"01851",420,209,17,1,196,62,49.7619047619048,5.88235294117647,-43.8795518207283,31.6326530612245,-18.1292517006803
"01852",525,285,22,4,142,37,54.2857142857143,18.1818181818182,-36.1038961038961,26.056338028169,-28.2293762575453
"01854",586,315,30,7,181,65,53.7542662116041,23.3333333333333,-30.4209328782708,35.9116022099448,-17.8426640016593
"01860",142,81,1,0,5,0,57.0422535211268,0,-57.0422535211268,0,-57.0422535211268
"01862",690,394,19,1,76,21,57.1014492753623,5.26315789473684,-51.8382913806255,27.6315789473684,-29.4698703279939
"01863",300,188,3,0,37,17,62.6666666666667,0,-62.6666666666667,45.945945945946,-16.7207207207207
"01864",402,249,1,0,20,5,61.9402985074627,0,-61.9402985074627,25,-36.9402985074627
"01867",562,377,4,2,32,12,67.0818505338078,50,-17.0818505338078,37.5,-29.5818505338078
"01876",677,384,14,6,61,13,56.7208271787297,42.8571428571429,-13.8636843215868,21.3114754098361,-35.4093517688936
"01879",397,235,15,5,63,22,59.1939546599496,33.3333333333333,-25.8606213266163,34.9206349206349,-24.2733197393147
"01880",586,374,1,1,43,17,63.8225255972696,100,36.1774744027304,39.5348837209302,-24.2876418763394
"01886",576,386,8,1,124,67,67.0138888888889,12.5,-54.5138888888889,54.0322580645161,-12.9816308243728
"01887",536,320,6,3,45,19,59.7014925373134,50,-9.70149253731343,42.2222222222222,-17.4792703150912
"01890",658,380,9,3,95,42,57.7507598784195,33.3333333333333,-24.4174265450861,44.2105263157895,-13.54023356263
"01901",122,55,8,2,53,12,45.0819672131148,25,-20.0819672131148,22.6415094339623,-22.4404577791525
"01902",1079,573,94,26,404,121,53.1047265987025,27.6595744680851,-25.4451521306174,29.9504950495049,-23.1542315491976
"01904",837,486,49,20,246,84,58.0645161290323,40.8163265306122,-17.24818959842,34.1463414634146,-23.9181746656176
"01905",857,478,45,13,262,79,55.7759626604434,28.8888888888889,-26.8870737715545,30.1526717557252,-25.6232909047182
"01906",747,383,13,3,142,36,51.2717536813922,23.0769230769231,-28.1948306044692,25.3521126760563,-25.9196410053359
"01907",542,330,15,5,63,21,60.8856088560886,33.3333333333333,-27.5522755227552,33.3333333333333,-27.5522755227552
"01908",71,48,0,0,4,0,67.6056338028169,,,0,-67.6056338028169
"01913",288,168,2,1,16,8,58.3333333333333,50,-8.33333333333334,50,-8.33333333333334
"01915",873,620,5,1,36,11,71.0194730813288,20,-51.0194730813288,30.5555555555556,-40.4639175257732
"01921",221,147,1,0,5,1,66.5158371040724,0,-66.5158371040724,20,-46.5158371040724
"01922",162,85,0,0,2,0,52.4691358024691,,,0,-52.4691358024691
"01923",712,457,4,0,38,12,64.185393258427,0,-64.185393258427,31.5789473684211,-32.6064458900059
"01929",81,41,0,0,0,0,50.6172839506173,,,,
"01930",478,228,0,0,18,6,47.6987447698745,,,33.3333333333333,-14.3654114365412
"01937",62,33,1,0,10,2,53.2258064516129,0,-53.2258064516129,20,-33.2258064516129
"01938",241,138,1,0,8,1,57.2614107883817,0,-57.2614107883817,12.5,-44.7614107883817
"01940",836,502,12,6,68,24,60.0478468899521,50,-10.0478468899521,35.2941176470588,-24.7537292428933
"01944",108,59,1,1,6,1,54.6296296296296,100,45.3703703703704,16.6666666666667,-37.962962962963
"01945",499,337,1,0,13,5,67.5350701402806,0,-67.5350701402806,38.4615384615385,-29.0735316787421
"01949",233,138,2,1,10,4,59.2274678111588,50,-9.2274678111588,40,-19.2274678111588
"01950",379,192,2,1,12,3,50.6596306068602,50,-0.659630606860162,25,-25.6596306068602
"01951",162,85,0,0,2,0,52.4691358024691,,,0,-52.4691358024691
"01952",187,92,0,0,5,1,49.1978609625668,,,20,-29.1978609625668
"01960",1162,721,26,5,94,33,62.0481927710843,19.2307692307692,-42.8174235403151,35.1063829787234,-26.9418097923609
"01966",131,69,0,0,5,1,52.6717557251908,,,20,-32.6717557251908
"01969",138,79,1,1,4,1,57.2463768115942,100,42.7536231884058,25,-32.2463768115942
