zcta,adult_population,presidential_votes,voter_percent_of_population
31072,1015,580,0.571428571
31075,2186,1255,0.57410796
31076,2570,1408,0.547859922
31077,1075,554,0.515348837
31078,2202,1746,0.792915531
31079,1758,1127,0.641069397
31081,16,111,1
31082,7619,5021,0.659010369
31083,269,113,0.420074349
31084,65,56,0.861538462
31085,861,513,0.595818815
31087,7484,4276,0.571352218
31088,42165,25913,0.61456184
31089,3338,2133,0.639005392
31090,942,509,0.540339703
31091,3725,1131,0.303624161
31092,5493,2227,0.405425086
31093,20750,10523,0.50713253
31094,821,648,0.789281364
31096,5913,2901,0.490613902
31097,1028,721,0.701361868
31098,2341,808,0.345151645
31201,7037,3030,0.430581214
31204,22695,13352,0.588323419
31206,18140,9404,0.518412348
31207,1082,344,0.31792976
31210,26145,17265,0.660355709
31211,11868,7604,0.640714526
31213,0,0,NA
31216,13230,8525,0.644368859
31217,12071,7695,0.637478254
31220,11621,9395,0.808450219
31301,2704,1531,0.566198225
31302,6129,3739,0.610050579
31303,1967,1180,0.599898322
31304,35,54,1
31305,4419,2652,0.600135777
31307,765,522,0.682352941
31308,5457,3837,0.70313359
31309,707,655,0.926449788
31312,15333,11306,0.737363856
31313,29045,13827,0.476054398
31314,1621,115,0.070943862
31315,4633,444,0.095834233
31316,9901,4180,0.422179578
31318,374,173,0.462566845
31320,6056,4748,0.784015852
31321,5764,3362,0.583275503
31322,19903,13374,0.671959001
31323,1023,964,0.942326491
31324,18591,16155,0.868968856
31326,15335,11330,0.738832736
31327,212,42,0.198113208
31328,2932,2433,0.829809004
31329,7451,4804,0.644745672
31331,7086,3867,0.545723963
31401,16830,7615,0.452465835
31404,25526,13685,0.536120034
31405,29329,16429,0.560162297
31406,27320,16471,0.602891654
31407,9946,5623,0.565352906
31408,8378,4266,0.509190738
31409,816,149,0.182598039
31410,19275,14433,0.748793774
31411,8080,7206,0.891831683
31415,9257,4643,0.501566382
31419,45781,25513,0.557283589
31501,12198,5789,0.474585998
31503,15374,8505,0.553206713
31510,7259,4198,0.578316573
31512,1685,928,0.55074184
31513,12069,7251,0.600795426
31516,11161,7089,0.63515814
31518,646,367,0.568111455
31519,2700,1548,0.573333333
31520,17546,7603,0.433318135
31522,14248,12155,0.85310219
31523,10729,7840,0.730729798
31524,0,0,NA
31525,22267,13297,0.597161719
31527,883,624,0.706681767
31532,481,319,0.663201663
31533,12327,6360,0.515940618
31535,7924,4097,0.51703685
31537,8671,3822,0.44077961
31539,10761,5510,0.512034198
31542,1883,1269,0.673924588
31543,3087,1951,0.632005183
31544,612,349,0.570261438
31545,11661,6808,0.58382643
31546,6775,2882,0.425387454
31547,1109,225,0.202885482
31548,15956,9597,0.601466533
31549,1696,721,0.425117925
31550,586,345,0.588737201
31551,728,484,0.664835165
31552,892,477,0.534753363
31553,3821,2307,0.603768647
31554,6816,1998,0.293133803
31555,1966,1538,0.782299084
31556,58,31,0.534482759
31557,2544,1419,0.557783019
31558,16419,8985,0.547231866
31560,1930,1453,0.752849741
31561,47,314,1
31562,2026,796,0.392892399
31563,1029,666,0.647230321
31565,1668,1331,0.797961631
31566,3429,1345,0.392242636
31567,676,349,0.516272189
31568,586,600,1
31569,4483,2887,0.643988401
31601,23341,12198,0.522599717
31602,28474,14411,0.506110838
31605,17199,9239,0.537182394
31606,2876,1901,0.660987483
31620,8049,4518,0.561311964
31622,1443,921,0.638253638
31623,74,50,0.675675676
31624,913,582,0.637458927
31625,735,561,0.763265306
31626,2767,1643,0.593783881
31627,208,85,0.408653846
31629,828,450,0.543478261
31630,261,189,0.724137931
31631,369,239,0.647696477
31632,9821,5514,0.561449954
31634,4266,2439,0.571729958
31635,5124,2332,0.455113193
31636,8355,4709,0.563614602
31637,2303,1223,0.531046461
31638,863,501,0.580533024
31639,7785,4300,0.552344252
31641,1362,877,0.643906021
31642,3478,1693,0.486774008
31643,6434,3683,0.572427728
31645,3589,1826,0.508776818
31647,2689,1299,0.483079212
31648,648,372,0.574074074
31649,832,375,0.450721154
31650,3096,1344,0.434108527
31698,740,121,0.163513514
31699,685,97,0.141605839
31701,14032,6513,0.464153364
31705,24272,10687,0.440301582
31707,19193,11020,0.574167665
31709,12270,5886,0.479706601
31711,559,362,0.647584973
31712,871,462,0.530424799
31714,4175,2730,0.653892216
31716,2112,1230,0.582386364
31719,6649,3788,0.569709731
31720,187,221,1
31721,15803,11012,0.696829716
31722,351,169,0.481481481
31730,6111,3668,0.600229095
31733,968,906,0.935950413
31735,602,349,0.579734219
31738,1558,1025,0.657894737
31743,214,276,1
31744,2271,1416,0.623513871
31747,154,90,0.584415584
31749,1920,958,0.498958333
31750,13562,7097,0.523300398
31756,763,474,0.621231979
31757,8120,5537,0.681896552
31763,17828,13485,0.756394436
31764,1144,570,0.498251748
31765,2158,1121,0.519462465
31768,16608,8127,0.489342486
31771,5134,1964,0.382547721
31772,468,247,0.527777778
31773,2906,1772,0.609772884
31774,5355,2734,0.510550887
31775,2557,921,0.36018772
31778,1816,1206,0.664096916
31779,7943,3566,0.44894876
31780,1672,919,0.549641148
31781,1513,856,0.565763384
31783,716,537,0.75
31784,653,355,0.543644717
31787,1092,659,0.603479853
31788,7108,3688,0.518851998
31789,777,591,0.760617761
31790,1604,897,0.559226933
31791,9184,5083,0.553462544
31792,17926,11507,0.641916769
31793,7476,3838,0.513376137
31794,20666,10785,0.521871673
31795,1472,908,0.616847826
31796,874,543,0.621281465
31798,619,484,0.7819063
31801,2688,1401,0.521205357
31803,4117,2374,0.576633471
31804,4901,3806,0.776576209
31805,2040,474,0.232352941
31806,3935,2250,0.571791614
31807,2529,1696,0.670620799
31808,5769,4218,0.731149246
31810,192,125,0.651041667
31811,5064,3218,0.635466035
31812,479,300,0.626304802
31814,170,127,0.747058824
31815,3564,919,0.257856341
31816,3964,2616,0.659939455
31820,8982,6410,0.713649521
31821,87,144,1
31822,4519,2865,0.633989821
31823,697,389,0.558106169
31824,1176,913,0.776360544
31825,1972,1026,0.520283976
31826,1469,1198,0.815520762
31827,1670,1077,0.64491018
31829,619,1064,1
31830,1960,964,0.491836735
31831,2586,1937,0.749033256
31832,226,108,0.477876106
31833,5404,3310,0.612509252
31836,846,580,0.685579196
31901,5280,2410,0.456439394
31903,12603,6409,0.508529715
31904,24745,15191,0.613901798
31905,12750,1145,0.089803922
31906,15783,8275,0.524298296
31907,44508,24313,0.546261346
31909,28969,17685,0.610480168
39813,1477,970,0.656736628
39815,1390,754,0.542446043
39817,7729,4250,0.549877086
39819,8088,4866,0.601632047
39823,5778,4003,0.692800277
39824,565,266,0.47079646
39825,1087,551,0.506899724
39826,345,281,0.814492754
39827,3015,1774,0.588391376
39828,10975,6015,0.548063781
39834,1625,1055,0.649230769
39836,255,225,0.882352941
39837,4842,2798,0.577860388
39840,3927,2115,0.538579068
39841,542,410,0.756457565
39842,5886,3843,0.652905199
39845,6011,3502,0.582598569
39846,1471,684,0.464989803
39851,1504,1057,0.702792553
39854,1911,1146,0.599686028
39859,782,582,0.744245524
39861,878,481,0.547835991
39862,919,741,0.806311208
39866,2131,428,0.200844674
39867,398,154,0.386934673
39870,1536,1001,0.651692708
39877,321,261,0.813084112
39885,54,43,0.796296296
39886,1195,773,0.646861925
39897,2825,1698,0.601061947
96701,33328,17693,0.53087494
96703,1775,1122,0.632112676
96704,6269,3143,0.501355878
96705,2223,918,0.412955466
96706,54199,25408,0.468790937
96707,33921,17432,0.513899944
96708,8680,5385,0.620391705
96710,277,317,1
96712,5694,3263,0.573059361
96713,944,884,0.936440678
96714,644,730,1
96716,2380,1118,0.469747899
96717,3329,1563,0.469510363
96719,1237,863,0.697655618
96720,38495,22051,0.57282764
96722,1488,1304,0.876344086
96725,2243,1736,0.773963442
96726,382,269,0.704188482
96727,3560,2061,0.578932584
96728,431,278,0.645011601
96729,843,553,0.65599051
96730,974,434,0.445585216
96731,2049,1114,0.543679844
96732,22215,8646,0.389196489
96734,40638,23522,0.578817855
96737,2888,1765,0.611149584
96738,4991,3484,0.698056502
96740,34093,17052,0.500161323
96741,4973,3507,0.705208124
96742,65,24,0.369230769
96743,11138,5910,0.530615909
96744,41709,26345,0.631638256
96746,15695,9358,0.596240841
96747,753,297,0.394422311
96748,2886,1905,0.66008316
96749,13319,7920,0.594639237
96750,2747,1634,0.594830724
96751,103,80,0.776699029
96752,2829,1473,0.520678685
96753,23275,12955,0.5566058
96754,2605,2255,0.865642994
96755,2379,1823,0.766288356
96756,4739,2912,0.614475628
96757,384,322,0.838541667
96759,277,49,0.176895307
96760,2471,1356,0.548765682
96761,17377,9048,0.520688266
96762,4726,1994,0.421921287
96763,2274,1171,0.514951627
96764,522,381,0.729885057
96765,179,321,1
96766,13784,7123,0.516758561
96768,15003,9010,0.600546557
96769,296,170,0.574324324
96770,462,261,0.564935065
96771,6008,3518,0.585552597
96772,2203,1093,0.496141625
96773,107,137,1
96774,281,163,0.580071174
96776,1188,756,0.636363636
96777,1430,541,0.378321678
96778,11775,5735,0.487048832
96779,1930,1324,0.686010363
96780,430,265,0.61627907
96781,950,889,0.935789474
96782,30609,15653,0.51138554
96783,1292,940,0.72755418
96785,3112,1734,0.557197943
96786,30130,9093,0.301792234
96789,41587,26776,0.643855051
96790,7774,5070,0.652173913
96791,5947,1748,0.293929712
96792,34984,13996,0.400068603
96793,25506,14485,0.567905591
96795,7297,4101,0.562011786
96796,1548,810,0.523255814
96797,58454,25362,0.433879632
96813,21094,12313,0.583720489
96814,17594,8829,0.501818802
96815,22496,11712,0.520625889
96816,42289,24666,0.583272246
96817,46698,19331,0.413957771
96818,42221,13683,0.324080434
96819,42004,14123,0.336229883
96821,15431,12051,0.780960404
96822,40045,20221,0.504956923
96825,22990,17953,0.780904741
96826,27089,11099,0.409723504
96850,0,0,NA
96853,606,87,0.143564356
96857,2826,325,0.115003539
96859,102,76,0.745098039
96860,2214,90,0.040650407
96863,47,11,0.234042553
50001,656,465,0.708841463
50002,1114,720,0.646319569
50003,5563,5597,1
50005,732,414,0.56557377
50006,1302,881,0.676651306
50007,361,335,0.927977839
50008,646,423,0.654798762
50009,14177,11631,0.820413346
50010,28403,17827,0.627644967
50011,1313,173,0.13175933
50012,4708,926,0.196686491
50014,26511,15565,0.587114783
50020,1098,750,0.683060109
50021,20374,17804,0.87385884
50022,6528,4340,0.664828431
50023,27928,24783,0.887389
50025,2444,1834,0.750409165
50026,410,302,0.736585366
50027,300,155,0.516666667
50028,1196,963,0.805183946
50029,487,333,0.683778234
50032,288,178,0.618055556
50033,18,31,1
50034,384,266,0.692708333
50035,5478,4717,0.861080686
50036,12902,9229,0.715315455
50038,64,172,1
50039,403,208,0.516129032
50041,51,54,1
50042,212,176,0.830188679
50044,671,437,0.651266766
50046,1262,987,0.782091918
50047,4366,3354,0.768208887
50048,731,487,0.66621067
50049,4947,3288,0.66464524
50050,503,369,0.73359841
50051,229,157,0.68558952
50052,106,66,0.622641509
50054,2368,1939,0.818834459
50055,689,554,0.804063861
50056,1050,802,0.763809524
50057,209,131,0.626794258
50058,1413,1027,0.726822364
50060,1854,1291,0.696332255
50061,1271,1580,1
50062,484,383,0.791322314
50063,1740,1712,0.983908046
50064,152,59,0.388157895
50065,613,258,0.420880914
50066,123,147,1
50067,214,140,0.654205607
50068,279,206,0.738351254
50069,754,543,0.720159151
50070,1093,866,0.79231473
50071,894,487,0.544742729
50072,1789,1667,0.931805478
50073,796,901,1
50074,340,269,0.791176471
50075,673,486,0.722139673
50076,1106,852,0.77034358
50078,152,66,0.434210526
50101,18,36,1
50102,142,51,0.35915493
50103,291,251,0.862542955
50104,69,65,0.942028986
50105,685,882,1
50106,633,561,0.886255924
50107,807,507,0.628252788
50108,342,245,0.716374269
50109,2190,2115,0.965753425
50111,10135,9453,0.932708436
50112,9335,6170,0.660953401
50115,2033,1529,0.752090507
50116,134,146,1
50117,111,109,0.981981982
50118,785,577,0.735031847
50119,292,270,0.924657534
50120,329,187,0.568389058
50122,1030,805,0.781553398
50123,611,450,0.736497545
50124,2866,2775,0.96824843
50125,15830,11958,0.755401137
50126,5315,3401,0.639887112
50127,0,17,1
50128,320,186,0.58125
50129,3870,2956,0.763824289
50130,1034,948,0.916827853
50131,15940,13675,0.857904642
50132,202,218,1
50133,317,272,0.858044164
50134,608,377,0.620065789
50135,1158,1001,0.864421416
50136,319,247,0.774294671
50138,9243,6310,0.682678784
50139,890,744,0.835955056
50140,2436,1220,0.500821018
50141,399,330,0.827067669
50142,720,516,0.716666667
50143,546,369,0.675824176
50144,1862,1322,0.709989259
50146,380,258,0.678947368
50147,326,211,0.647239264
50148,278,228,0.820143885
50149,728,506,0.695054945
50150,753,471,0.625498008
50151,457,424,0.927789934
50153,700,471,0.672857143
50154,345,281,0.814492754
50155,259,156,0.602316602
50156,3825,2739,0.716078431
50157,730,412,0.564383562
50158,23161,13096,0.565433271
50160,338,318,0.940828402
50161,1436,1270,0.884401114
50162,929,681,0.733046286
50163,593,430,0.725126476
50164,349,396,1
50165,75,27,0.36
50166,1239,1001,0.807909605
50167,472,473,1
50168,588,559,0.950680272
50169,2432,1661,0.682976974
50170,2166,1628,0.751615882
50171,1950,1594,0.817435897
50173,689,399,0.579100145
50174,1004,708,0.705179283
50201,6025,4618,0.766473029
50206,401,278,0.693266833
50207,1669,1423,0.852606351
50208,16321,10274,0.629495742
50210,1170,1128,0.964102564
50211,9625,9097,0.945142857
50212,2293,1877,0.818578282
50213,5243,3334,0.63589548
50214,507,563,1
50216,2023,1778,0.878892734
50217,507,332,0.654832347
50218,120,97,0.808333333
50219,10764,8607,0.79960981
50220,6675,3579,0.536179775
50222,462,305,0.66017316
50223,449,266,0.592427617
50225,2041,1769,0.866731994
50226,4208,4472,1
50227,21,19,0.904761905
50228,1991,1479,0.742842793
50229,706,645,0.913597734
50230,843,628,0.744958482
50231,129,100,0.775193798
50232,345,274,0.794202899
50233,1021,784,0.767874633
50234,373,344,0.922252011
50235,294,224,0.761904762
50236,1197,1046,0.873851295
50237,2525,2095,0.82970297
50238,835,623,0.746107784
50239,46,117,1
50240,2260,1632,0.722123894
50242,402,260,0.646766169
50243,163,168,1
50244,1442,1215,0.84257975
50246,542,404,0.745387454
50247,1821,1410,0.774299835
50248,3570,2704,0.757422969
50249,1006,754,0.749502982
50250,1709,1379,0.806904623
50251,1029,824,0.800777454
50252,164,145,0.884146341
50254,179,149,0.832402235
50255,43,33,0.76744186
50256,301,274,0.910299003
50257,779,596,0.76508344
50258,794,528,0.664987406
50261,1845,1821,0.98699187
50262,316,213,0.674050633
50263,17632,15873,0.900238203
50264,328,245,0.74695122
50265,24895,19099,0.767182165
50266,23410,18442,0.787782999
50268,745,422,0.566442953
50271,473,336,0.710359408
50272,110,88,0.8
50273,6273,4964,0.791327913
50274,145,212,1
50275,465,304,0.653763441
50276,1815,1553,0.855647383
50277,228,249,1
50278,607,489,0.805601318
50309,7589,4134,0.544735802
50310,25197,16324,0.647854903
50311,12519,7135,0.569933701
50312,12986,9855,0.758894194
50313,14068,7515,0.534191072
50314,8299,4513,0.543800458
50315,27282,15826,0.580089436
50316,11906,5831,0.489753066
50317,28760,15692,0.545618915
50319,0,0,NA
50320,16164,9826,0.607894086
50321,6057,4256,0.702658082
50322,23937,18848,0.787400259
50323,9497,9834,1
50324,4004,3296,0.823176823
50325,12406,11107,0.8952926
50327,8480,6893,0.812853774
50401,22999,15158,0.659072134
50420,208,196,0.942307692
50421,2225,1582,0.711011236
50423,2083,1546,0.742198752
50424,1132,821,0.725265018
50426,48,34,0.708333333
50428,7541,5774,0.765680944
50430,357,252,0.705882353
50431,163,129,0.791411043
50432,201,132,0.656716418
50433,180,156,0.866666667
50434,314,295,0.939490446
50435,579,360,0.621761658
50436,4456,3185,0.714766607
50438,3099,2326,0.750564698
50439,151,167,1
50440,368,262,0.711956522
50441,3968,2543,0.640877016
50444,273,209,0.765567766
50446,426,338,0.79342723
50447,940,576,0.612765957
50448,595,411,0.690756303
50449,668,403,0.603293413
50450,2208,1630,0.738224638
50451,442,287,0.649321267
50452,740,391,0.528378378
50453,498,321,0.644578313
50454,66,55,0.833333333
50455,396,198,0.5
50456,1375,901,0.655272727
50457,305,203,0.66557377
50458,1695,1110,0.654867257
50459,2281,1799,0.788689171
50460,254,181,0.712598425
50461,4305,3085,0.716608595
50464,445,392,0.880898876
50465,134,139,1
50466,1213,826,0.680956307
50467,66,58,0.878787879
50468,1149,860,0.748476936
50469,1057,912,0.8628193
50470,191,141,0.738219895
50471,508,357,0.702755906
50472,1794,1443,0.804347826
50473,187,162,0.86631016
50475,1226,978,0.79771615
50476,533,423,0.793621013
50477,218,185,0.848623853
50478,529,457,0.86389414
50479,420,347,0.826190476
50480,648,527,0.813271605
50482,702,539,0.767806268
50483,502,463,0.922310757
50484,319,239,0.749216301
50501,22210,12841,0.57816299
50510,817,626,0.76621787
50511,5417,4226,0.780136607
50514,1064,797,0.74906015
50515,145,145,1
50516,456,434,0.951754386
50517,849,588,0.692579505
50518,297,211,0.71043771
50519,455,383,0.841758242
50520,102,70,0.68627451
50521,214,56,0.261682243
50522,724,477,0.658839779
50523,470,349,0.742553191
50524,442,309,0.699095023
50525,2560,1669,0.651953125
50527,196,126,0.642857143
50528,231,203,0.878787879
50529,626,441,0.704472843
50530,854,656,0.768149883
50531,168,129,0.767857143
50532,659,477,0.723823976
50533,2964,1704,0.574898785
50535,733,479,0.653478854
50536,3407,2356,0.691517464
50538,350,274,0.782857143
50539,382,305,0.798429319
50540,822,517,0.628953771
50541,646,444,0.687306502
50542,752,480,0.638297872
50543,1048,819,0.78148855
50544,287,239,0.832752613
50545,123,107,0.869918699
50546,209,168,0.803827751
50548,4362,3281,0.7521779
50551,93,81,0.870967742
50554,1250,817,0.6536
50556,175,160,0.914285714
50557,547,445,0.813528336
50558,478,324,0.677824268
50559,282,188,0.666666667
50560,512,351,0.685546875
50561,382,252,0.659685864
50562,284,297,1
50563,1910,1469,0.769109948
50565,344,231,0.671511628
50566,382,249,0.651832461
50567,212,107,0.504716981
50568,1173,720,0.613810742
50569,594,442,0.744107744
50570,136,144,1
50571,264,218,0.825757576
50573,49,32,0.653061224
50574,1636,1230,0.751833741
50575,621,494,0.795491143
50576,267,208,0.779026217
50577,303,219,0.722772277
50578,515,320,0.621359223
50579,2396,1342,0.560100167
50581,640,478,0.746875
50582,239,129,0.539748954
50583,2034,1480,0.727630285
50585,956,598,0.625523013
50586,193,179,0.92746114
50588,9163,4317,0.471133908
50590,664,521,0.784638554
50591,302,151,0.5
50593,25,32,1
50594,148,164,1
50595,6891,4300,0.624002322
50597,860,734,0.853488372
50598,720,530,0.736111111
50599,314,213,0.678343949
50601,1982,1307,0.659434914
50602,1188,833,0.701178451
50603,378,289,0.764550265
50604,1437,1025,0.71329158
50605,235,91,0.387234043
50606,580,470,0.810344828
50607,303,244,0.805280528
50609,322,254,0.788819876
50611,233,205,0.879828326
50612,295,192,0.650847458
50613,35322,24364,0.689768416
50616,7785,4933,0.633654464
50619,1791,1220,0.681183696
50620,36,27,0.75
50621,1226,867,0.707177814
50622,2330,2087,0.895708155
50624,1163,1033,0.88822012
50625,869,514,0.591484465
50626,1313,1008,0.76770754
50627,2492,1654,0.663723917
50628,961,673,0.700312175
50629,1905,1094,0.574278215
50630,1303,929,0.712970069
50632,818,624,0.762836186
50633,306,197,0.64379085
50634,693,489,0.705627706
50635,1200,913,0.760833333
50636,1368,1074,0.785087719
50638,2562,1930,0.753317721
50641,1036,640,0.617760618
50642,402,330,0.820895522
50643,2110,1890,0.895734597
50644,6789,4812,0.708793637
50645,839,604,0.719904648
50647,1640,1304,0.795121951
50648,2919,2244,0.768756423
50650,636,370,0.581761006
50651,2795,2113,0.755992844
50652,68,73,1
50653,471,346,0.734607219
50654,406,305,0.751231527
50655,594,428,0.720538721
50658,1847,1277,0.691391446
50659,4277,3022,0.706570026
50660,951,758,0.797055731
50662,5225,3165,0.605741627
50664,35,32,0.914285714
50665,2081,1658,0.79673234
50666,763,601,0.78768021
50667,559,474,0.847942755
50668,870,706,0.811494253
50669,1781,1418,0.79618192
50670,1725,1110,0.643478261
50671,133,136,1
50672,429,322,0.750582751
50673,135,131,0.97037037
50674,2879,1973,0.685307398
50675,1848,1324,0.716450216
50676,1623,1134,0.6987061
50677,10014,7293,0.728280407
50680,882,679,0.76984127
50681,358,241,0.673184358
50682,1398,885,0.63304721
50701,24197,15735,0.650287226
50702,15091,8863,0.587303691
50703,14485,7350,0.50742147
50707,6509,3806,0.584728837
50801,7387,4665,0.631514823
50830,1338,908,0.678624813
50833,1796,1288,0.71714922
50835,65,45,0.692307692
50836,221,221,1
50837,274,200,0.729927007
50839,40,20,0.5
50840,432,259,0.599537037
50841,2014,1490,0.739821251
50842,70,59,0.842857143
50843,338,305,0.902366864
50845,585,413,0.705982906
50846,719,601,0.835883171
50847,60,53,0.883333333
50848,268,186,0.694029851
50849,1983,1495,0.75390822
50851,1476,1002,0.678861789
50853,524,405,0.772900763
50854,2050,1211,0.590731707
50857,164,148,0.902439024
50858,559,418,0.747763864
50859,468,313,0.668803419
50860,120,234,1
50861,182,145,0.796703297
50862,131,69,0.526717557
50863,156,147,0.942307692
50864,1434,1043,0.727336123
51001,1665,1161,0.697297297
51002,2020,1404,0.695049505
51003,1303,1000,0.767459708
51004,772,534,0.691709845
51005,1110,863,0.777477477
51006,772,597,0.773316062
51007,392,426,1
51008,119,87,0.731092437
51009,121,91,0.752066116
51010,298,235,0.788590604
51011,49,36,0.734693878
51012,4810,3396,0.706029106
51014,322,305,0.947204969
51016,1012,655,0.647233202
51018,276,223,0.807971014
51019,676,423,0.625739645
51020,556,317,0.570143885
51022,489,451,0.922290389
51023,2214,1441,0.650858175
51024,1533,1283,0.83692107
51025,1486,1119,0.753028264
51026,655,498,0.760305344
51027,836,719,0.860047847
51028,1681,1196,0.711481261
51029,251,149,0.593625498
51030,1415,1038,0.733568905
51031,8998,6704,0.745054457
51033,283,231,0.816254417
51034,1364,945,0.692815249
51035,1321,975,0.738077214
51036,681,419,0.615271659
51037,273,188,0.688644689
51038,1415,897,0.633922261
51039,1936,1480,0.76446281
51040,2892,1808,0.625172891
51041,5646,3978,0.704569607
51044,206,129,0.626213592
51046,1222,891,0.72913257
51047,533,401,0.752345216
51048,448,280,0.625
51049,431,278,0.645011601
51050,1990,1500,0.753768844
51051,70,47,0.671428571
51052,612,581,0.949346405
51053,797,585,0.734002509
51054,3739,3170,0.847820273
51055,1160,783,0.675
51056,377,244,0.647214854
51058,659,563,0.854324734
51060,433,331,0.76443418
51061,339,281,0.828908555
51062,259,314,1
51063,821,568,0.69183922
51101,769,156,0.202860858
51103,11688,5383,0.460557837
51104,16688,10121,0.606483701
51105,7466,2880,0.385748728
51106,20502,13277,0.647595357
51108,3915,2770,0.707535121
51109,2442,1461,0.598280098
51111,58,88,1
51201,4562,3253,0.713064445
51230,213,272,1
51231,249,158,0.634538153
51232,583,464,0.795883362
51234,938,697,0.743070362
51235,942,668,0.709129512
51237,1342,991,0.738450075
51238,902,712,0.789356984
51239,2270,1871,0.824229075
51240,1405,1071,0.76227758
51241,1307,1073,0.82096404
51242,146,133,0.910958904
51243,531,484,0.911487759
51244,81,43,0.530864198
51245,978,696,0.711656442
51246,2618,2176,0.831168831
51247,3357,2883,0.858802502
51248,1478,969,0.655615697
51249,2467,1817,0.736522092
51250,6420,4629,0.721028037
51301,9460,6726,0.710993658
51331,941,835,0.887353879
51333,370,286,0.772972973
51334,5500,3462,0.629454545
51338,782,536,0.685421995
51341,28,27,0.964285714
51342,1000,639,0.639
51343,276,133,0.481884058
51345,311,209,0.672025723
51346,1731,1263,0.729636049
51347,1164,878,0.754295533
51350,369,231,0.62601626
51351,3431,2901,0.845526086
51354,825,565,0.684848485
51355,786,643,0.818066158
51357,440,392,0.890909091
51358,1028,676,0.657587549
51360,6872,5498,0.800058207
51363,161,71,0.440993789
51364,597,355,0.594639866
51365,266,238,0.894736842
51366,295,221,0.749152542
51401,9252,6613,0.714764375
51430,599,425,0.70951586
51431,336,232,0.69047619
51433,338,328,0.970414201
51436,588,522,0.887755102
51439,789,524,0.664131812
51440,248,234,0.943548387
51441,281,175,0.622775801
51442,7111,3497,0.491773309
51443,1215,968,0.796707819
51444,192,140,0.729166667
51445,2090,1515,0.724880383
51446,443,308,0.695259594
51447,246,137,0.556910569
51448,414,304,0.734299517
51449,1619,1052,0.649783817
51450,1298,1005,0.774268105
51451,106,63,0.594339623
51453,493,382,0.77484787
51454,1171,739,0.631084543
51455,1746,1305,0.74742268
51458,1075,792,0.736744186
51459,43,40,0.930232558
51461,832,555,0.667067308
51462,813,582,0.715867159
51463,393,333,0.847328244
51465,639,371,0.580594679
51466,807,580,0.718711276
51467,458,318,0.694323144
51501,26877,13127,0.488410165
51503,28890,20437,0.707407407
51510,2709,1647,0.607973422
51520,176,117,0.664772727
51521,1323,1197,0.904761905
51523,278,210,0.755395683
51525,859,690,0.803259604
51526,1262,1072,0.849445325
51527,357,290,0.81232493
51528,567,476,0.839506173
51529,1383,894,0.646420824
51530,552,464,0.84057971
51531,601,500,0.831946755
51532,534,365,0.683520599
51533,819,480,0.586080586
51534,7193,5003,0.695537328
51535,1316,1075,0.816869301
51536,291,269,0.924398625
51537,5174,3636,0.702744492
51540,317,239,0.753943218
51541,357,209,0.585434174
51542,856,634,0.740654206
51543,369,255,0.691056911
51544,487,388,0.796714579
51545,221,171,0.773755656
51546,2062,1652,0.801163919
51548,369,282,0.764227642
51549,422,272,0.644549763
51550,136,117,0.860294118
51551,1347,1044,0.775055679
51552,231,144,0.623376623
51553,822,593,0.721411192
51554,197,121,0.614213198
51555,3805,2852,0.749540079
51556,384,252,0.65625
51557,730,437,0.598630137
51558,319,299,0.937304075
51559,1275,1143,0.896470588
51560,1551,1131,0.729206963
51561,813,667,0.820418204
51562,332,246,0.740963855
51563,563,425,0.754884547
51564,292,265,0.907534247
51565,299,313,1
51566,4960,3358,0.677016129
51570,784,644,0.821428571
51571,412,401,0.973300971
51572,360,206,0.572222222
51573,845,589,0.69704142
51575,1127,1065,0.94498669
51576,1454,1365,0.938789546
51577,915,640,0.699453552
51578,57,43,0.754385965
51579,1689,1297,0.767910006
51601,4500,2896,0.643555556
51630,147,102,0.693877551
51631,249,180,0.722891566
51632,5573,3194,0.573120402
51636,390,239,0.612820513
51637,168,126,0.75
51638,953,675,0.708289612
51639,608,470,0.773026316
51640,1220,751,0.61557377
51645,218,153,0.701834862
51646,668,441,0.660179641
51647,125,83,0.664
51648,199,138,0.693467337
51649,261,173,0.662835249
51650,226,200,0.884955752
51652,1291,965,0.747482572
51653,1191,722,0.606213266
51654,255,274,1
51656,37,42,1
52001,34322,20626,0.600955655
52002,12707,10206,0.80317935
52003,10439,8695,0.832934189
52030,319,248,0.777429467
52031,3991,3364,0.842896517
52032,1182,889,0.752115059
52033,2386,1999,0.837803856
52035,742,508,0.684636119
52037,800,685,0.85625
52038,399,281,0.704260652
52039,700,824,1
52040,4519,3322,0.735118389
52041,1212,906,0.747524752
52042,1113,926,0.831985624
52043,1879,1326,0.705694518
52044,98,60,0.612244898
52045,1843,1469,0.797069995
52046,1770,1308,0.738983051
52047,514,319,0.620622568
52048,299,129,0.431438127
52049,1145,722,0.630567686
52050,348,259,0.744252874
52052,2596,1785,0.687596302
52053,753,711,0.944223108
52054,680,553,0.813235294
52057,5964,4663,0.781857814
52060,6408,4374,0.68258427
52064,703,463,0.658605974
52065,859,686,0.798603027
52066,50,50,1
52068,3261,2925,0.896964121
52069,1101,917,0.832879201
52070,813,615,0.756457565
52072,201,208,1
52073,1067,933,0.874414246
52074,288,176,0.611111111
52076,1808,1208,0.668141593
52077,268,227,0.847014925
52078,590,573,0.971186441
52079,622,480,0.77170418
