zcta,adult_population,presidential_votes,voter_percent_of_population
99739,154,152,0.987012987
99740,388,294,0.757731959
99741,352,216,0.613636364
99742,394,267,0.677664975
99743,806,648,0.803970223
99744,91,119,1
99745,63,64,1
99746,211,111,0.526066351
99747,118,104,0.881355932
99748,168,75,0.446428571
99749,188,116,0.617021277
99750,434,69,0.158986175
99751,66,65,0.984848485
99752,2397,856,0.357113058
99753,181,132,0.729281768
99754,55,62,1
99755,859,158,0.183934808
99756,39,86,1
99757,23,6,0.260869565
99758,115,90,0.782608696
99759,119,86,0.722689076
99760,373,580,1
99761,272,157,0.577205882
99762,3028,1223,0.403896962
99763,377,165,0.437665782
99764,265,158,0.596226415
99765,185,116,0.627027027
99766,381,258,0.677165354
99767,25,4,0.16
99768,105,76,0.723809524
99769,573,292,0.509598604
99770,426,131,0.307511737
99771,182,106,0.582417582
99772,301,264,0.877076412
99773,177,88,0.497175141
99774,14,15,1
99775,1123,97,0.086375779
99776,124,51,0.411290323
99777,165,181,1
99778,162,78,0.481481481
99780,1349,966,0.71608599
99781,95,63,0.663157895
99782,312,240,0.769230769
99783,107,38,0.355140187
99784,114,92,0.807017544
99785,226,144,0.637168142
99786,182,77,0.423076923
99788,89,35,0.393258427
99789,319,104,0.326018809
99790,20,11,0.55
99791,98,86,0.87755102
99801,23479,15714,0.66927893
99820,444,502,1
99824,1804,1520,0.842572062
99825,55,70,1
99826,402,736,1
99827,1939,2786,1
99829,652,682,1
99830,450,532,1
99832,87,53,0.609195402
99833,2608,1596,0.61196319
99835,6763,4016,0.593819311
99836,62,46,0.741935484
99840,948,955,1
99841,114,99,0.868421053
99901,10789,6721,0.6229493
99903,0,17,1
99918,179,129,0.720670391
99919,492,381,0.774390244
99921,1551,1168,0.75306254
99922,243,177,0.728395062
99923,14,49,1
99925,705,829,1
99926,1188,1054,0.887205387
99927,0,50,1
99929,2034,1255,0.617010816
30165,NA,35,NA
31905,NA,4,NA
35004,8990,5886,0.654727475
35005,5583,3682,0.65950206
35006,2296,1639,0.713850174
35007,19328,13179,0.681860513
35010,16046,9576,0.596784245
35013,46,51,1
35014,4069,2018,0.49594495
35016,13022,8361,0.642067271
35019,1948,1188,0.609856263
35020,20253,10703,0.528464919
35022,17722,11039,0.622898093
35023,18285,12003,0.656439705
35031,6142,3528,0.574405731
35032,32,33,1
35033,2161,2051,0.94909764
35034,5035,1620,0.321747766
35035,776,682,0.878865979
35036,135,139,1
35040,12221,8408,0.687996072
35042,4956,2707,0.546206618
35043,8476,6479,0.764393582
35044,5616,3537,0.629807692
35045,11681,6432,0.550637788
35046,3814,2447,0.641583639
35049,2916,2027,0.695130316
35051,7685,4296,0.559011061
35052,283,110,0.38869258
35053,1968,1649,0.837906504
35054,3681,2487,0.675631622
35055,16173,9826,0.607555803
35057,10697,6807,0.636346639
35058,6937,5171,0.745423094
35060,208,185,0.889423077
35061,911,731,0.802414929
35062,6113,4396,0.71912318
35063,2859,1702,0.595313047
35064,8840,4874,0.551357466
35068,6395,3747,0.585926505
35070,201,138,0.686567164
35071,12253,9735,0.794499306
35072,3415,2480,0.726207906
35073,1661,1118,0.673088501
35074,99,44,0.444444444
35077,11121,6174,0.555165902
35078,1532,1235,0.80613577
35079,6890,4609,0.668940493
35080,13175,11062,0.839620493
35082,0,4,1
35083,2404,1769,0.735856905
35085,6744,3899,0.578143535
35087,2071,1067,0.515210043
35089,1708,1030,0.603044496
