"STCNTY","Num_Alt_Services","Num_Mainstream_Services","Financial_Accessibility_County"
"18013",0,1,1
"18051",8,4,-4
"18077",0,4,4
"18079",3,1,-2
"18089",89,39,-50
"18091",19,16,-3
"18101",0,3,3
"18127",25,15,-10
"18137",3,1,-2
"19005",0,3,3
"20025",0,0,-1791
"20027",0,1,1
"20051",3,3,0
"20061",5,2,-3
"20161",10,2,-8
"21007",0,2,2
"21015",42,6,-36
"21019",19,8,-11
"21023",0,0,-1791
"21027",0,1,1
"21029",9,5,-4
"21037",14,2,-12
"21039",0,1,1
"21041",0,1,1
"21047",22,5,-17
"21055",0,1,1
"21059",35,9,-26
"21075",0,2,2
"21077",0,2,2
"21089",0,4,4
"21091",0,2,2
"21093",27,10,-17
"21101",10,4,-6
"21105",0,2,2
"21111",208,62,-146
"21117",28,5,-23
"21135",0,2,2
"21139",0,1,1
"21143",0,2,2
"21145",22,11,-11
"21161",9,2,-7
"21163",0,2,2
"21185",7,2,-5
"21191",0,0,-1791
"21221",0,2,2
"21223",0,1,1
"21225",0,1,1
"22005",31,11,-20
"22007",0,0,-1791
"22023",0,0,-1791
"22029",6,1,-5
"22045",26,4,-22
"22047",7,7,0
"22051",141,40,-101
"22057",31,3,-28
"22063",29,9,-20
"22065",3,3,0
"22071",63,34,-29
"22075",3,2,-1
"22077",0,1,1
"22087",10,2,-8
"22089",3,6,3
"22093",5,4,-1
"22095",12,3,-9
"22099",14,1,-13
"22101",18,4,-14
"22103",84,21,-63
"22105",61,9,-52
"22107",0,2,2
"22109",39,5,-34
"22113",19,1,-18
"22117",19,7,-12
"22125",0,3,3
"23003",11,19,8
"23005",69,55,-14
"23009",3,5,2
"23013",5,2,-3
"23015",3,1,-2
"23021",0,5,5
"23023",3,7,4
"23025",3,7,4
"23029",0,3,3
"23031",21,21,0
"24003",83,33,-50
"24005",162,40,-122
"24009",9,2,-7
"24015",4,7,3
"24017",30,6,-24
"24019",4,1,-3
"24025",28,20,-8
"24029",0,3,3
"24033",156,43,-113
"24035",0,4,4
"24037",8,6,-2
"24039",0,2,2
"24041",12,5,-7
"24047",4,1,-3
"25001",24,5,-19
"25003",9,15,6
"25005",87,58,-29
"25007",3,4,1
"25009",112,60,-52
"25019",0,4,4
"25021",94,32,-62
"25023",73,24,-49
"25025",132,57,-75
"25027",106,85,-21
"26001",0,4,4
"26003",0,3,3
"26005",6,8,2
"26007",0,11,11
"26009",0,2,2
"26011",0,3,3
"26013",0,1,1
"26017",18,23,5
"26019",0,1,1
"26021",21,34,13
"26029",0,3,3
"26031",0,5,5
"26033",0,12,12
"26039",0,2,2
"26041",4,9,5
"26047",3,8,5
"26053",0,2,2
"26055",9,19,10
"26061",4,2,-2
"26063",5,5,0
"26069",0,7,7
"26079",0,2,2
"26083",0,0,-1791
"26089",0,1,1
"26095",0,1,1
"26097",0,4,4
"26099",128,72,-56
"26101",0,5,5
"26103",0,13,13
"26105",0,3,3
"26109",0,6,6
"26113",0,2,2
"26115",11,8,-3
"26119",0,3,3
"26121",29,28,-1
"26127",0,1,1
"26131",0,2,2
"26135",0,3,3
"26139",27,30,3
"26141",0,4,4
"26143",0,4,4
"26147",27,10,-17
"26151",4,2,-2
"26153",3,3,0
"26157",4,9,5
"26159",0,14,14
"26163",260,129,-131
"27007",5,3,-2
"27031",0,3,3
"27075",0,3,3
"27077",0,1,1
"27137",31,47,16
"28027",7,1,-6
"28045",14,4,-10
"28047",86,26,-60
"28055",0,1,1
"28059",46,19,-27
"28143",3,2,-1
"28151",14,3,-11
"30003",0,1,1
"30005",0,1,1
"30029",21,9,-12
"30053",0,4,4
"30073",0,1,1
"30087",0,1,1
"32001",6,3,-3
"32003",620,76,-544
"32005",9,3,-6
"32007",6,8,2
"32009",0,0,-1791
"32011",0,0,-1791
"32013",0,1,1
"32015",0,1,1
"32017",0,2,2
"32019",10,5,-5
"32021",0,1,1
"32023",3,2,-1
"32027",0,0,-1791
"32029",0,0,-1791
"32031",130,30,-100
"32033",0,1,1
"32510",21,5,-16
"33015",67,27,-40
"34001",47,10,-37
"34005",65,18,-47
"34009",11,2,-9
"34011",30,9,-21
"34023",102,30,-72
"34025",82,18,-64
"34029",69,9,-60
"34033",3,4,1
"35001",181,55,-126
"35003",0,0,-1791
"35006",8,2,-6
"35007",3,2,-1
"35013",60,9,-51
"35015",20,8,-12
"35017",5,2,-3
"35019",0,2,2
"35025",19,3,-16
"35027",8,1,-7
"35028",0,4,4
"35029",6,2,-4
"35031",53,4,-49
"35033",0,2,2
"35035",14,5,-9
"35039",8,4,-4
"35043",26,12,-14
"35045",55,7,-48
"35047",10,2,-8
"35049",28,19,-9
"35051",0,1,1
"35053",4,1,-3
"35055",4,4,0
"35057",0,2,2
"35061",10,5,-5
"36005",278,7,-271
"36011",10,6,-4
"36013",17,30,13
"36019",6,17,11
"36021",4,2,-2
"36023",7,6,-1
"36027",33,22,-11
"36029",166,96,-70
"36031",0,6,6
"36033",0,4,4
"36035",11,4,-7
"36041",0,0,-1791
"36045",12,13,1
"36047",405,27,-378
"36049",0,3,3
"36055",104,75,-29
"36059",314,67,-247
"36061",576,45,-531
"36063",26,29,3
"36065",22,30,8
"36067",61,57,-4
"36069",8,9,1
"36071",55,22,-33
"36073",0,4,4
"36075",19,16,-3
"36079",5,3,-2
"36081",398,38,-360
"36085",78,6,-72
"36087",55,10,-45
"36091",34,19,-15
"36097",0,1,1
"36099",4,2,-2
"36101",16,19,3
"36103",255,73,-182
"36109",12,11,-1
"36111",17,15,-2
"36113",6,6,0
"36117",9,4,-5
"36119",171,32,-139
"36123",0,1,1
"37015",0,2,2
"37019",15,6,-9
"37029",0,1,1
"37031",7,3,-4
"37041",0,1,1
"37053",0,3,3
"37055",0,2,2
"37095",0,1,1
"37129",64,14,-50
"37133",21,17,-4
"37137",0,1,1
"37139",15,4,-11
"37141",0,2,2
"37143",0,1,1
"37177",0,1,1
"37187",0,2,2
"39007",14,9,-5
"39035",260,78,-182
"39043",15,5,-10
"39085",40,20,-20
"39093",59,20,-39
"39095",86,54,-32
"39123",0,5,5
"39133",21,2,-19
"40003",0,2,2
"40031",44,11,-33
"40089",13,6,-7
"40105",0,2,2
"40121",22,2,-20
"40127",3,3,0
"40131",15,5,-10
"41001",0,2,2
"41005",83,32,-51
"41007",5,5,0
"41009",3,11,8
"41011",4,8,4
"41013",0,2,2
"41015",0,3,3
"41017",36,17,-19
"41019",14,12,-2
"41023",0,3,3
"41025",0,2,2
"41027",4,2,-2
"41029",48,12,-36
"41031",0,1,1
"41033",7,6,-1
"41035",4,8,4
"41037",0,3,3
"41039",67,41,-26
"41041",3,4,1
"41043",16,14,-2
"41045",0,4,4
"41047",55,28,-27
"41049",0,1,1
"41051",173,65,-108
"41053",7,7,0
"41057",0,1,1
"41059",10,9,-1
"41061",0,3,3
"41063",0,2,2
"41065",0,2,2
"41067",122,38,-84
"41069",0,1,1
"41071",14,4,-10
"42049",51,41,-10
"42055",24,13,-11
"44005",5,5,0
"44009",8,11,3
"45003",62,13,-49
"45011",10,2,-8
"45013",33,7,-26
"45019",151,26,-125
"45029",20,1,-19
"45043",20,5,-15
"45051",130,8,-122
"45053",6,3,-3
"47013",10,3,-7
"47025",9,1,-8
"47035",19,2,-17
"47125",60,11,-49
"47137",0,2,2
"47139",0,1,1
"47151",0,1,1
"47157",278,84,-194
"47161",0,1,1
"47173",0,2,2
"47175",0,0,-1791
"47185",3,1,-2
"48003",6,3,-3
"48007",3,1,-2
"48011",0,1,1
"48017",0,0,-1791
"48023",0,3,3
"48027",102,20,-82
"48029",576,120,-456
"48033",0,0,-1791
"48037",46,21,-25
"48039",87,28,-59
"48043",0,2,2
"48045",0,1,1
"48047",0,1,1
"48057",8,2,-6
"48059",0,0,-1791
"48061",196,16,-180
"48065",0,1,1
"48071",3,5,2
"48075",5,1,-4
"48079",0,1,1
"48081",0,0,-1791
"48087",0,0,-1791
"48095",0,1,1
"48099",22,4,-18
"48101",0,0,-1791
"48103",0,1,1
"48105",0,1,1
"48107",0,1,1
"48109",0,1,1
"48111",0,2,2
"48115",5,1,-4
"48117",5,1,-4
"48125",0,0,-1791
"48127",5,1,-4
"48129",0,1,1
"48131",0,1,1
"48135",63,21,-42
"48141",399,69,-330
"48153",0,2,2
"48155",0,0,-1791
"48165",8,2,-6
"48167",86,37,-49
"48169",0,0,-1791
"48173",0,1,1
"48179",5,8,3
"48181",42,4,-38
"48189",13,3,-10
"48191",0,0,-1791
"48197",0,1,1
"48201",1295,236,-1059
"48205",0,1,1
"48207",0,3,3
"48211",0,1,1
"48215",377,22,-355
"48219",6,1,-5
"48227",17,5,-12
"48229",0,0,-1791
"48233",5,8,3
"48235",0,0,-1791
"48243",0,1,1
"48245",81,48,-33
"48247",0,2,2
"48249",22,4,-18
"48253",0,1,1
"48261",0,0,-1791
"48263",0,0,-1791
"48269",0,0,-1791
"48271",0,0,-1791
"48273",22,5,-17
"48275",0,1,1
"48279",0,1,1
"48283",0,1,1
"48295",0,2,2
"48301",0,0,-1791
"48305",0,1,1
"48311",0,0,-1791
"48317",0,2,2
"48321",6,6,0
"48323",33,1,-32
"48329",54,18,-36
"48335",0,1,1
"48341",10,3,-7
"48345",0,0,-1791
"48353",13,1,-12
"48355",152,35,-117
"48359",0,0,-1791
"48361",22,17,-5
"48371",5,1,-4
"48375",40,18,-22
"48377",0,2,2
"48383",0,0,-1791
"48389",0,2,2
"48391",0,1,1
"48393",0,0,-1791
"48399",0,1,1
"48407",0,2,2
"48409",24,10,-14
"48413",0,0,-1791
"48415",5,1,-4
"48417",0,1,1
"48421",0,1,1
"48427",37,2,-35
"48431",0,1,1
"48433",0,1,1
"48435",0,0,-1791
"48437",0,1,1
"48443",0,0,-1791
"48445",5,1,-4
"48447",0,1,1
"48451",43,16,-27
"48461",0,1,1
"48463",15,1,-14
"48465",21,5,-16
"48475",3,3,0
"48479",118,6,-112
"48483",0,2,2
"48485",36,14,-22
"48487",6,2,-4
"48489",9,1,-8
"48495",0,3,3
"48501",0,3,3
"48505",5,0,-5
"48507",0,1,1
"49001",0,1,1
"49003",8,8,0
"49005",31,18,-13
"49007",4,6,2
"49009",0,0,-1791
"49011",72,47,-25
"49013",0,5,5
"49015",0,5,5
"49017",0,3,3
"49019",0,3,3
"49021",9,4,-5
"49023",0,3,3
"49025",0,1,1
"49027",0,2,2
"49029",0,3,3
"49031",0,1,1
"49033",0,1,1
"49035",359,200,-159
"49037",4,5,1
"49039",0,9,9
"49041",0,2,2
"49043",7,2,-5
"49045",7,8,1
"49047",3,5,2
"49049",109,75,-34
"49051",6,3,-3
"49053",35,24,-11
"49055",0,0,-1791
"49057",63,46,-17
"51001",0,2,2
"51103",0,5,5
"51115",0,0,-1791
"51119",0,4,4
"51131",0,2,2
"51133",0,0,-1791
"51199",13,8,-5
"51650",34,13,-21
"51710",64,25,-39
"51735",0,1,1
"51810",116,39,-77
"53007",15,2,-13
"53009",6,1,-5
"53015",20,19,-1
"53027",3,11,8
"53029",6,3,-3
"53031",3,2,-1
"53033",393,120,-273
"53035",27,20,-7
"53037",0,3,3
"53039",0,2,2
"53041",9,6,-3
"53045",4,6,2
"53047",4,4,0
"53049",0,3,3
"53053",140,73,-67
"53055",0,5,5
"53057",18,7,-11
"53059",0,1,1
"53061",118,38,-80
"53067",32,35,3
"53069",0,0,-1791
"53073",27,25,-2
"53077",29,19,-10
"55003",3,3,0
"55007",0,1,1
"55009",42,32,-10
"55015",5,11,6
"55023",0,1,1
"55025",92,70,-22
"55029",0,2,2
"55031",8,6,-2
"55039",14,9,-5
"55051",0,2,2
"55057",0,1,1
"55059",17,11,-6
"55061",0,1,1
"55063",21,25,4
"55071",10,16,6
"55075",4,7,3
"55078",0,0,-1791
"55079",181,61,-120
"55083",0,6,6
"55089",6,5,-1
"55101",39,16,-23
"55117",21,16,-5
"55121",0,4,4
"55123",0,3,3
"55137",3,2,-1
"55139",26,33,7
"56001",3,7,4
"56003",0,1,1
"56005",4,3,-1
"56007",0,1,1
"56009",0,2,2
"56011",0,1,1
"56013",6,4,-2
"56017",0,0,-1791
"56019",4,3,-1
"56021",19,19,0
"56023",0,1,1
"56025",18,8,-10
"56027",0,0,-1791
"56029",0,7,7
"56031",0,1,1
"56033",6,4,-2
"56035",0,1,1
"56037",0,5,5
"56039",3,6,3
"56041",0,3,3
"56043",0,1,1
"56045",0,1,1
"60010",0,1,1
"60020",0,0,-1791
"60030",0,0,-1791
"60040",0,0,-1791
"60050",0,0,-1791
"66010",0,7,7
"69085",0,0,-1791
"69100",0,0,-1791
"69110",9,1,-8
"69120",0,0,-1791
"72003",0,1,1
"72005",10,3,-7
"72011",0,1,1
"72013",5,1,-4
"72015",0,0,-1791
"72017",0,1,1
"72023",0,1,1
"72027",0,0,-1791
"72031",10,3,-7
"72037",0,0,-1791
"72049",0,0,-1791
"72051",0,1,1
"72053",0,1,1
"72055",0,0,-1791
"72057",3,0,-3
"72059",0,0,-1791
"72065",0,2,2
"72069",0,2,2
"72071",0,0,-1791
"72075",0,0,-1791
"72079",0,0,-1791
"72087",0,0,-1791
"72089",0,0,-1791
"72091",0,1,1
"72095",0,0,-1791
"72097",6,1,-5
"72103",0,0,-1791
"72109",0,0,-1791
"72111",0,2,2
"72113",14,5,-9
"72115",0,0,-1791
"72117",0,0,-1791
"72119",0,1,1
"72123",0,0,-1791
"72127",85,21,-64
"72133",0,0,-1791
"72137",3,1,-2
"72143",0,0,-1791
"72145",0,1,1
"72147",0,0,-1791
"72151",0,0,-1791
"78010",0,5,5
"78020",0,0,-1791
"78030",0,4,4
"72001",0,1,1
"72141",0,0,-1791
"72099",0,0,-1791
"72093",0,0,-1791
"72121",0,0,-1791
"72153",0,2,2
