"ZCTA","third_spaces_total","population","thirdspaces_pop"
"01247",69,15340,449.80443285528
"01253",0,789,0
"01254",0,961,0
"01255",0,891,0
"01256",0,701,0
"01257",9,1858,484.391819160388
"01258",3,604,496.688741721854
"01259",3,617,486.223662884927
"01260",0,191,0
"01262",23,1136,2024.64788732394
"01264",0,214,0
"01266",0,1281,0
"01267",53,7796,679.835813237558
"01270",0,897,0
"01301",116,17611,658.679234569303
"01330",4,1594,250.941028858218
"01331",44,13609,323.315453009038
"01337",11,2442,450.45045045045
"01338",0,150,0
"01339",3,1410,212.765957446809
"01340",3,1780,168.539325842697
"01341",0,1796,0
"01342",0,1165,0
"01343",0,78,0
"01344",3,1343,223.380491437081
"01346",0,544,0
"01347",0,139,0
"01349",0,1267,0
"01350",0,100,0
"01351",0,2577,0
"01354",3,1732,173.210161662818
"01355",0,981,0
"01360",3,2973,100.908173562059
"01364",27,7721,349.695635280404
"01366",4,1155,346.320346320346
"01367",0,519,0
"01368",0,1451,0
"01370",24,3727,643.949557284679
"01373",22,4866,452.116728318948
"01375",13,3643,356.848751029371
"01376",13,4630,280.777537796976
"01378",0,738,0
"01379",0,835,0
"01380",,,
"01420",141,40576,347.496056782334
"01430",9,6320,142.405063291139
"01431",3,3211,93.4288383681096
"01432",31,7760,399.484536082474
"01434",3,2007,149.476831091181
"01436",8,3538,226.116449971735
"01438",0,512,0
"01440",84,20605,407.668041737442
"01450",31,11322,273.803214979686
"01451",11,4576,240.384615384615
"01452",0,4758,0
"01453",213,41654,511.355452057426
"01460",43,10152,423.561859732072
"01462",29,11530,251.517779705117
"01463",18,12113,148.600676958639
"01464",12,7616,157.563025210084
"01468",9,4065,221.40221402214
"01469",24,7812,307.219662058372
"01473",18,7874,228.600457200914
"01474",0,1685,0
"01475",21,10831,193.887914320007
"01501",85,16627,511.216695735851
"01503",8,3312,241.545893719807
"01504",21,9249,227.051573143042
"01505",14,4666,300.042863266181
"01506",4,3439,116.312881651643
"01507",34,13610,249.816311535636
"01510",57,13940,408.895265423243
