"ZCTA","policeviolence_harmonicmean_pop","policeviolence_harmonicmean_black"
"01540",1.44286491920008e-06,0
"01541",1.44286491920008e-06,0
"01542",1.44286491920008e-06,0
"01543",1.44286491920008e-06,0
"01545",1.44286491920008e-06,0
"01550",1.44286491920008e-06,0
"01560",1.44286491920008e-06,0
"01561",1.44286491920008e-06,0
"01562",4.58783166029202e-06,0
"01564",1.44286491920008e-06,0
"01566",1.44286491920008e-06,0
"01568",1.44286491920008e-06,0
"01569",1.44286491920008e-06,0
"01570",1.44286491920008e-06,0
"01571",1.44286491920008e-06,0
"01581",4.06349383183014e-06,0
"01583",1.44286491920008e-06,0
"01585",1.44286491920008e-06,0
"01588",1.44286491920008e-06,0
"01590",1.44286491920008e-06,0
"01602",1.44286491920008e-06,0
"01603",1.44286491920008e-06,0
"01604",3.15920687611565e-06,0
"01605",1.44286491920008e-06,0
"01606",1.44286491920008e-06,0
"01607",1.44286491920008e-06,0
"01608",1.44286491920008e-06,0
"01609",1.44286491920008e-06,0
"01610",1.44286491920008e-06,0
"01611",1.44286491920008e-06,0
"01612",1.44286491920008e-06,0
"01701",4.11621882193187e-07,0
"01702",4.11621882193187e-07,0
"01718",4.11621882193187e-07,0
"01719",4.11621882193187e-07,0
"01720",4.11621882193187e-07,0
"01721",4.11621882193187e-07,0
"01730",4.11621882193187e-07,0
"01731",4.11621882193187e-07,0
"01740",1.44286491920008e-06,0
"01741",4.11621882193187e-07,0
"01742",4.11621882193187e-07,0
"01745",1.44286491920008e-06,0
"01746",4.11621882193187e-07,0
"01747",1.44286491920008e-06,0
"01748",4.11621882193187e-07,0
"01749",4.11621882193187e-07,0
"01752",4.11621882193187e-07,0
"01754",4.11621882193187e-07,0
"01756",1.44286491920008e-06,0
"01757",3.53959568654575e-06,0
"01760",4.11621882193187e-07,0
"01770",4.11621882193187e-07,0
"01772",1.44286491920008e-06,0
"01773",4.11621882193187e-07,0
"01775",4.11621882193187e-07,0
"01776",4.11621882193187e-07,0
"01778",4.11621882193187e-07,0
"01801",4.11621882193187e-07,0
"01803",4.11621882193187e-07,0
"01810",7.62265363472621e-07,0
"01821",4.11621882193187e-07,0
"01824",4.11621882193187e-07,0
"01826",5.27318760439475e-07,0
"01827",4.11621882193187e-07,0
"01830",7.62265363472621e-07,0
"01832",7.62265363472621e-07,0
"01833",7.62265363472621e-07,0
"01834",7.62265363472621e-07,0
"01835",7.62265363472621e-07,0
"01840",7.62265363472621e-07,0
"01841",7.62265363472621e-07,0
"01843",7.62265363472621e-07,0
"01844",7.62265363472621e-07,0
"01845",7.62265363472621e-07,0
"01850",4.11621882193187e-07,0
"01851",4.11621882193187e-07,0
"01852",4.11621882193187e-07,0
"01854",4.11621882193187e-07,0
"01860",7.62265363472621e-07,0
"01862",4.11621882193187e-07,0
"01863",4.11621882193187e-07,0
"01864",4.11621882193187e-07,0
"01867",1.42515508287146e-06,0
"01876",5.27318760439475e-07,0
"01879",4.11621882193187e-07,0
"01880",4.11621882193187e-07,0
"01886",4.11621882193187e-07,0
"01887",4.11621882193187e-07,0
"01890",1.44388637598822e-06,0
"01901",7.62265363472621e-07,0
"01902",7.62265363472621e-07,0
"01904",7.62265363472621e-07,0
"01905",2.36298092458855e-06,0
"01906",2.30452433837394e-06,0
"01907",7.62265363472621e-07,0
"01908",7.62265363472621e-07,0
"01913",7.62265363472621e-07,0
"01915",7.62265363472621e-07,0
"01921",7.62265363472621e-07,0
"01922",2.93054440952938e-06,0
"01923",7.62265363472621e-07,0
"01929",7.62265363472621e-07,0
"01930",7.62265363472621e-07,0
"01937",7.62265363472621e-07,0
"01938",7.62265363472621e-07,0
"01940",7.62265363472621e-07,0
"01944",7.62265363472621e-07,0
