"ZCTA","Post.Office.Name","State","mortality_allcausemortalityrate_pop"
"99573","Copper Center","AK",0.00825181213378906
"99574","Cordova","AK",0.0065661669921875
"99575","Crooked Creek","AK",0.0102934655761719
"99576","Dillingham","AK",0.00687440734863281
"99577","Eagle River","AK",0.00630561645507813
"99578","Eek","AK",0.0113293579101563
"99579","Egegik","AK",0.0091232861328125
"99580","Ekwok","AK",0.0109039074707031
"99581","Emmonak","AK",0.00888416625976562
"99583","False Pass","AK",0
"99585","Marshall","AK",0.00636140014648437
"99586","Gakona","AK",0.00972094116210937
"99587","Girdwood","AK",0.00552513549804688
"99588","Glennallen","AK",0.00599823364257812
"99589","Goodnews Bay","AK",0.0111528405761719
"99590","Grayling","AK",0.0110234375
"99591","Saint George Island","AK",0.00944426452636719
"99602","Holy Cross","AK",0.0110234375
"99603","Homer","AK",0.00672817504882813
"99604","Hooper Bay","AK",0.0083665966796875
"99605","Hope","AK",0.00647877502441406
"99606","Iliamna","AK",0.00884953857421875
"99607","Kalskag","AK",0.0105177746582031
"99714","Salcha","AK",0.00675660766601563
"99720","Allakaket","AK",0.0106522985839844
"99721","Anaktuvuk Pass","AK",0.0125225512695312
"99722","Arctic Village","AK",0.0105817163085937
"99723","Barrow","AK",0.0110828698730469
"99724","Beaver","AK",0.0105817163085937
"99726","Bettles Field","AK",0.00980935180664062
"99727","Buckland","AK",0.00997310607910156
"99729","Cantwell","AK",0.00636390747070313
"99730","Central","AK",0.0101321099853516
"99732","Chicken","AK",0.00854037170410156
"99733","Circle","AK",0.0100094873046875
"99734","Prudhoe Bay","AK",0.00188992889404297
"99736","Deering","AK",0.00997310668945313
"99737","Fort Greely","AK",0.00691747680664062
"99738","Eagle","AK",0.00854037170410156
"99739","Elim","AK",0.0135707971191406
"99740","Fort Yukon","AK",0.0100114440917969
"99741","Galena","AK",0.00917007873535156
"99742","Gambell","AK",0.0137753491210938
"99743","Healy","AK",0.00632520874023438
"99744","Anderson","AK",0.00607802551269531
"99745","Hughes","AK",0.0106522985839844
"99746","Huslia","AK",0.0106533349609375
"99501","Anchorage","AK",0.00670724670410156
"99747","Kaktovik","AK",0.0125225512695312
"99748","Kaltag","AK",0.0107958813476562
"99749","Kiana","AK",0.00946693664550781
"99750","Kivalina","AK",0.00918896484375
"99751","Kobuk","AK",0.00895207824707031
"99752","Kotzebue","AK",0.00719479553222656
"99753","Koyuk","AK",0.0135707971191406
"99754","Koyukuk","AK",0.0107958813476562
"99755","Denali National Park","AK",0.00633202270507812
"99756","Manley Hot Springs","AK",0.00720515014648438
"99757","Lake Minchumina","AK",0.00755025817871094
"99758","Minto","AK",0.00980935180664062
"99759","Point Lay","AK",0.0118213635253906
"99760","Nenana","AK",0.006981640625
"99761","Noatak","AK",0.00918896484375
"99762","Nome","AK",0.00896890197753906
"99763","Noorvik","AK",0.00946693664550781
"99764","Northway","AK",0.00854037170410156
"99765","Nulato","AK",0.0107958813476562
"99766","Point Hope","AK",0.0118213635253906
"99767","Rampart","AK",0.00980935180664062
"99768","Ruby","AK",0.0106522985839844
"99769","Savoonga","AK",0.0137753491210938
"99770","Selawik","AK",0.0098930078125
"99771","Shaktoolik","AK",0.0127621911621094
"99772","Shishmaref","AK",0.0136460778808594
"99773","Shungnak","AK",0.00895207824707031
"99774","Stevens Village","AK",0.00980935180664062
"99775","Fairbanks","AK",0.00607846008300781
"99776","Tanacross","AK",0.00854037170410156
"99777","Tanana","AK",0.00980935180664062
"99778","Teller","AK",0.0132152868652344
"99780","Tok","AK",0.00786342468261719
"99781","Venetie","AK",0.0105817163085937
"99782","Wainwright","AK",0.0129075769042969
"99783","Wales","AK",0.0136460778808594
"99784","White Mountain","AK",0.0135707971191406
"99785","Brevig Mission","AK",0.0132152868652344
"99786","Ambler","AK",0.00895207824707031
"99788","Chalkyitsik","AK",0.0105817163085937
"99789","Nuiqsut","AK",0.0125225512695312
"99790","Fairbanks","AK",0.00706687377929687
